apartment_id,apartment_name,legal_dong,gu,school_premium_core_score,gap_confidence,has_6m_price,has_12m_price,has_24m_price,transaction_count_6m,transaction_count_12m,transaction_count_24m,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,temporal_std,temporal_range,temporal_cv,temporal_median,temporal_min,temporal_max,residual_method_gap_pct,comparable_method_gap_pct,gap_method_agreement,gap_method_abs_diff,large_method_disagreement,bootstrap_iterations,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p25,bootstrap_gap_p75,bootstrap_gap_p95,gap_positive_probability,gap_negative_probability,bootstrap_iqr,bootstrap_stability,sanity_flag,phase145_gap_reproduced,phase145_reproduction_error
A10022280,두산위브더제니스센트럴사하,장림동,사하구,77.03780353200882,LOW,True,True,True,15.0,35.0,46.0,-42.93260502517562,-45.96928524342452,-44.282682026492125,---,STABLE_NEGATIVE,1.5214447667022888,3.036680218248904,0.03427074338605702,-44.282682026492125,-45.96928524342452,-42.93260502517562,-42.93260502517562,,INSUFFICIENT,,False,500,-45.555728374194736,-49.66772298851892,-46.42489535639318,-44.173299136740624,-41.94883607893178,0.0,1.0,2.251596219652555,VERY_STABLE_NEGATIVE,False,-42.93260502517562,0.0
A10022365,연산포레서희스타힐스,연산동,연제구,73.0110927152318,MEDIUM,True,True,True,14.0,16.0,22.0,25.681363110068105,27.929966142792196,29.748125825064058,+++,STABLE_POSITIVE,2.037174481526482,4.066762714995953,0.07331529985250501,27.929966142792196,25.681363110068105,29.748125825064058,33.99286157557549,17.369864644560717,STRONG_POSITIVE,16.62299693101477,False,500,28.75066457508415,21.482373521544915,24.99577374240346,31.90272508305144,34.698355990813084,1.0,0.0,6.9069513406479786,VERY_STABLE_POSITIVE,False,25.6813631100681,0.0
A10022405,드파인센텀,반여동,해운대구,75.30364238410596,HIGH,True,True,True,11.0,12.0,13.0,-55.6920266942995,-56.83603553218593,-58.77497334612538,---,STABLE_NEGATIVE,1.5584605719261844,3.0829466518258783,0.027293046501775404,-56.83603553218593,-58.77497334612538,-55.6920266942995,-11.647697939705992,-99.736355448893,STRONG_NEGATIVE,88.088657509187,True,500,-56.594995696200684,-77.86987525819151,-65.98576049974817,-47.36354729927635,-37.940247252189096,0.0,1.0,18.62221320047182,VERY_STABLE_NEGATIVE,False,-55.6920266942995,0.0
A10022434,e편한세상송도더퍼스트비치,암남동,서구,73.16280353200882,LOW,True,True,True,107.0,114.0,228.0,4.985651295670235,7.191974646559024,14.16721787349579,+++,STABLE_POSITIVE,4.792755742205237,9.181566577825556,0.545771587305195,7.191974646559024,4.985651295670235,14.16721787349579,4.985651295670235,,INSUFFICIENT,,False,500,8.986422890595318,-1.3811888627779136,5.1689846799194745,10.697234650376124,12.540624777699072,0.9,0.09999999999999998,5.52824997045665,VERY_STABLE_POSITIVE,False,4.985651295670235,0.0
A10022541,에코델타스마트시티수자인,강동동,강서구,84.39039735099338,LOW,True,True,True,2.0,3.0,3.0,-4.4838510953035815,4.852893870474006,4.852893870474006,-++,MIXED,5.3905722193465735,9.336744965777587,3.0968810530339166,4.852893870474006,-4.4838510953035815,4.852893870474006,4.852893870474006,,INSUFFICIENT,,False,500,4.852893870474006,-13.543579067379774,-13.543579067379774,8.547630821395602,8.547630821395602,0.716,0.28400000000000003,22.091209888775374,UNCERTAIN,True,4.852893870474006,0.0
A10022568,해운대경동리인뷰2차,우동,해운대구,81.58217439293598,MEDIUM,True,True,True,2.0,5.0,7.0,27.00541340455301,22.499453874621913,25.95634744534825,+++,STABLE_POSITIVE,2.357764613338524,4.505959529931097,0.0937341635148223,25.95634744534825,22.499453874621913,27.00541340455301,27.858210555444764,16.377183628198342,STRONG_POSITIVE,11.481026927246422,False,500,22.54377589840204,5.281531845806139,18.74686338608167,28.18529954527409,33.207279769950915,0.998,0.0020000000000000018,9.43843615919242,VERY_STABLE_POSITIVE,False,22.117697091821555,0.0
A10022574,초읍하늘채포레스원,초읍동,부산진구,61.15353200883003,HIGH,True,True,True,11.0,18.0,22.0,-16.994100679980853,-22.312299266339842,-17.921273930280268,---,STABLE_NEGATIVE,2.8408915836974673,5.318198586358989,0.14892575870670013,-17.921273930280268,-22.312299266339842,-16.994100679980853,-19.77306219367001,-14.215139166291692,STRONG_NEGATIVE,5.557923027378319,False,500,-20.381090372169915,-33.06897770683917,-28.695654634578812,-10.670892744428315,-0.3644317378627927,0.044,0.956,18.024761890150497,VERY_STABLE_NEGATIVE,False,-16.994100679980853,0.0
A10022591,사직하늘채리센티아,사직동,동래구,77.53211920529802,MEDIUM,True,True,True,27.0,42.0,61.0,-23.653233623963025,-26.456816828686783,-27.159500702666577,---,STABLE_NEGATIVE,1.8550719770294952,3.5062670787035515,0.07202340181712809,-26.456816828686783,-27.159500702666577,-23.653233623963025,-19.588834612494743,-27.717632635431304,STRONG_NEGATIVE,8.12879802293656,False,500,-26.673766441116037,-79.92257609743281,-45.66616236471682,-12.65542737211568,5.817930616088064,0.102,0.898,33.01073499260114,STABLE_NEGATIVE,False,-23.653233623963025,0.0
A10022696,에코델타호반써밋스마트시티,강동동,강서구,84.39039735099338,LOW,False,True,True,,2.0,3.0,,-12.471986344998413,-17.919710941339822,NA--,STABLE_NEGATIVE,3.8521230041097576,5.447724596341409,0.25349837936437825,-15.195848643169118,-17.919710941339822,-12.471986344998413,-12.380317892148527,-30.56519549258308,STRONG_NEGATIVE,18.184877600434554,False,500,-12.471986344998411,-28.067806340675062,-17.85600193391052,-7.5361525417007575,-0.28671909607260027,0.034,0.966,10.319849392209761,VERY_STABLE_NEGATIVE,True,-21.4727566923658,0.0
A10022844,롯데캐슬라센트,부암동,부산진구,70.84387417218544,HIGH,True,True,True,45.0,70.0,76.0,-42.05620897088538,-46.304468634777876,-46.13737715326152,---,STABLE_NEGATIVE,2.405949690104744,4.248259663892497,0.05366508150063251,-46.13737715326152,-46.304468634777876,-42.05620897088538,-2.228541778946536,-81.88387616282422,STRONG_NEGATIVE,79.65533438387769,True,500,-45.66314685395216,-70.50987975074634,-50.24767856758232,-24.274400622430726,-19.792896925846332,0.0,1.0,25.973277945151594,VERY_STABLE_NEGATIVE,False,-42.05620897088538,0.0
