apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,primary_market,fallback_level,fallback_market_name,school_premium_core_score,estimated_school_premium_pct,school_premium_confidence,representative_area_m2,recent_6m_market_price,recent_12m_market_price,transaction_count_6m,transaction_count_12m,comparable_apartment_count,comparable_transaction_count,local_fair_price_per_m2,local_fair_total_price,fair_price_lower,fair_price_upper,prediction_interval_width_pct,selected_model_type,local_model_rmse,local_model_mae,recent_local_residual,residual_volatility,model_confidence,low_sample_flag,fallback_flag,data_quality_flag,school_value_gap_pct,gap_confidence,gap_positive_probability,candidate_tier,residual_6m_median,residual_12m_median,residual_temporal_stability,fair_price_lower_per_m2,fair_price_upper_per_m2,observed_unit_price_6m,observed_unit_price_12m,observed_market_price_6m,observed_market_price_12m,has_6m_market_price,has_12m_market_price,local_value_gap_6m_pct,local_value_gap_12m_pct,local_value_gap_pct,fair_price_lower_gap_pct,fair_price_upper_gap_pct,local_gap_temporal_stability,local_gap_temporal_abs_diff,local_gap_interval_status,point_gap_status,local_gap_confidence,local_sign,school_sign,school_local_signal_agreement,strong_dual_positive,extreme_gap_flag,dong_bias_flag,residual_gap_direction_consistent,combined_candidate_class,phase154_audit_priority
A10020645,강서자이에코델타,강서구,강동동,856.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,15.707645281770263,C,77.24765,,6830412.888191526,0,2,25,7555,7795190.794555312,602160170.1810306,375442156.3789366,965786245.3423461,98.0377179025194,F_S,0.2410301317701672,0.1824645800248972,-0.1190614267298624,0.1386688604713137,MEDIUM,True,True,OK,-2.0967809022376294,LOW,0.288,NOT_CANDIDATE,,-0.11906142672986242,INSUFFICIENT,4860240.491185643,12502467.65231494,,6830412.888191526,,527633344.1425081,False,True,,14.124737730448222,14.124737730448222,-28.844118639034743,83.04116979413219,INSUFFICIENT,,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,LOW,POSITIVE,NEUTRAL,LOCAL_ONLY_POSITIVE,False,False,False,True,UNCERTAIN,LOW
A10020649,e편한세상 에코델타 센터포인트,강서구,강동동,953.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,,C,,,,0,0,26,7557,,,,,,INSUFFICIENT_FEATURES,,,,,LOW,True,True,INSUFFICIENT_MODEL_FEATURES,,LOW,,NOT_CANDIDATE,,,,,,,,,,False,False,,,,,,INSUFFICIENT,,INSUFFICIENT,MISSING,LOW,MISSING,MISSING,MIXED_OR_NEUTRAL,False,False,False,False,UNCERTAIN,LOW
A10020721,백양산서희스타힐스,부산진구,부암동,1295.0,동양초등학교;동원초등학교,부산진구|부암동,0,부산진구|부암동,66.89039735099338,7.428485025184317,B,84.9897,5627356.335173492,5765404.513723427,10,25,11,2150,6652542.12977731,565397559.8471347,430761981.78870994,742113775.5789586,55.06776397733803,F_S,0.1387619583272264,0.1076887481608878,-0.1507604170370857,0.0667055452487574,HIGH,False,False,OK,-17.684890309951086,LOW,0.108,NOT_CANDIDATE,-0.21295932407744456,-0.15076041703708576,STABLE_NEGATIVE,5068402.192132811,8731808.390651558,5627356.335173492,5765404.513723427,478267326.7194946,490000000.0,True,True,18.21789368830171,15.387257111660135,15.387257111660135,-12.089391471691846,51.45179093448136,STABLE_POSITIVE,2.8306365766415755,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,HIGH,POSITIVE,NEGATIVE,LOCAL_ONLY_POSITIVE,False,False,False,True,LOCAL_VALUE_CANDIDATE,LOW
A10020870,양정자이더샵SKVIEW아파트(2단지),부산진구,양정동,2276.0,양정초등학교,부산진구|양정동,0,부산진구|양정동,83.05761589403974,15.055263916615868,B,59.9794,11503949.689393358,11420587.735122392,13,14,4,1370,11172718.380794453,670132944.8490227,504021480.316249,890990129.0124555,57.74505665937502,F_S,0.1453353219443202,0.1089156649634835,0.0212167227065869,0.0821198763765913,MEDIUM,False,False,OK,-28.93937341168884,MEDIUM,0.158,NOT_CANDIDATE,0.026398448728208734,0.02121672270658692,STABLE_POSITIVE,8403243.118741585,14854935.678123748,11503949.689393358,11420587.735122392,690000000.0,685000000.0,True,True,-2.8792833552140906,-2.1703730147412004,-2.1703730147412004,-26.420221851642477,30.071551680650433,STABLE_NEGATIVE,0.7089103404728903,WITHIN_MODEL_RANGE,NEUTRAL_POINT_GAP,MEDIUM,NEUTRAL,NEGATIVE,MIXED_OR_NEUTRAL,False,False,False,True,UNCERTAIN,LOW
A10022002,래미안포레스티지3단지,동래구,온천동,4043.0,금정초등학교,동래구|온천동,0,동래구|온천동,83.79271523178808,15.414630457532642,B,84.9849,11341857.478447497,11294609.294757536,26,45,8,2390,10629560.68563434,903352151.9125658,663329725.2337784,1230225450.9662797,62.75467706943265,F_S,0.1575715651401062,0.1164932002547906,0.0650140334248057,0.1169995289381293,HIGH,False,False,OK,-18.11871260406384,MEDIUM,0.01,NOT_CANDIDATE,0.0599976112322409,0.06501403342480572,STABLE_POSITIVE,7805265.702892848,14475812.18506205,11341857.478447497,11294609.294757536,963886623.6201127,959871241.4540397,True,True,-6.280248135428501,-5.888194905793531,-5.888194905793531,-30.89388486845923,28.165674502623904,STABLE_NEGATIVE,0.39205322963496947,POTENTIAL_OVERVALUED_SIGNAL,NEGATIVE,HIGH,NEGATIVE,NEGATIVE,DOUBLE_NEGATIVE,False,False,False,True,NEGATIVE_OR_FULLY_PRICED,LOW
A10022267,오션라이프에일린의뜰1단지,영도구,동삼동,1228.0,동삼초등학교,영도구|동삼동,0,영도구|동삼동,64.43979028697572,6.3174051039238455,B,74.9694,5669007.658752818,5791612.302306747,30,62,5,1401,5294310.216861334,396911260.371964,256894658.7327727,613241822.1039621,89.78005890718238,F_S,0.2219625599599246,0.1831828139803903,0.1852111715300388,0.1897894717778104,HIGH,False,False,OK,-87.87295495155726,MEDIUM,0.0,NOT_CANDIDATE,0.16237243148118186,0.18521117153003885,STABLE_POSITIVE,3426660.1937960386,8179895.025223119,5669007.658752818,5791612.302306747,425002102.7721034,434193699.3365554,True,True,-6.60957727430409,-8.586591427180712,-8.586591427180712,-40.83408876607244,41.236923299668035,STABLE_NEGATIVE,1.977014152876622,POTENTIAL_OVERVALUED_SIGNAL,NEGATIVE,HIGH,NEGATIVE,NEGATIVE,DOUBLE_NEGATIVE,False,False,False,True,NEGATIVE_OR_FULLY_PRICED,LOW
A10022280,두산위브더제니스센트럴사하,사하구,장림동,1643.0,보림초등학교,사하구|장림동,0,사하구|장림동,77.03780353200882,12.1541589204482,B,59.9309,6120548.91907575,5873430.901254611,15,35,4,1566,4257034.125176896,255127886.4525641,194420241.18747526,334791470.5186859,55.01994755767705,F_S,0.1386443505106999,0.1003983453805428,0.3130335102239066,0.1123013542565416,MEDIUM,False,False,OK,-42.93260502517562,LOW,0.0,NOT_CANDIDATE,0.3216331012081426,0.3130335102239066,STABLE_POSITIVE,3244073.4443746926,5586291.387559437,6120548.91907575,5873430.901254611,366810005.21423686,352000000.0,True,True,-30.446857276001616,-27.520486803248833,-27.520486803248833,-44.76697693537635,-4.888786784464239,STABLE_NEGATIVE,2.926370472752783,STRONG_OVERVALUED_SIGNAL,NEGATIVE,MEDIUM,NEGATIVE,NEGATIVE,DOUBLE_NEGATIVE,False,False,False,True,NEGATIVE_OR_FULLY_PRICED,LOW
A10022365,연산포레서희스타힐스,연제구,연산동,612.0,연동초등학교,연제구|연산동,0,연제구|연산동,73.0110927152318,10.25452733524801,B,84.8526,6128274.207272376,6128274.207272376,14,16,15,5288,7516239.682589786,637772479.290918,430131491.110364,945649746.0599077,80.83105992950685,F_S,0.2009646168309107,0.1563076693282115,-0.1879791420056591,0.0734879814122161,HIGH,False,False,OK,25.6813631100681,MEDIUM,1.0,TIER_1,-0.18797914200565913,-0.18797914200565913,STABLE_NEGATIVE,5069161.005206252,11144617.207485778,6128274.207272376,6128274.207272376,520000000.0,520000000.0,True,True,22.64855370979193,22.64855370979193,22.64855370979193,-17.28240555569923,81.85572039613609,STABLE_POSITIVE,0.0,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,HIGH,POSITIVE,POSITIVE,DOUBLE_POSITIVE,True,False,False,True,ROBUST_DUAL_POSITIVE,LOW
A10022405,드파인센텀,해운대구,반여동,750.0,무정초등학교,해운대구|반여동,0,해운대구|반여동,75.30364238410596,11.332075238285611,B,74.7417,9413902.215444213,9313879.50440512,11,12,12,3332,6490517.765646134,485112331.6845936,324942934.72642976,724231701.0234175,82.308517062517,F_S,0.2044545379514155,0.1594074158392314,0.3098813632111428,0.0822374787851395,HIGH,False,False,OK,-55.6920266942995,HIGH,0.0,NOT_CANDIDATE,0.31470493986769377,0.3098813632111428,STABLE_POSITIVE,4347545.4094090685,9689794.331991613,9413902.215444213,9313879.50440512,703611055.2160667,696135187.7543961,True,True,-31.05390711411945,-30.31348792330457,-30.31348792330457,-53.32186327563244,4.036071407287367,STABLE_NEGATIVE,0.7404191908148796,POTENTIAL_OVERVALUED_SIGNAL,NEGATIVE,HIGH,NEGATIVE,NEGATIVE,DOUBLE_NEGATIVE,False,True,False,True,NEGATIVE_OR_FULLY_PRICED,HIGH
A10022434,e편한세상송도더퍼스트비치,서구,암남동,1302.0,송도초등학교,서구|암남동,1,서구|서대신동1가;서구|서대신동2가;서구|암남동,73.16280353200882,10.325511339920102,B,84.804,6947715.496938295,6941298.644362967,107,114,4,846,7297569.890393678,618863116.9849455,385856313.0709331,992575589.9033723,98.03771790251936,F_S,0.2410301317701672,0.1824645800248972,-0.0662256947476365,0.0759584775676213,MEDIUM,True,True,OK,4.985651295670235,LOW,0.9,NOT_CANDIDATE,-0.05989459030289268,-0.06622569474763651,STABLE_NEGATIVE,4549977.749527535,11704348.73241088,6947715.496938295,6941298.644362967,589194065.0023552,588649890.2365571,True,True,5.0355313715646055,5.132631000108878,5.132631000108878,-34.45062685463657,68.61900534874678,STABLE_POSITIVE,0.09709962854427268,POTENTIAL_UNDERVALUED_SIGNAL,POSITIVE,MEDIUM,POSITIVE,POSITIVE,DOUBLE_POSITIVE,False,False,False,True,UNCERTAIN,LOW
