apartment_id,apartment_name,gu,legal_dong,household_count,school_premium_core_score,latitude,longitude,apartment_age,parking_per_household,buildings,households_per_building,full_period_median_price_per_m2,full_period_transaction_count,representative_area_m2,median_floor,recent_6m_price_per_m2,transaction_count_6m,recent_12m_price_per_m2,transaction_count_12m,recent_24m_price_per_m2,transaction_count_24m,price_change_6m,price_change_12m,price_trend_24m,price_trend_36m,log_recent_6m_price_per_m2,log_recent_12m_price_per_m2,log_recent_24m_price_per_m2,log_full_period_median_price_per_m2,log_household_count,log_representative_area_m2,log_transaction_count_12m,turnover_12m,transaction_frequency,clustering_eligible,clustering_missing_reason,feature_as_of_date
A10020870,양정자이더샵SKVIEW아파트(2단지),부산진구,양정동,2276.0,83.05761589403974,35.1716287279998,129.075270843938,1,1.2473637961335677,22.0,103.45454545454545,11337225.780851426,15.0,59.9794,16.0,11503949.689393358,13.0,11420587.735122392,14.0,11337225.780851426,15.0,0.20684434989346334,0.2932612641451342,0.30215897394476227,,16.258200985619194,16.250928226290114,16.243602186198043,16.243602186198043,7.730174795246222,4.0940011699363845,2.70805020110221,0.006151142355008787,2.2537021801727684,True,,2026-08-28
A10022002,래미안포레스티지3단지,동래구,온천동,4043.0,83.79271523178808,35.2214588527959,129.078856993051,1,1.2149394014345782,36.0,112.30555555555556,11271833.240105242,58.0,84.9849,18.0,11341857.478447495,26.0,11294609.294757536,45.0,11271833.240105242,58.0,0.023045777810831947,0.049086475409034325,0.09047249163093463,0.09047249163093463,16.244010641655215,16.239836116295038,16.237817538280286,16.237817538280286,8.304742269640771,4.442473593650385,3.828641396489095,0.011130348750927528,8.714315096668038,True,,2026-08-28
A10022267,오션라이프에일린의뜰1단지,영도구,동삼동,1228.0,64.43979028697572,35.0755544541612,129.074599795214,3,1.0521172638436482,10.0,122.8,5629606.107417339,96.0,74.9694,14.0,5669007.658752818,30.0,5791612.302306747,62.0,5668979.610347689,88.0,-0.031306693698804455,0.6457454066740096,0.06768983471521621,0.08711811721514245,15.550524644293853,15.571921274050894,15.550519696607026,15.543550034509783,7.113142108707088,4.317080030281664,4.143134726391533,0.050488599348534204,14.423693953105717,True,,2026-08-28
A10022280,두산위브더제니스센트럴사하,사하구,장림동,1643.0,77.03780353200882,35.082895063328,128.972097096354,1,1.2294583079732198,13.0,126.38461538461539,5835515.559686217,46.0,59.9309,11.5,6120548.91907575,15.0,5873430.901254611,35.0,5835515.559686217,46.0,0.06622185005655434,0.03287072278240433,0.09797899417843997,0.09797899417843997,15.627162343125798,15.585949501684599,15.5794731762154,15.5794731762154,7.404279118037268,4.093192231877772,3.58351893845611,0.02130249543517955,6.911353352529822,True,,2026-08-28
A10022365,연산포레서희스타힐스,연제구,연산동,612.0,73.0110927152318,35.1829012963577,129.089161019711,1,1.1683006535947713,9.0,68.0,6117505.772768491,22.0,84.8526,11.0,6128274.207272376,14.0,6128274.207272376,16.0,6117505.772768491,22.0,0.01875825818929,0.11239737011388051,0.16395257015265902,0.16395257015265902,15.62842373601902,15.62842373601902,15.626665017946822,15.626665017946822,6.416732282512326,4.440915633520728,2.833213344056216,0.026143790849673203,3.3054298642533935,True,,2026-08-28
A10022405,드파인센텀,해운대구,반여동,750.0,75.30364238410596,35.197076226816,129.118965848338,2,1.2266666666666666,8.0,93.75,9413902.215444213,13.0,74.7417,13.0,9413902.215444213,11.0,9313879.504405119,12.0,9413902.215444213,13.0,0.17618679603162946,-0.01130943620504099,0.3590721782563436,,16.057698113747172,16.047016265400313,16.057698113747172,16.057698113747172,6.620073206530356,4.314038169316458,2.5649493574615367,0.016,1.9532085561497325,True,,2026-08-28
A10022434,e편한세상송도더퍼스트비치,서구,암남동,1302.0,73.16280353200882,35.0755106315152,129.015072978936,2,1.1328725038402458,10.0,130.2,6667666.81668917,231.0,84.804,16.0,6947715.496938295,107.0,6941298.644362967,114.0,6668055.8676670715,228.0,0.015993244718127908,0.09108836975650192,0.06423572155129058,0.059049917081104936,15.753923458028984,15.75299943952535,15.712838901292088,15.71278055410128,7.171656822768514,4.440342711496718,4.74493212836325,0.08755760368663594,34.70701357466063,True,,2026-08-28
A10022541,에코델타스마트시티수자인,강서구,강동동,554.0,84.39039735099338,35.1396035183419,128.916467746097,2,1.7851985559566788,7.0,79.14285714285714,6302556.01482424,3.0,132.9686,11.0,6200712.047806775,2.0,6302556.01482424,3.0,6302556.01482424,3.0,-0.0161591530131453,,,,15.640174689841423,15.656465825719788,15.656465825719788,15.656465825719788,6.317164686747284,4.890113010122505,1.3862943611198906,0.005415162454873646,0.45074043603455366,False,price_change_12m;price_trend_24m,2026-08-28
A10022568,해운대경동리인뷰2차,해운대구,우동,632.0,81.58217439293598,35.1628612447531,129.160202145981,2,1.2848101265822784,4.0,158.0,10579295.882547457,7.0,84.9773,18.0,10620483.35261299,2.0,11179456.160645254,5.0,10579295.882547457,7.0,-0.10058694884417319,0.0620458356623812,0.04946960914617854,,16.17829508617108,16.22958838055863,16.174409430435666,16.174409430435666,6.448889394146858,4.442384162000229,1.791759469228055,0.007911392405063292,1.0517276840806251,True,,2026-08-28
A10022574,초읍하늘채포레스원,부산진구,초읍동,756.0,61.15353200883003,35.1799954195609,129.050684168448,2,1.4087301587301588,9.0,84.0,8156131.37634583,22.0,59.994,15.0,8417508.417508418,11.0,8429472.765235096,18.0,8156131.37634583,22.0,-0.002834670818860463,0.16779089946842496,0.206462140185129,0.206462140185129,15.945824430017867,15.947244785345426,15.914280518485182,15.914280518485182,6.628041376179533,4.094244557221767,2.9444389791664403,0.023809523809523808,3.3054298642533935,True,,2026-08-28
A10022591,사직하늘채리센티아,동래구,사직동,690.0,77.53211920529802,35.2017861162457,129.060970332304,2,1.0956521739130434,8.0,86.25,8127419.08506463,93.0,84.8978,13.0,8680497.592831245,27.0,8668982.87433048,42.0,8480785.132241353,61.0,0.0026600660362836592,0.16176782482559915,0.19706813906794354,0.19526529365051182,15.976589411356487,15.975262026341902,15.95331358983145,15.910753975412655,6.536691597591305,4.441448180142925,3.7612001156935624,0.06086956521739131,13.972953517071163,True,,2026-08-28
A10022696,에코델타호반써밋스마트시티,강서구,강동동,526.0,84.39039735099338,35.1397424250911,128.907495574458,2,1.4011406844106464,9.0,58.44444444444444,6577196.383189699,6.0,84.9146,14.5,,,6925729.910377404,2.0,7409693.622715835,3.0,,-0.09523756146502615,,,,15.750754006703817,15.81829964995538,15.699119130920836,6.26530121273771,4.441646045552692,1.0986122886681098,0.0038022813688212928,0.9014808720691073,False,price_change_6m;price_trend_24m,2026-08-28
A10022844,롯데캐슬라센트,부산진구,부암동,2195.0,70.84387417218544,35.1705243127939,129.035161562272,1,1.0874715261958998,21.0,104.52380952380952,7179054.0540540535,76.0,72.13,15.0,7031514.740765842,45.0,7179054.0540540535,70.0,7179054.0540540535,76.0,-0.043050644808603544,0.02223734967097779,-0.00011504370030654836,-0.00011504370030654836,15.76591270868018,15.786678184998731,15.786678184998731,15.786678184998731,7.693937325509272,4.278470046515581,4.2626798770413155,0.03189066059225513,11.41875771287536,True,,2026-08-28
A10022847,대연비치,남구,대연동,1384.0,77.64387417218543,35.1358668649776,129.110083623465,1,1.305635838150289,8.0,173.0,15945448.200668873,105.0,76.5966,20.0,17274633.234962106,24.0,16334854.506834053,78.0,16189752.886872698,88.0,0.07924879061577461,0.09170217116809898,0.1467208302917665,0.1923651347785193,16.664749696420824,16.608811696141647,16.599889062218782,16.584683967198306,7.232733136177615,4.338552689338463,4.3694478524670215,0.05635838150289017,15.775915261209377,True,,2026-08-28
A10022890,레이카운티(5단지),연제구,거제동,4470.0,80.79547461368652,35.1899959215514,129.066108752828,2,1.1935123042505593,34.0,131.47058823529412,12119373.326709632,409.0,84.8261,14.0,12225448.266436435,146.0,12252736.444472598,345.0,12139266.439776573,402.0,-0.008783783783783972,0.15483538545830777,0.19269359683140996,0.1942447204826488,16.319030260664114,16.321259853230945,16.311955916710367,16.31031583155163,8.405143687607614,4.440603278461248,5.846438775057725,0.07718120805369127,61.45094611271082,True,,2026-08-28
A10022905,포레나부산덕천2차,북구,덕천동,795.0,67.33973509933774,35.2135475612397,129.015417583227,2,1.1182389937106918,8.0,99.375,7800631.287763756,84.0,68.3,10.0,8010694.448463308,30.0,8016895.7080832785,47.0,7967230.679583213,60.0,-0.002438901258795534,0.03787507218814423,0.058800587752068804,0.0697550524986564,15.89628801297232,15.89706183609468,15.890847522328071,15.8697152227135,6.678342114654332,4.223909766576744,3.871201010907891,0.05911949685534591,12.620732208967503,True,,2026-08-28
A10022985,경동포레스트힐 행복주택 아미,서구,아미동2가,767.0,44.87897350993377,35.1013272524495,129.01039102628,3,,4.0,191.75,,,,,,,,,,,,,,,,,,,6.642486801367256,,,,,False,log_recent_12m_price_per_m2;log_full_period_median_price_per_m2;price_change_6m;price_change_12m;price_trend_24m;log_representative_area_m2;parking_per_household;log_transaction_count_12m;turnover_12m,2026-08-28
A10022999,대연푸르지오클라센트1단지,남구,대연동,1057.0,45.4014348785872,35.1290634154305,129.085064400067,2,1.0709555345316935,8.0,132.125,8648239.053800283,97.0,74.9183,16.0,8662178.45242301,50.0,8676117.851045739,92.0,8676117.851045739,95.0,-0.0016066400735956776,0.020204283709524873,0.053912089506416586,0.07933816002892946,15.974476802301943,15.976084734405772,15.976084734405772,15.972866280587988,6.963189985870238,4.316398186448184,4.532599493153256,0.08703878902554399,14.573940765117234,True,,2026-08-28
A10023014,시청앞 행복주택2단지,연제구,연산동,999.0,32.301821192052984,35.179254189421,129.078446100303,2,0.7897897897897898,2.0,499.5,,,,,,,,,,,,,,,,,,,6.906754778648554,,,,,False,log_recent_12m_price_per_m2;log_full_period_median_price_per_m2;price_change_6m;price_change_12m;price_trend_24m;log_representative_area_m2;log_transaction_count_12m;turnover_12m,2026-08-28
A10023021,서면비스타동원,부산진구,당감동,806.0,62.1960816777042,35.1576900980268,129.038333034922,2,1.183622828784119,6.0,134.33333333333334,6423604.983588043,104.0,84.999,16.0,7108357.02785676,24.0,6823601.661664653,57.0,6529488.582218615,78.0,0.11271314734953353,0.0642189314492363,0.04341566544488716,0.03934672638163447,15.776781696012796,15.735897993305773,15.69183917999548,15.67549004199395,6.692083742506628,4.442639491715229,4.060443010546419,0.0707196029776675,15.62566844919786,True,,2026-08-28
A10023040,양정포레힐즈스위첸1단지,부산진구,양정동,1338.0,64.81462472406182,35.1723960004205,129.079723130345,3,1.1704035874439462,14.0,95.57142857142857,8942844.262095435,162.0,84.971,10.5,9113463.40672183,54.0,8992940.791745849,141.0,8944228.0307399,159.0,0.021609629462481017,0.05403667205596485,0.05969113358289342,0.07230900564437229,16.02526337335644,16.01195047105933,16.006518969438854,16.00636424667321,7.198931240688173,4.442310021805795,4.955827057601261,0.10538116591928251,24.3399835458659,True,,2026-08-28
A10023104,사상중흥에스-클래스그랜드센트럴,사상구,덕포동,1572.0,49.122130242825605,35.1716317464552,128.983687212587,2,1.0604325699745547,14.0,112.28571428571429,7745656.567847926,132.0,79.8564,15.0,7657343.392313228,51.0,7682117.309093542,100.0,7745656.567847926,128.0,-0.010666282844558284,-0.023911476760355654,0.015124505572261276,0.017676607967267652,15.851175665937422,15.854405758416217,15.862642801364396,15.862642801364396,7.360103972989152,4.380230021730937,4.61512051684126,0.06361323155216285,19.83257918552036,True,,2026-08-28
A10023208,두산위브더제니스하버시티,동구,범일동,2040.0,63.84878587196467,35.1326704859309,129.057266019849,3,1.1014705882352942,7.0,291.42857142857144,7928547.926090077,165.0,75.6455,30.0,8738127.18535802,33.0,8244314.367484424,93.0,7928547.926090077,161.0,0.10582581968006766,0.06512858264262755,0.08786941013282668,0.0755547139328761,15.983206443818812,15.92503435314808,15.88598046538003,15.88598046538003,7.620705086838262,4.326057953997149,4.543294782270004,0.045588235294117645,24.790723981900452,True,,2026-08-28
A10023283,금호센트럴베이 행복주택 일광,기장군,일광읍,999.0,75.63647902869756,35.2607952781356,129.224005976511,3,0.7987987987987988,8.0,124.875,,,,,,,,,,,,,,,,,,,6.906754778648554,,,,,False,log_recent_12m_price_per_m2;log_full_period_median_price_per_m2;price_change_6m;price_change_12m;price_trend_24m;log_representative_area_m2;log_transaction_count_12m;turnover_12m,2026-08-28
A10023409,이진젠시티개금,부산진구,개금동,736.0,71.48399558498896,35.1536845951425,129.02625480982,3,1.296195652173913,4.0,184.0,7554775.495006429,91.0,74.1253,23.0,8047184.969234526,16.0,7865865.792786247,49.0,7670376.768906889,74.0,0.03704339533629031,0.04279491557805559,0.05447811061056307,0.06649239800057398,15.900832894975007,15.878043170143398,15.852876294549866,15.837690437166232,6.601230118728877,4.305756904527238,3.912023005428146,0.06657608695652174,13.672459893048128,True,,2026-08-28
A10023417,더샵동래,동래구,온천동,603.0,83.8975165562914,35.2148587237127,129.079964263796,3,1.286898839137645,3.0,201.0,8509660.968040187,40.0,84.8828,31.0,8422345.04242008,12.0,8600093.305121886,35.0,8539106.161701227,38.0,-0.02356815895883635,0.037241995300693276,-0.009078829880901224,0.017337957068933277,15.946398856043148,15.96728361059766,15.96016689538082,15.956712660512732,6.401917196727186,4.441271481509052,3.58351893845611,0.05804311774461028,6.009872480460715,True,,2026-08-28
A10023420,남천자이,수영구,남천동,913.0,53.67406181015453,35.1401914569438,129.112924625666,3,1.4282584884994523,7.0,130.42857142857142,15356287.96354285,112.0,84.9838,13.0,17355158.24747494,14.0,16734292.766118592,45.0,16295670.528603313,71.0,0.05386282510150808,0.10908141781637504,0.11416198670542477,0.11345374494527372,16.66940032550064,16.6329706309708,16.606410018753817,16.54703558743695,6.816735880594968,4.442460650090776,3.828641396489095,0.04928806133625411,16.827642945290002,True,,2026-08-28
A10023436,데시앙해링턴플레이스파크시티,남구,용호동,1725.0,41.660761589403975,35.1126137352917,129.113230004297,3,1.0202898550724637,11.0,156.8181818181818,6302888.824044354,194.0,59.9725,17.0,6294551.669515194,38.0,6302888.824044354,99.0,6336237.442160991,159.0,-0.006578947368421129,-0.0052631578947368585,-0.01732430379757703,-0.004422733630558498,15.655195002831414,15.656518629761921,15.661795686862765,15.656518629761921,7.45298232946546,4.09388612382194,4.605170185988092,0.057391304347826085,29.147881530234468,True,,2026-08-28
A10023440,힐스테이트사하역,사하구,괴정동,1314.0,72.3003863134658,35.0980414493449,128.97932578032,3,1.1917808219178083,12.0,109.5,7077014.744621184,168.0,84.921,14.0,7110116.854637234,34.0,7183146.689275915,81.0,7168987.29062033,134.0,-0.021396704355512774,0.016666666666666607,-0.002320926912215344,-0.003970786764022762,15.777029236895736,15.787248102576932,15.785274960008822,15.772362730512185,7.1808311990445555,4.441721412554699,4.406719247264253,0.06164383561643835,25.241464417935006,True,,2026-08-28
