apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,primary_market,fallback_level,fallback_market_name,school_premium_core_score,estimated_school_premium_pct,school_premium_confidence,representative_area_m2,recent_6m_market_price,recent_12m_market_price,transaction_count_6m,transaction_count_12m,comparable_apartment_count,comparable_transaction_count,local_fair_price_per_m2,local_fair_total_price,fair_price_lower,fair_price_upper,prediction_interval_width_pct,selected_model_type,local_model_rmse,local_model_mae,recent_local_residual,residual_volatility,model_confidence,low_sample_flag,fallback_flag,data_quality_flag
A10022365,연산포레서희스타힐스,연제구,연산동,612.0,연동초등학교,연제구|연산동,0,연제구|연산동,73.0110927152318,10.25452733524801,B,84.8526,6128274.207272376,6128274.207272376,14,16,15,5288,7516239.682589786,637772479.290918,5069161.005206252,11144617.207485778,80.83105992950685,F_S,0.20096461683091077,0.15630766932821155,-0.18797914200565913,0.07348798141221619,HIGH,False,False,OK
A10022405,드파인센텀,해운대구,반여동,750.0,무정초등학교,해운대구|반여동,0,해운대구|반여동,75.30364238410596,11.332075238285611,B,74.7417,9413902.215444213,9313879.50440512,11,12,12,3332,6490517.765646134,485112331.68459356,4347545.4094090685,9689794.331991613,82.308517062517,F_S,0.2044545379514155,0.15940741583923146,0.3098813632111428,0.08223747878513954,HIGH,False,False,OK
A10022434,e편한세상송도더퍼스트비치,서구,암남동,1302.0,송도초등학교,서구|암남동,1,서구|서대신동1가;서구|서대신동2가;서구|암남동,73.16280353200882,10.325511339920102,B,84.804,6947715.496938295,6941298.644362967,107,114,4,846,7297569.890393678,618863116.9849455,4549977.7495275345,11704348.73241088,98.03771790251936,F_S,0.24103013177016724,0.1824645800248972,-0.06622569474763651,0.07595847756762134,MEDIUM,True,True,OK
A10022541,에코델타스마트시티수자인,강서구,강동동,554.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,15.707645281770244,C,132.9686,6200712.047806775,6302556.01482424,2,3,25,7554,6503829.09905646,864805049.9407989,4055086.5742842793,10431292.199279238,98.03771790251965,F_S,0.24103013177016724,0.1824645800248972,-0.11219347416626313,0.10150768319744759,MEDIUM,True,True,OK
A10022568,해운대경동리인뷰2차,해운대구,우동,632.0,해운대초등학교,해운대구|우동,0,해운대구|우동,81.58217439293598,14.337341114040411,B,84.9773,10620483.35261299,11179456.160645254,2,5,18,3922,11627771.889667915,988096660.1998774,6990131.915888136,19342278.621500526,106.22969579054204,F_S,0.2596412943969097,0.2081108828451275,-0.06561061231933607,0.05198066284060146,MEDIUM,False,False,OK
A10022574,초읍하늘채포레스원,부산진구,초읍동,756.0,초읍초등학교,부산진구|초읍동,1,부산진구|가야동;부산진구|초읍동,61.15353200883003,4.84546555839156,B,59.994,8417508.417508418,8429472.765235096,11,18,5,1078,7545585.523805007,452689857.9151576,4704613.557132749,12102133.407054063,98.03771790251967,F_S,0.24103013177016724,0.1824645800248972,0.11589013335351428,0.08843658505924981,MEDIUM,True,True,OK
A10022591,사직하늘채리센티아,동래구,사직동,690.0,금강초등학교,동래구|사직동,0,동래구|사직동,77.53211920529802,12.389600394485466,B,84.8978,8680497.592831245,8668982.87433048,27,42,8,2944,8837349.752006717,750271551.7759159,6274301.3058325,12447402.00262517,69.85239772128436,F_S,0.1747576003859271,0.12944148127320504,-0.01458118109887696,0.14660195038325716,HIGH,False,False,OK
A10022696,에코델타호반써밋스마트시티,강서구,강동동,526.0,,강서구|강동동,1,강서구|강동동;강서구|명지동,84.39039735099338,15.707645281770263,C,84.9146,,6925729.910377404,0,2,25,7551,7195134.944996691,610972005.800416,4486110.362256069,11540056.462337537,98.03771790251965,F_S,0.24103013177016724,0.1824645800248972,-0.014489771232873316,0.07559189761897017,MEDIUM,True,True,OK
A10022844,롯데캐슬라센트,부산진구,부암동,2195.0,동평초등학교,부산진구|부암동,0,부산진구|부암동,70.84387417218544,9.24547906344728,B,72.13,7031514.740765842,7179054.0540540535,45,70,11,2115,7828408.052957275,564663072.8598082,5964264.451467214,10275193.721252652,55.06776397733806,F_S,0.13876195832722643,0.10768874816088785,-0.06576163365749199,0.07534278468903377,HIGH,False,False,OK
A10022847,대연비치,남구,대연동,1384.0,남천초등학교,남구|대연동,0,남구|대연동,77.64387417218543,12.442897505507622,B,76.5966,17274633.234962106,16334854.506834053,24,78,11,4505,16414015.72401758,1257257796.806285,12554830.300072867,21459462.67284335,54.250175718674996,F_S,0.1367500567214909,0.10463073048529858,0.019970868844302103,0.26496281013001016,HIGH,False,False,OK
A10022890,레이카운티(5단지),연제구,거제동,4470.0,창신초등학교,연제구|거제동,0,연제구|거제동,80.79547461368652,13.956380261679737,B,84.8261,12225448.266436435,12252736.444472598,146,345,9,2205,11831302.69781136,1003603265.7748162,7824725.278095876,17889410.62494427,85.0682769591402,F_S,0.21094906250335377,0.16623876246036565,0.014869809821096425,0.1357657130844964,HIGH,False,False,OK
