apartment_name,legal_dong,local_fair_total_price,observed_market_price_12m,local_value_gap_pct,local_gap_interval_status,model_confidence,fallback_level,recent_local_residual,school_premium_core_score,school_value_gap_pct,phase154_audit_priority
삼한힐파크,화명동,403261521.5025667,243000000.0,65.95124341669411,STRONG_UNDERVALUED_SIGNAL,HIGH,0,-0.5006380402620838,61.624392935982335,43.18334450923915,HIGH
유림아시아드,거제동,512710112.1608158,325000000.0,57.756957587943326,STRONG_UNDERVALUED_SIGNAL,HIGH,0,-0.413814877323075,79.81103752759383,60.45873394525846,HIGH
시영(1~5동),개금동,92208672.45184387,59000000.0,56.28588551159979,STRONG_UNDERVALUED_SIGNAL,HIGH,0,-0.4705851163927264,52.17086092715231,42.54583634330404,HIGH
화명유림,화명동,242900213.1932673,163500000.0,48.56282152493412,STRONG_UNDERVALUED_SIGNAL,HIGH,0,-0.3734837489668781,61.624392935982335,38.862316401059694,HIGH
다송,다대동,82659486.0980694,56000000.00000001,47.60622517512392,STRONG_UNDERVALUED_SIGNAL,HIGH,0,-0.366814096839839,24.5848233995585,35.34219583986583,HIGH
벽산1,가야동,324908218.7631755,222871079.4562717,45.783032754110174,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3476711299587833,71.48399558498896,33.897658503068484,HIGH
한성기린,범일동,225169107.9218574,154500000.0,45.740522926768534,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3243884604839513,63.84878587196467,26.44650620330039,HIGH
네오스포,부전동,294729790.322476,204600090.14874542,44.05164245441231,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,2,-0.3422844085944483,43.63923841059604,29.609793722421426,HIGH
구평1차자유,구평동,154345956.07605845,107989195.67827131,42.92722073409669,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3441072308141812,36.72902869757174,18.78795965716197,HIGH
신다대,다대동,85612479.11499713,60000000.0,42.687465191661886,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.3162838048698173,24.5848233995585,27.81073885361189,HIGH
우신네오빌,기장읍청강리,343358015.16114926,240848966.96350282,42.56154779903216,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3341920178026978,65.05954746136865,17.827359987561625,HIGH
연산엘지,연산동,467418889.1372646,328000000.0,42.50575888331238,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.3057195837761952,69.14166666666668,46.648956889678985,HIGH
서면베르빌2,범천동,59839366.00283018,42000000.0,42.47468095911946,STRONG_UNDERVALUED_SIGNAL,MEDIUM,0,-0.3270967453594036,43.54536423841059,36.371744426976726,HIGH
광원,광안동,344486965.6081045,244000000.0,41.18318262627234,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3307891050570246,71.04155629139072,43.495351170341536,HIGH
한신혜성,하단동,188570302.51642272,134466216.2162162,40.2361930175899,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3261729444353465,33.8287527593819,11.73361349351077,HIGH
비치-그린아파트,광안동,363703946.8892659,263000000.0,38.29047410238247,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3025071443703302,71.04155629139072,30.494482823493573,HIGH
삼성,망미동,352724292.84824467,255270445.4395475,38.17670597976684,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.2422286444033687,51.00756070640177,21.13988536772774,HIGH
거제동롯데캐슬,거제동,565828206.270662,409999999.99999994,38.00687957821025,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.2998353749858502,38.8735651214128,21.84797896796309,HIGH
신영도롯데낙천대,청학동,254129448.1416636,186274398.63259265,36.42746937162749,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,2,-0.2825075160090238,38.849889624724064,35.908175590319765,HIGH
웨이브리즈,기장읍청강리,349560384.66252184,257596932.822137,35.700522841195024,POTENTIAL_UNDERVALUED_SIGNAL,MEDIUM,1,-0.3119368113631537,65.05954746136865,-1.861028168431928,HIGH
현대무지개타운,주례동,220346361.5056166,165268047.98255178,33.32665581484917,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.1951891882028054,43.32251655629139,35.379804222390135,HIGH
구서우성,구서동,306493394.06859404,230000000.0,33.25799742112785,POTENTIAL_UNDERVALUED_SIGNAL,HIGH,0,-0.2912118885554324,66.87472406181016,51.71688562541383,HIGH
