apartment_id,elementary_name,school_premium_core_score,school_premium_confidence,data_quality_flag,transaction_count,price_window_used,recent_market_price,baseline_expected_price,gap_confidence,comparable_count,school_value_gap_pct,gap_method_agreement,large_method_disagreement,model_residual,flag_low_transaction,flag_price_outlier,flag_confidence_c,flag_school_mapping,original_sanity_flag,flag_comparable_shortage,flag_method_disagreement,flag_old_price_window,flag_missing_control,sanity_flag_reason,sanity_severity
A10020870,양정초등학교,83.05761589403974,B,OK,13.0,6M,717000000.0,568360607.1624187,MEDIUM,7.0,-28.93937341168884,STRONG_NEGATIVE,False,0.2533349155570388,False,False,False,False,False,False,False,False,False,NONE,NONE
A61479902,양정초등학교,83.05761589403974,B,OK,11.0,6M,445000000.0,513943961.2503813,LOW,27.0,6.566607945015537,MIXED_POSITIVE_RESIDUAL,False,-0.14450867977448478,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61274011,해강초등학교,82.99199779249447,B,OK,12.0,6M,800000000.0,440440540.79686666,HIGH,18.0,-34.676004426260434,STRONG_NEGATIVE,True,0.43243502301443826,False,False,False,False,False,False,False,False,False,NONE,NONE
A61274114,해강초등학교,82.99199779249447,B,OK,17.0,6M,725000000.0,611860012.6796538,LOW,5.0,16.689503228048792,MIXED_POSITIVE_COMPARABLE,False,-0.0430414057008468,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61278912,해강초등학교,82.99199779249447,B,OK,16.0,6M,946000000.0,596081686.703327,MEDIUM,7.0,-34.099827491928124,STRONG_NEGATIVE,False,0.42010241922933034,False,False,False,False,False,False,False,False,False,NONE,NONE
A61282215,해강초등학교,82.99199779249447,B,OK,9.0,6M,1130000000.0,576922042.1448498,MEDIUM,7.0,-49.0430534485139,STRONG_NEGATIVE,True,0.49681504860039816,False,False,False,False,False,False,False,False,False,NONE,NONE
A10026391,분포초등학교,82.85033112582782,B,OK,33.0,6M,1935000000.0,900091389.6306908,MEDIUM,8.0,-175.50110532276938,STRONG_NEGATIVE,True,0.6625049781301948,False,True,False,False,True,False,False,False,False,PRICE_OUTLIER,MAJOR
A61203016,부흥초등학교,82.6453642384106,B,OK,6.0,6M,326250000.0,274928878.17837155,LOW,15.0,8.861271060769088,MIXED_POSITIVE_COMPARABLE,False,0.03769761420177886,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61203020,부흥초등학교,82.6453642384106,B,OK,12.0,6M,507500000.0,428952237.2670553,LOW,27.0,5.714488470816667,MIXED_POSITIVE_COMPARABLE,False,-0.018882702450227384,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61203022,부흥초등학교,82.6453642384106,B,OK,16.0,6M,392500000.0,308299957.8481046,LOW,15.0,-4.169990445384608,MIXED_POSITIVE_COMPARABLE,False,0.11066304994932619,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61203023,부흥초등학교,82.6453642384106,B,OK,12.0,6M,349000000.0,326762562.3477592,HIGH,16.0,13.781700992141444,STRONG_POSITIVE,False,-0.024508104853381063,False,False,False,False,False,False,False,False,False,NONE,NONE
A61203029,부흥초등학교,82.6453642384106,B,OK,22.0,6M,567500000.0,425724497.768072,LOW,27.0,-7.510472659222135,MIXED_POSITIVE_COMPARABLE,False,0.09377138087609893,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A10022568,해운대초등학교,81.58217439293598,B,OK,5.0,12M,950000000.0,1098530933.2594512,MEDIUM,5.0,22.117697091821555,STRONG_POSITIVE,False,-0.2517072394275992,False,False,False,False,False,False,False,False,False,NONE,NONE
A10023542,해운대초등학교,81.58217439293598,B,OK,11.0,6M,970000000.0,1098688560.1835098,MEDIUM,5.0,19.152644035670672,STRONG_POSITIVE,False,-0.19250357413643648,False,False,False,False,False,False,False,False,False,NONE,NONE
A10024591,해운대초등학교,81.58217439293598,B,OK,16.0,6M,1170000000.0,853525377.8722564,HIGH,21.0,-27.772775252105145,STRONG_NEGATIVE,False,0.2245422084210773,False,False,False,False,False,False,False,False,False,NONE,NONE
A10025181,해운대초등학교,81.58217439293598,B,OK,11.0,6M,3080000000.0,1514475517.6797569,LOW,0.0,-89.03339443397924,INSUFFICIENT,False,0.5569834957919699,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A61201007,해운대초등학교,81.58217439293598,B,OK,13.0,6M,771000000.0,594586070.0228308,LOW,33.0,-7.486711394352575,NEUTRAL_OR_ZERO,False,0.05514232837832456,False,False,False,False,False,False,False,False,False,NONE,NONE
A10022890,창신초등학교,80.79547461368652,B,OK,146.0,6M,894500000.0,844290131.1557014,LOW,9.0,-12.447619499573891,MIXED_POSITIVE_RESIDUAL,False,0.024059530274278984,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A10025258,창신초등학교,80.79547461368652,B,OK,13.0,12M,890000000.0,699359721.5947576,MEDIUM,9.0,-12.882817398774648,STRONG_NEGATIVE,False,0.09237105346128249,False,False,False,False,False,False,False,False,False,NONE,NONE
A10027341,사직초등학교,80.76136865342164,B,OK,15.0,6M,580000000.0,473967967.4691421,LOW,5.0,2.621964587398772,MIXED_POSITIVE_COMPARABLE,False,0.1192882175266341,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A60712001,사직초등학교,80.76136865342164,B,OK,12.0,6M,405000000.0,493721692.9179894,MEDIUM,8.0,48.0926280153876,STRONG_POSITIVE,False,-0.29207944176014955,False,False,False,False,False,False,False,False,False,NONE,NONE
A60712204,사직초등학교,80.76136865342164,B,OK,11.0,6M,205000000.0,331163211.4753878,MEDIUM,8.0,64.68696006174879,STRONG_POSITIVE,False,-0.39626853075778,False,False,False,False,False,False,False,False,False,NONE,NONE
A60776402,사직초등학교,80.76136865342164,B,OK,11.0,6M,510000000.0,441383037.6743687,LOW,5.0,21.69593067947674,MIXED_POSITIVE_COMPARABLE,False,-0.08310100993067415,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A60782005,사직초등학교,80.76136865342164,B,OK,13.0,6M,215000000.0,256770246.80021667,MEDIUM,8.0,51.52297063412474,STRONG_POSITIVE,False,-0.2943100114799062,False,False,False,False,False,False,False,False,False,NONE,NONE
A61180503,거제초등학교,79.81103752759383,B,OK,29.0,6M,320000000.0,509946212.3865785,MEDIUM,9.0,60.45873394525846,STRONG_POSITIVE,False,-0.5162315232657395,False,False,False,False,False,False,False,False,False,NONE,NONE
A10025687,명륜초등학교,78.46087196467991,B,OK,13.0,6M,755000000.0,468323976.33097446,LOW,0.0,-48.37988451380009,INSUFFICIENT,False,0.21357184783450833,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A60701003,명륜초등학교,78.46087196467991,B,OK,5.0,6M,660000000.0,576595891.0585746,LOW,21.0,0.766013845317925,MIXED_POSITIVE_COMPARABLE,False,-0.09839163437942489,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A60701004,명륜초등학교,78.46087196467991,B,OK,25.0,6M,815000000.0,612135632.5973071,HIGH,25.0,-22.539644219963964,STRONG_NEGATIVE,False,0.09140780800594683,False,False,False,False,False,False,False,False,False,NONE,NONE
A61203017,상당초등학교,78.09409492273733,B,OK,6.0,6M,491500000.0,361050414.3546037,LOW,25.0,-5.132088301728562,MIXED_POSITIVE_COMPARABLE,False,0.0533502714395091,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61203019,상당초등학교,78.09409492273733,B,OK,15.0,6M,460000000.0,310620848.1366727,HIGH,16.0,-23.307041079292524,STRONG_NEGATIVE,False,0.17120229166129342,False,False,False,False,False,False,False,False,False,NONE,NONE
A61203039,상당초등학교,78.09409492273733,B,OK,15.0,6M,380000000.0,341707690.8524799,MEDIUM,5.0,5.255058633154143,STRONG_POSITIVE,False,-0.04773526400436534,False,False,False,False,False,False,False,False,False,NONE,NONE
A10022847,남천초등학교,77.64387417218543,B,OK,24.0,6M,1042500000.0,579747901.6882911,HIGH,11.0,-77.17985567069705,STRONG_NEGATIVE,False,0.4679532071918686,False,False,False,False,False,False,False,False,False,NONE,NONE
A10023607,남천초등학교,77.64387417218543,B,OK,25.0,6M,1200000000.0,1951222246.684516,LOW,7.0,11.87248370825614,MIXED_POSITIVE_RESIDUAL,True,-0.6205859410096224,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61381903,남천초등학교,77.64387417218543,B,OK,15.0,6M,920000000.0,922520437.0909376,LOW,0.0,12.716109565598744,INSUFFICIENT,False,0.06659277502966354,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A10022591,금강초등학교,77.53211920529802,B,OK,27.0,6M,720000000.0,545543671.5565841,MEDIUM,8.0,-23.653233623963025,STRONG_NEGATIVE,False,0.09225472252006917,False,False,False,False,False,False,False,False,False,NONE,NONE
A10025463,금강초등학교,77.53211920529802,B,OK,15.0,6M,690000000.0,673443858.0284644,LOW,5.0,-3.117038154312713,MIXED_POSITIVE_RESIDUAL,False,-0.1448201040990309,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A60784207,금강초등학교,77.53211920529802,B,OK,16.0,6M,570000000.0,514479206.5273098,MEDIUM,8.0,18.860124832765823,STRONG_POSITIVE,False,-0.1197287016913009,False,False,False,False,False,False,False,False,False,NONE,NONE
A10022280,보림초등학교,77.03780353200882,B,OK,15.0,6M,375000000.0,241800132.04188183,LOW,0.0,-42.93260502517562,INSUFFICIENT,False,0.40189037972522534,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A60474002,보림초등학교,77.03780353200882,B,OK,46.0,6M,136500000.0,160163822.1812991,LOW,0.0,26.92892007375822,INSUFFICIENT,False,-0.13584540700564318,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A61202007,해원초등학교,76.8108719646799,B,OK,24.0,6M,1780000000.0,1371795758.0944734,HIGH,18.0,-15.670418666833164,STRONG_NEGATIVE,False,-0.12879421858536588,False,False,False,False,False,False,False,False,False,NONE,NONE
A61274013,해원초등학교,76.8108719646799,B,OK,27.0,6M,1400000000.0,1236692585.132069,LOW,18.0,2.048005982495516,MIXED_POSITIVE_COMPARABLE,False,-0.2609886919112796,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A60809002,용문초등학교,76.70408388520971,B,OK,21.0,6M,1055000000.0,682135002.615271,MEDIUM,8.0,-63.3575637801265,STRONG_NEGATIVE,False,0.3811801177510752,False,False,False,False,False,False,False,False,False,NONE,NONE
A60809004,용문초등학교,76.70408388520971,B,OK,124.0,6M,527500000.0,514056714.03229606,LOW,8.0,-2.145083741895405,MIXED_POSITIVE_RESIDUAL,False,-0.08479637362695769,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A10028145,용소초등학교,76.50546357615895,B,OK,20.0,6M,832500000.0,574742509.3804772,HIGH,11.0,-16.996164380797005,STRONG_NEGATIVE,False,0.21775897853726356,False,False,False,False,False,False,False,False,False,NONE,NONE
A60802001,용소초등학교,76.50546357615895,B,OK,45.0,6M,1045000000.0,679527886.448944,HIGH,11.0,-32.94303444525361,STRONG_NEGATIVE,False,0.25014263947968907,False,False,False,False,False,False,False,False,False,NONE,NONE
A60874408,용소초등학교,76.50546357615895,B,OK,9.0,6M,700000000.0,471097538.1629239,LOW,11.0,1.7336641124637246,MIXED_POSITIVE_COMPARABLE,True,0.17173898429570045,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61203013,신곡초등학교,75.86605960264902,B,OK,11.0,6M,465000000.0,307085543.9522197,HIGH,12.0,-24.37346569910208,STRONG_NEGATIVE,False,0.17185256162122897,False,False,False,False,False,False,False,False,False,NONE,NONE
A61203025,신곡초등학교,75.86605960264902,B,OK,17.0,6M,730000000.0,415895521.58803856,HIGH,27.0,-46.58421806266741,STRONG_NEGATIVE,False,0.2920704086631698,False,False,False,False,False,False,False,False,False,NONE,NONE
A61203026,신곡초등학교,75.86605960264902,B,OK,11.0,6M,455000000.0,297200784.734911,HIGH,16.0,-30.286049128905955,STRONG_NEGATIVE,False,0.2082593694443835,False,False,False,False,False,False,False,False,False,NONE,NONE
A10023283,해빛초등학교,75.63647902869756,B,OK,,,,,LOW,,,INSUFFICIENT,False,,True,False,False,False,True,True,False,False,False,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR
A10023778,해빛초등학교,75.63647902869756,B,OK,,,,,LOW,,,INSUFFICIENT,False,,True,False,False,False,True,True,False,False,False,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR
A10023912,해빛초등학교,75.63647902869756,B,OK,15.0,6M,428000000.0,456696431.1698333,MEDIUM,5.0,17.666905514815163,STRONG_POSITIVE,False,-0.11469828451302888,False,False,False,False,False,False,False,False,False,NONE,NONE
A10024606,해빛초등학교,75.63647902869756,B,OK,14.0,6M,422500000.0,455006242.0828105,MEDIUM,5.0,23.0159009363874,STRONG_POSITIVE,False,-0.09925971882811169,False,False,False,False,False,False,False,False,False,NONE,NONE
A10022405,무정초등학교,75.30364238410596,B,OK,11.0,6M,625000000.0,508213654.8547885,HIGH,12.0,-55.6920266942995,STRONG_NEGATIVE,True,0.31522832725090844,False,False,False,False,False,False,False,False,False,NONE,NONE
A10023647,무정초등학교,75.30364238410596,B,OK,17.0,6M,640000000.0,497648793.4658646,HIGH,12.0,-39.9764961036735,STRONG_NEGATIVE,False,0.19720871982970323,False,False,False,False,False,False,False,False,False,NONE,NONE
A61206110,무정초등학교,75.30364238410596,B,OK,12.0,6M,333500000.0,277163364.197072,LOW,12.0,-3.0382692362161965,MIXED_POSITIVE_COMPARABLE,False,0.07146641735716752,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61206114,무정초등학교,75.30364238410596,B,OK,24.0,6M,335000000.0,386998420.5459077,MEDIUM,5.0,26.053881424513325,STRONG_POSITIVE,False,-0.11619732460240684,False,False,False,False,False,False,False,False,False,NONE,NONE
A10023781,교동초등학교,75.1171633554084,B,OK,7.0,6M,1030000000.0,749374811.4886844,HIGH,17.0,-37.175000850082014,STRONG_NEGATIVE,False,0.1740961323097281,False,False,False,False,False,False,False,False,False,NONE,NONE
A10027690,교동초등학교,75.1171633554084,B,OK,52.0,6M,705000000.0,654476039.0114425,HIGH,18.0,5.243000961627397,STRONG_POSITIVE,False,-0.1462007588133849,False,False,False,False,False,False,False,False,False,NONE,NONE
A10026363,개금초등학교,73.65309050772626,B,OK,16.0,6M,581500000.0,509707958.726519,MEDIUM,7.0,-56.896563614853136,STRONG_NEGATIVE,True,0.15318644617689348,False,False,False,False,False,False,False,False,False,NONE,NONE
A10022434,송도초등학교,73.16280353200882,B,OK,107.0,6M,461800000.0,438390557.7679833,LOW,0.0,4.985651295670235,INSUFFICIENT,False,-0.08710651541659331,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A10023790,송도초등학교,73.16280353200882,B,OK,29.0,6M,880000000.0,683594686.0553589,LOW,0.0,-18.40574095783925,INSUFFICIENT,False,0.09827620523452651,False,False,False,False,False,True,False,False,False,COMPARABLE_SHORTAGE,MAJOR
A10022365,연동초등학교,73.0110927152318,B,OK,14.0,6M,519500000.0,681207255.0803286,MEDIUM,5.0,25.6813631100681,STRONG_POSITIVE,False,-0.2988644080376419,False,False,False,False,False,False,False,False,False,NONE,NONE
A61175901,연동초등학교,73.0110927152318,B,OK,24.0,6M,612500000.0,588193390.6348112,HIGH,10.0,7.063048429757501,STRONG_POSITIVE,False,-0.07663425493334142,False,False,False,False,False,False,False,False,False,NONE,NONE
A10026484,해림초등학교,72.85044150110376,B,OK,18.0,6M,1020000000.0,933566918.5711172,LOW,5.0,-5.398565379916189,MIXED_POSITIVE_RESIDUAL,False,-0.013970682943515556,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61202009,해림초등학교,72.85044150110376,B,OK,12.0,6M,1112500000.0,901092050.3213664,MEDIUM,6.0,-17.43534007557609,STRONG_NEGATIVE,False,0.010983727949717803,False,False,False,False,False,False,False,False,False,NONE,NONE
A61274213,해림초등학교,72.85044150110376,B,OK,16.0,6M,681000000.0,597310747.6007605,LOW,7.0,17.948951430305893,MIXED_POSITIVE_COMPARABLE,False,-0.09633073034208728,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61274508,해림초등학교,72.85044150110376,B,OK,38.0,6M,920000000.0,724736750.9524002,LOW,8.0,-7.565565107843273,MIXED_POSITIVE_COMPARABLE,False,0.06453591927203561,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61286810,해림초등학교,72.85044150110376,B,OK,14.0,6M,620000000.0,732410261.7836571,HIGH,10.0,34.177990646184504,STRONG_POSITIVE,False,-0.22415087142222667,False,False,False,False,False,False,False,False,False,NONE,NONE
A61206118,장산초등학교,72.56655629139073,B,OK,28.0,6M,554500000.0,470902040.4990656,MEDIUM,6.0,-12.493737499882984,STRONG_NEGATIVE,False,0.05699151338310404,False,False,False,False,False,False,False,False,False,NONE,NONE
A61272011,장산초등학교,72.56655629139073,B,OK,3.0,6M,280500000.0,220836637.87918657,LOW,12.0,8.653214257986846,MIXED_POSITIVE_COMPARABLE,False,0.583014664066706,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A61281117,장산초등학교,72.56655629139073,B,OK,28.0,6M,242500000.0,245325610.6362385,HIGH,12.0,19.88333767057941,STRONG_POSITIVE,False,-0.06277083408723527,False,False,False,False,False,False,False,False,False,NONE,NONE
A60931207,두실초등학교,72.37748344370861,B,OK,28.0,6M,489000000.0,512384861.41494167,LOW,6.0,6.760723069443386,MIXED_POSITIVE_RESIDUAL,False,-0.11137402186610856,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
A60971101,두실초등학교,72.37748344370861,B,OK,32.0,6M,530500000.0,505343527.87909937,LOW,6.0,-2.3849586207392197,MIXED_POSITIVE_RESIDUAL,False,-0.009665960667772922,False,False,False,False,False,False,True,False,False,METHOD_DISAGREEMENT,MINOR
