apartment_id,apartment_name,household_count,gu,legal_dong,elementary_school_name,elementary_demand_score,elementary_percentile,phase7_score,eligible_middle_count,eligible_middle_schools,eligible_middle_score_mean,eligible_middle_score_max,eligible_middle_score_min,eligible_middle_score_range,has_guaranteed_assignment,guaranteed_middle_name,guaranteed_middle_score,guaranteed_middle_is_top_tier,school_premium_core_score,school_premium_addon_score,final_school_premium_score,school_premium_confidence,data_quality_flag,recent_price_per_m2,unusual_flag,unusual_reason,price_window_used,transaction_count,representative_area_m2,recent_market_price,recent_market_price_per_m2,recent_transaction_date,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,as_of_date,linear_school_premium_pct,internal_complex_id,apartment_age,comparable_count,comparable_rule,comparable_median_price_per_m2,observed_comparable_premium_pct,baseline_non_school_price,expected_school_premium_pct,expected_school_premium_amount,expected_fair_price,observed_residual_premium_pct,residual_method_gap_pct,comparable_method_gap_pct,observed_market_premium_pct,school_value_gap_pct,total_value_gap_pct,linear_gap_pct,gap_confidence,school_data_quality_flag,score_percentile,ranking_type,rank
A60712204,한신,710.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,80.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,2758274.82447342,False,,6M,11.0,84.94,205000000.0,2758274.82447342,2026-08-10,331163211.4753878,377327009.22144544,13.9398931241155,46163797.74605763,6.925215402570213,2026-08-28,13.939893124115407,A60712204,27,8.0,ALL_SAME_DONG,7535682.210174229,-63.39714510851636,331163211.4753878,13.9398931241155,46163797.74605763,377327009.22144544,-38.09698876675023,52.03688189086573,77.33703823263187,-50.74706693763329,64.68696006174879,84.06195571777826,64.68696006174869,MEDIUM,OK,92.4,SCHOOL_VALUE_GAP_TOP_30,1
A61180503,유림아시아드,1330.0,연제구,거제동,거제초등학교,79.81103752759383,91.74147217235188,73.86156862745099,3.0,거제여중;여명중;이사벨중,75.27450980392156,94.26470588235294,51.8235294117647,42.44117647058824,0.0,,,0.0,79.81103752759383,0.0,79.81103752759383,B,OK,3824852.360698877,False,,6M,29.0,84.9706,320000000.0,3824852.360698877,2026-08-22,509946212.3865785,578694367.4294099,13.481452234165236,68748155.04283136,6.673190132267226,2026-08-28,13.481452234165218,A61180503,24,9.0,ALL_SAME_DONG,8834658.53211315,-56.70627962817238,509946212.3865785,13.481452234165236,68748155.04283136,578694367.4294099,-37.24828379401407,50.7297360281793,70.18773186233761,-46.97728171109323,60.45873394525846,80.84198982169058,60.458733945258444,MEDIUM,OK,91.8,SCHOOL_VALUE_GAP_TOP_30,2
A61484004,협성피닉스타운,774.0,부산진구,부암동,동평초등학교,70.84387417218544,79.89228007181327,58.57735294117648,4.0,동평여중;동평중;부산진중;초연중,51.639705882352935,58.67647058823528,45.20588235294118,13.470588235294102,0.0,,,0.0,70.84387417218544,0.0,70.84387417218544,B,OK,1861996.5972364568,False,,6M,5.0,125.85,237000000.0,1752997.747884838,2026-07-17,335597356.35615546,366624939.675547,9.245479063447458,31027583.31939155,4.494923978067426,2026-08-28,9.245479063447371,A61484004,32,11.0,ALL_SAME_DONG,4724940.513496321,-62.899051472128065,335597356.35615546,9.245479063447458,31027583.31939155,366624939.675547,-29.379658238880225,38.62513730232769,72.14453053557553,-46.139354855504145,55.3848339189516,54.69406737364852,55.384833918951514,HIGH,OK,79.4,SCHOOL_VALUE_GAP_TOP_30,3
A60980506,구서우성,1118.0,금정구,구서동,구서초등학교,66.87472406181016,74.05745062836625,74.82470588235294,2.0,구서여중;남산중,75.11764705882354,84.70588235294117,65.52941176470588,19.17647058823529,0.0,,,0.0,66.87472406181016,0.0,66.87472406181016,B,OK,2706837.7074261503,False,,6M,9.0,84.97,225000000.0,2659762.2690361305,2026-08-11,343755680.6906017,369266965.92313594,7.421342152450339,25511285.23253423,3.5771741834361666,2026-08-28,7.42134215245038,A60980506,31,6.0,ALL_SAME_DONG,5787697.241241394,-54.04455073974045,343755680.6906017,7.421342152450339,25511285.23253423,369266965.92313594,-34.54653620618654,41.967878358636874,61.46589289219079,-44.295543472963494,51.71688562541383,64.11865152139376,51.71688562541387,MEDIUM,OK,73.1,SCHOOL_VALUE_GAP_TOP_30,4
A60782005,삼정그린코아,874.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,79.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,3096378.401884666,False,,6M,13.0,59.76,215000000.0,3097271.0530721582,2026-08-15,256770246.80021667,292563744.7786944,13.939893124115477,35793497.97847772,6.925215402570213,2026-08-28,13.939893124115407,A60782005,28,8.0,ALL_SAME_DONG,7535682.210174229,-58.8985978085646,256770246.80021667,13.939893124115477,35793497.97847772,292563744.7786944,-16.26755721145392,30.207450335569398,72.83849093268007,-37.58307751000926,51.52297063412474,36.076160362183444,51.52297063412467,MEDIUM,OK,92.4,SCHOOL_VALUE_GAP_TOP_30,5
A61482303,백양푸른채,1116.0,부산진구,당감동,동양초등학교;동원초등학교,66.89039735099338,74.50628366247756,53.44754901960785,5.0,개금여중;개림중;동양중;동평여중;동평중,42.864705882352936,57.76470588235294,21.14705882352941,36.617647058823536,0.0,,,0.0,66.89039735099338,0.0,66.89039735099338,B,OK,,False,,6M,22.0,59.89,120000000.0,2187724.2428667126,2026-08-13,220824509.83404154,237228425.47900003,7.428485025184339,16403915.644958496,3.5771741834361666,2026-08-28,7.428485025184328,A61482303,26,9.0,ALL_SAME_DONG,3779903.106420339,-42.122213684505226,220824509.83404154,7.428485025184339,16403915.644958496,237228425.47900003,-45.658206106656905,53.08669113184124,49.55069870968956,-43.890209895581066,51.3186949207654,97.69035456583337,51.318694920765395,MEDIUM,OK,73.6,SCHOOL_VALUE_GAP_TOP_30,6
A60712001,사직2차삼정그린코아,560.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,80.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,3708337.890942852,False,,6M,12.0,112.4493,405000000.0,3742559.7138075307,2026-08-21,493721692.9179894,562545969.2413306,13.939893124115454,68824276.32334125,6.925215402570213,2026-08-28,13.939893124115407,A60712001,20,8.0,ALL_SAME_DONG,7535682.210174229,-50.33548908478983,493721692.9179894,13.939893124115454,68824276.32334125,562545969.2413306,-17.969980697754483,31.909873821869937,64.27538220890528,-34.152734891272154,48.092628015387604,38.90023931884707,48.09262801538756,MEDIUM,OK,92.4,SCHOOL_VALUE_GAP_TOP_30,7
A61485906,연지2청구,554.0,부산진구,연지동,연지초등학교,67.58669977924946,77.28904847396768,51.63725490196079,3.0,부산진중;초연중;초읍중,42.75490196078431,58.67647058823528,24.205882352941178,34.4705882352941,0.0,,,0.0,67.58669977924946,0.0,67.58669977924946,B,OK,2773843.248347497,False,,6M,18.0,80.64,206500000.0,2803352.2190745985,2026-08-26,314365903.85260093,338717612.28919214,7.746294409844512,24351708.436591208,3.8037836921826558,2026-08-28,7.746294409844517,A61485906,23,5.0,ALL_SAME_DONG,5180078.9193160925,-45.88205579993914,314365903.85260093,7.746294409844512,24351708.436591208,338717612.28919214,-34.312214693352,42.058509103196506,53.62835020978365,-40.097135246645564,47.84342965649007,64.02789941365236,47.84342965649008,MEDIUM,OK,76.5,SCHOOL_VALUE_GAP_TOP_30,8
A61176411,연산엘지,2302.0,연제구,연산동,연천초등학교,69.14166666666668,78.72531418312387,54.33058823529412,5.0,망미중;연산중;연제중;연천중;토현중,45.14705882352941,58.82352941176471,30.617647058823533,28.205882352941178,0.0,,,0.0,69.14166666666668,0.0,69.14166666666668,B,OK,3859277.5620661257,False,,6M,32.0,84.99,314500000.0,3846401.2858249694,2026-08-25,469699307.3444912,509433132.6861243,8.459417486960685,39733825.34163314,4.032269986428494,2026-08-28,8.459417486960753,A61176411,27,15.0,ALL_SAME_DONG,6788183.459328637,-43.33681007782626,469699307.3444912,8.459417486960685,39733825.34163314,509433132.6861243,-33.042268727610335,41.50168621457102,51.796227564786946,-38.189539402718296,46.648956889678985,61.98191818318739,46.64895688967905,HIGH,OK,78.10000000000001,SCHOOL_VALUE_GAP_TOP_30,9
A61482302,"백양뜨란채,주공아파트(1단지)",851.0,부산진구,당감동,동양초등학교;동원초등학교,66.89039735099338,74.50628366247756,53.44754901960785,5.0,개금여중;개림중;동양중;동평여중;동평중,42.864705882352936,57.76470588235294,21.14705882352941,36.617647058823536,0.0,,,0.0,66.89039735099338,0.0,66.89039735099338,B,OK,,False,,6M,16.0,59.89,139500000.0,2328880.140492366,2026-08-10,215322359.142586,231317548.3473666,7.428485025184317,15995189.204780608,3.5771741834361666,2026-08-28,7.428485025184328,A61482302,27,9.0,ALL_SAME_DONG,3779903.106420339,-38.387834954376046,215322359.142586,7.428485025184317,15995189.204780608,231317548.3473666,-35.21341650003779,42.6419015252221,45.81631997956036,-36.80062572720692,44.229110752391236,65.81903107338107,44.22911075239125,MEDIUM,OK,73.6,SCHOOL_VALUE_GAP_TOP_30,10
