model,n_transactions,n_apartments,n_schools,r_squared_insample,adjusted_r_squared,aic,bic,rmse_log_insample,mae_log_insample,parameter_count,sse,train_end,train_transactions,test_transactions,train_apartments,test_apartments,rmse_log_oos,mae_log_oos,mape,r_squared_oos,delta_adjusted_r2_vs_E,delta_aic_vs_E,delta_bic_vs_E,delta_rmse_vs_E,delta_mae_vs_E,lr_stat,lr_df,lr_p_value
MODEL_E,22176,485,220,0.8310788458205107,0.8303059439190824,-4745.8288388105475,-3929.1387168076053,0.21641837640823527,0.16134320860319984,102,1038.6553970397883,2025-02-06,97708,32525,478,485,0.23554459762747107,0.18043734570696138,0.1812490482909905,0.7957109954996187,0.0,0.0,0.0,0.0,0.0,,,
MODEL_E_PLUS_M,22176,485,220,0.8354974833178286,0.8347073584019598,-5323.630189704842,-4466.906238191952,0.21356908537854324,0.15913695197969752,107,1011.486261791784,2025-02-06,97708,32525,478,485,0.2335681471133738,0.1796659569479679,0.1802583197599812,0.7991249825808027,0.004401414482877342,-577.801350894295,-537.7675213843468,-0.0019764505140972832,-0.0007713887589934909,587.8013508942921,5.0,8.738517240519703e-125
