target_apartment_id,target_apartment_name,comparable_rank,comparable_apartment_id,comparable_apartment_name,same_legal_dong,fallback_level,age_difference,household_difference,area_difference,school_score_difference,similarity_distance,comparable_transaction_count
A10022365,연산포레서희스타힐스,3,A10028028,부산센텀푸르지오,True,0,10,52.0,10.229,31.99718543046358,0.35784066650468277,198.0
A10022365,연산포레서희스타힐스,4,A10027085,센텀리버SKVIEW,True,0,8,83.0,20.8408,31.99718543046358,0.4688182822726978,259.0
A10022365,연산포레서희스타힐스,5,A10025559,연산더샵,True,0,6,459.0,0.07849999999999113,8.196467991169982,0.5366813080726803,389.0
A10022405,드파인센텀,1,A10023647,센텀KCC스위첸,True,0,2,112.0,10.168300000000002,0.0,0.27627968462394625,84.0
A10022405,드파인센텀,2,A10024249,해운대센텀트루엘1단지,True,0,5,219.0,0.24670000000000414,37.922626931567315,0.35385150815146565,192.0
A10022405,드파인센텀,3,A61206113,우방신세계타운,True,0,21,248.0,2.9283000000000072,11.025165562913912,0.5971458015597425,259.0
A10022405,드파인센텀,4,A61206114,센텀롯데캐슬2차,True,0,19,415.0,10.228300000000004,0.0,0.6444627853494402,323.0
A10022405,드파인센텀,5,A61206110,센텀롯데캐슬3차아파트,True,0,18,233.0,14.801799999999993,0.0,0.7591221366933646,174.0
A10022434,e편한세상송도더퍼스트비치,1,A10026034,대신푸르지오1차,False,1,6,343.0,0.14750000000000796,10.8987306843267,0.32913588828712126,397.0
A10022434,e편한세상송도더퍼스트비치,2,A10024535,대신푸르지오2차,False,1,3,487.0,0.12470000000000425,6.926214128035312,0.41289754687901986,190.0
A10022434,e편한세상송도더퍼스트비치,3,A10023704,대신해모로센트럴아파트,False,1,2,569.0,8.2804,6.926214128035312,0.524086190314865,100.0
A10022434,e편한세상송도더퍼스트비치,4,A10023790,힐스테이트이진베이시티아파트,True,1,2,66.0,8.101100000000002,0.0,0.9105687710945195,159.0
A10022541,에코델타스마트시티수자인,1,A61870406,퀸덤1차에디슨타운,False,1,15,98.0,31.568600000000004,25.20778145695364,0.8368939707369387,151.0
A10022541,에코델타스마트시티수자인,2,A10025776,더힐시그니처,False,1,5,656.0,41.32910000000001,39.582450331125834,0.8683766525841966,347.0
A10022541,에코델타스마트시티수자인,3,A10022696,에코델타호반써밋스마트시티,True,1,0,28.0,48.054000000000016,0.0,0.9522013316698451,6.0
A10022541,에코델타스마트시티수자인,4,A61870404,퀸덤1차아인슈타인타운,False,1,15,558.0,31.568600000000004,25.20778145695364,1.0497498764984652,318.0
A10022541,에코델타스마트시티수자인,5,A61870405,퀸덤1차링컨타운,False,1,15,548.0,31.568600000000004,25.20778145695364,1.0515388220253654,298.0
A10022568,해운대경동리인뷰2차,1,A61202011,센텀두산위브,True,0,9,51.0,0.021500000000003183,15.969094922737312,0.2391037993220824,152.0
A10022568,해운대경동리인뷰2차,2,A10023542,해운대센트럴푸르지오,True,0,1,84.0,0.4329000000000036,0.0,0.358991405929708,48.0
A10022568,해운대경동리인뷰2차,3,A10025214,해운대비스타동원,True,0,4,128.0,0.028999999999996362,11.788741721854308,0.44021312311834804,87.0
A10022568,해운대경동리인뷰2차,4,A10026484,해운대자이2차1단지,True,0,6,181.0,0.05849999999999511,8.731732891832223,0.4869947104664397,229.0
A10022568,해운대경동리인뷰2차,5,A61202009,해운대자이1단지,True,0,11,427.0,0.4405000000000001,8.731732891832223,0.5347813745911398,290.0
A10022574,초읍하늘채포레스원,1,A10023627,가야롯데캐슬골드아너,False,1,1,179.0,0.00030000000000285354,1.042549668874173,0.20269303199727406,152.0
A10022574,초읍하늘채포레스원,2,A10020213,가야역롯데캐슬스카이엘,False,1,2,31.0,0.12579999999999814,15.066114790286989,0.4951381675307452,1.0
A10022574,초읍하늘채포레스원,3,A61479502,반도보라빌,False,1,19,292.0,24.865800000000007,10.330463576158934,0.7982158926350087,262.0
A10022574,초읍하늘채포레스원,4,A10024953,포레나부산초읍,True,1,4,357.0,12.914199999999994,15.595364238410603,0.8631020815247841,398.0
A10022574,초읍하늘채포레스원,5,A61476403,벽산1,False,1,33,1016.0,24.995999999999995,10.330463576158934,1.6997289469910346,265.0
A10022591,사직하늘채리센티아,1,A10024982,쌍용더플래티넘사직아시아드아파트,True,0,4,224.0,0.3071000000000055,11.63068432671082,0.26453240907125447,353.0
A10022591,사직하늘채리센티아,2,A10027341,사직KCC스위첸1단지,True,0,7,309.0,0.08809999999999718,3.2292494481236247,0.36386262835447086,401.0
A10022591,사직하늘채리센티아,3,A60776402,사직2차쌍용예가,True,0,13,65.0,0.09720000000000084,3.2292494481236247,0.5522333687732642,253.0
A10022591,사직하늘채리센티아,4,A10027054,사직롯데캐슬더클래식,True,0,7,374.0,0.04010000000000957,11.63068432671082,0.5610135641537108,303.0
A10022591,사직하늘채리센티아,5,A60712204,한신,True,0,25,20.0,0.04219999999999402,3.2292494481236247,0.6384852099348671,196.0
A10022696,에코델타호반써밋스마트시티,1,A10020645,강서자이에코델타,True,1,1,330.0,7.66695,0.0,0.4758437237600363,2.0
