elementary_cluster,apartment_count,transaction_count,median_price_per_m2,median_adjusted_residual,median_E,median_M
대규모 안정형,235,11605,5533969.151065583,0.009024355874847956,62.26407284768212,58.57735294117648
신축주거지 급성장형,52,3483,8730108.765430177,0.08809269499914141,80.79547461368652,63.23352941176471
학생감소형,199,7093,3383261.247313691,-0.03570606925279973,42.43294701986755,54.77372549019608
