model,n_transactions,n_apartments,train_end,train_transactions,test_transactions,future_leakage,adjusted_r_squared,aic,bic,rmse_insample,mae_insample,rmse_oos,mae_oos,r2_oos,calibration_slope,calibration_intercept,monotonic,parameter_count
MODEL_NONE,132979,500,2025-02-03,99751,33228,False,0.7576654919542284,3853.237961516577,4872.224397516615,0.24531002334422894,0.1858525669637225,0.2533030349912405,0.19420430975557548,0.7654296875986906,1.156611735810083,-2.4975764828881104,True,104
MODEL_LINEAR,132979,500,2025-02-03,99751,33228,False,0.7656191177120457,-583.4771336394303,445.3072488606076,0.24124988848016213,0.18258554820654704,0.2464899880403007,0.18735868114680584,0.7778783827096327,1.1515028849010873,-2.420409830982904,True,105
MODEL_QUADRATIC,132979,500,2025-02-03,99751,33228,False,0.7669790728150765,-1356.3131003531764,-317.7307713531379,0.24054805940440654,0.18199510249780626,0.24599546750041226,0.18772694636541623,0.7787687516533109,1.1482917274661235,-2.369343755493244,False,106
MODEL_BINNED,132979,500,2025-02-03,99751,33228,False,0.7687954220971154,-2394.9190770490854,-1336.7408550490463,0.2396069111761987,0.18214496996944132,0.24751198830100424,0.19019598977166055,0.7760326366393917,1.137715410893362,-2.2050759883413003,False,108
MODEL_SPLINE,132979,500,2025-02-03,99751,33228,False,0.7710651540525213,-3703.824499080143,-2616.252437580103,0.23842521002842973,0.18108044985990085,0.2447375359653649,0.18804284872740418,0.781025559227889,1.1569657120445167,-2.5001615225231753,False,111
