middle_school_id,middle_school_name,requested_year,observed_year,availability,eligible_for_scoring,manual_review,review_reason,source_document
S020000978,연산중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000978.html
S020000979,연일중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000979.html
S020000980,연제중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000980.html
S020000981,연천중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000981.html
S020000983,이사벨중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000983.html
S020000984,초연중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000984.html
S020000986,초읍중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000986.html
S020000987,토현중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000987.html
S020000988,항도중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020000988.html
S020001202,가락중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001202.html
S020001203,가람중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001203.html
S020001204,경일중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001204.html
S020001205,구남중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001205.html
S020001207,구포중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001207.html
S020001208,금곡중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001208.html
S020001210,낙동중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001210.html
S020001211,녹산중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001211.html
S020001212,대저중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001212.html
S020001213,대천리중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001213.html
S020001214,덕문중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001214.html
S020001215,덕천여자중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001215.html
S020001216,덕천중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001216.html
S020001217,덕포여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001217.html
S020001218,동주중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001218.html
S020001219,만덕중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001219.html
S020001221,모라중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001221.html
S020001222,백양중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001222.html
S020001223,사상중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001223.html
S020001224,삼락중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001224.html
S020001225,양덕여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001225.html
S020001226,엄궁중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001226.html
S020001227,용수중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001227.html
S020001229,주감중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001229.html
S020001230,주례여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001230.html
S020001231,주례중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001231.html
S020001232,학장중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001232.html
S020001233,화명중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001233.html
S020001234,화신중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001234.html
S020001399,감천중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001399.html
S020001400,건국중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001400.html
S020001401,경남중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001401.html
S020001403,남도여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001403.html
S020001405,다대중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001405.html
S020001406,다선중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001406.html
S020001407,다송중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001407.html
S020001408,대동중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001408.html
S020001409,대신여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001409.html
S020001412,동삼중학교,2023,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2023\S020001412.html
S020001413,동주여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001413.html
S020001416,부산남중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001416.html
S020001417,부산대신중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001417.html
S020001418,당리중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001418.html
S020001420,부산여자중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001420.html
S020001421,부산영선중학교,2023,2023.0,available,True,False,,data\raw\advancement\2023\S020001421.html
