audit_segment,apartment_id,apartment_name,legal_dong,sigungu,household_count,elementary_name,school_premium_core_score,school_premium_confidence,recent_market_price,residual_premium,transaction_count,has_guaranteed_assignment,sanity_flag,sanity_reason
CORE_TOP_30,A61205003,더샵센텀스타,재송동,해운대구,629.0,센텀초등학교,89.52671081677705,A,1500000000.0,0.10861922794516765,6,1.0,False,
CORE_TOP_30,A61271204,더샵센텀파크1차,재송동,해운대구,2752.0,센텀초등학교,89.52671081677705,A,1297000000.0,0.39205758669138113,45,1.0,False,
CORE_TOP_30,A61271302,더샵센텀파크2차,재송동,해운대구,998.0,센텀초등학교,89.52671081677705,A,1112500000.0,0.3609622137808337,10,1.0,False,
CORE_TOP_30,A61176513,거제1차현대홈타운,거제동,연제구,1127.0,남문초등학교,89.40375275938192,B,510000000.0,0.02296328884811949,27,0.0,False,
CORE_TOP_30,A61176612,거제2차현대홈타운,거제동,연제구,1110.0,남문초등학교,89.40375275938192,B,620000000.0,0.1864773040436445,35,0.0,False,
CORE_TOP_30,A61176709,쌍용,거제동,연제구,502.0,남문초등학교,89.40375275938192,B,600000000.0,0.29082205474497513,15,0.0,False,
CORE_TOP_30,A10024982,쌍용더플래티넘사직아시아드아파트,사직동,동래구,914.0,여고초등학교,89.16280353200884,B,965000000.0,0.39868366820842027,20,0.0,False,
CORE_TOP_30,A10027054,사직롯데캐슬더클래식,사직동,동래구,1064.0,여고초등학교,89.16280353200884,B,1138500000.0,0.5184275745048659,16,0.0,False,
CORE_TOP_30,A60778608,사직쌍용예가,사직동,동래구,2947.0,예원초등학교,84.42207505518763,B,550000000.0,-0.13451316748872522,59,0.0,False,
CORE_TOP_30,A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,강동동,강서구,972.0,,84.39039735099338,C,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_TOP_30,A10020264,에코델타 더 베르힐 아파트,강동동,강서구,1120.0,,84.39039735099338,C,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_TOP_30,A10020378,에코델타시티 푸르지오린,강동동,강서구,895.0,,84.39039735099338,C,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_TOP_30,A10020569,에코델타시티 푸르지오 센터파크,강동동,강서구,972.0,,84.39039735099338,C,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_TOP_30,A10020645,강서자이에코델타,강동동,강서구,856.0,,84.39039735099338,C,532000000.0,-0.054390399504891995,2,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_TOP_30,A10020649,e편한세상 에코델타 센터포인트,강동동,강서구,953.0,,84.39039735099338,C,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_TOP_30,A10022541,에코델타스마트시티수자인,강동동,강서구,554.0,,84.39039735099338,C,749000000.0,-0.052909927708386206,3,0.0,True,MAPPING_UNCERTAINTY
CORE_TOP_30,A10022696,에코델타호반써밋스마트시티,강동동,강서구,526.0,,84.39039735099338,C,629000000.0,0.0006513537525467683,3,0.0,True,MAPPING_UNCERTAINTY
CORE_TOP_30,A10023417,더샵동래,온천동,동래구,603.0,온천초등학교,83.8975165562914,B,715000000.0,-0.020785038076437168,12,0.0,False,
CORE_TOP_30,A10024005,동래3차SKVIEW,온천동,동래구,999.0,온천초등학교,83.8975165562914,B,504000000.0,-0.2987677324740572,38,0.0,False,
CORE_TOP_30,A60783306,벽산아스타,온천동,동래구,648.0,온천초등학교,83.8975165562914,B,544000000.0,-0.24514000246918588,6,0.0,False,
CORE_TOP_30,A10022002,래미안포레스티지3단지,온천동,동래구,4043.0,금정초등학교,83.79271523178808,B,946500000.0,0.06332537534784244,26,0.0,False,
CORE_TOP_30,A10026780,래미안장전,장전동,금정구,1938.0,금정초등학교,83.79271523178808,B,766000000.0,0.17121264896266375,44,0.0,False,
CORE_TOP_30,A10020870,양정자이더샵SKVIEW아파트(2단지),양정동,부산진구,2276.0,양정초등학교,83.05761589403974,B,717000000.0,0.2533349155570388,13,0.0,False,
CORE_TOP_30,A61479902,대원칸타빌멤버스,양정동,부산진구,840.0,양정초등학교,83.05761589403974,B,445000000.0,-0.14450867977448478,11,0.0,False,
CORE_TOP_30,A61274011,경남마리나,우동,해운대구,624.0,해강초등학교,82.99199779249447,B,800000000.0,0.43243502301443826,12,0.0,False,
CORE_TOP_30,A61274114,경동,우동,해운대구,892.0,해강초등학교,82.99199779249447,B,725000000.0,-0.0430414057008468,17,0.0,False,
CORE_TOP_30,A61278912,대우마리나3,우동,해운대구,750.0,해강초등학교,82.99199779249447,B,946000000.0,0.42010241922933034,16,0.0,False,
CORE_TOP_30,A61282215,대우마리나1,우동,해운대구,1164.0,해강초등학교,82.99199779249447,B,1130000000.0,0.49681504860039816,9,0.0,False,
CORE_TOP_30,A10026391,더블유,용호동,남구,1488.0,분포초등학교,82.85033112582782,B,1935000000.0,0.6625049781301948,33,0.0,True,PRICE_OUTLIER
CORE_TOP_30,A61203016,동신,좌동,해운대구,676.0,부흥초등학교,82.6453642384106,B,326250000.0,0.03769761420177886,6,0.0,False,
CORE_BOTTOM_30,A10025154,명지화전우방아이유쉘,화전동,강서구,1515.0,녹명초등학교,10.338024282560706,B,185000000.0,0.012540053976088927,3,1.0,False,
CORE_BOTTOM_30,A10027340,전포LH아파트,전포동,부산진구,794.0,양성초등학교,13.76583885209713,B,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A61475403,현대1차,양정동,부산진구,1733.0,양성초등학교,13.76583885209713,B,300000000.0,-0.02994440369082252,49,0.0,False,
CORE_BOTTOM_30,A61479104,현대2차,양정동,부산진구,1901.0,양성초등학교,13.76583885209713,B,326500000.0,-0.05327307421508376,58,0.0,False,
CORE_BOTTOM_30,A61274815,센텀삼익아파트,재송동,해운대구,936.0,신재초등학교,20.46280353200883,B,158000000.0,0.002505613555532804,9,0.0,False,
CORE_BOTTOM_30,A61278214,센텀우신골든빌,재송동,해운대구,846.0,신재초등학교,20.46280353200883,B,200000000.0,-0.6154192204281657,15,0.0,False,
