school_path_group,apartment_count,transaction_count,median_price_per_m2,median_price_per_pyeong,median_age,median_households,median_E,median_M,median_adjusted_residual,conditional_price_difference_vs_D_pct
HIGH_E_HIGH_M,86,4785,8052625.866898136,26573665.360763848,20.0,881.0,77.58799668874173,76.24411764705883,0.07414080829622982,8.846585731487266
HIGH_E_LOW_M,75,3808,5617160.425098677,18536629.402825635,13.0,917.0,69.14166666666668,52.63725490196079,0.009024355874847956,1.9847169299227252
LOW_E_HIGH_M,70,3290,4784526.7197750695,15788938.17525773,20.5,865.0,55.17762141280353,72.73352941176469,-0.03867222765582179,-2.7654224316633558
LOW_E_LOW_M,255,10298,3766980.5817151433,12431035.919659972,21.0,828.0,43.402317880794705,53.31058823529411,-0.010628426174728034,0.0
