comparison,n,spearman,top20_overlap,top20_overlap_pct,top50_overlap,top50_overlap_pct
SELECTED_VS_LINEAR,500,1.0,20,100.0,50,100.0
RESIDUAL_VS_COMPARABLE,456,0.6165254071047,11,55.00000000000001,29,57.99999999999999
