model,variable,coefficient,standard_error,t_stat,p_value,ci95_low,ci95_high,ten_point_price_pct
MODEL_E,elementary_demand_score,0.005902001275047692,0.0009837471148514158,5.99951063230221,3.88014906178713e-09,0.003973856929938917,0.007830145620156466,6.07964699827912
MODEL_M,phase7_school_score,0.003047629746480926,0.0023168779844771614,1.3154036452932458,0.18899707036926822,-0.0014934511030943098,0.007588710596056162,3.0945453738283835
