final_review_class,class_rank,apartment_id,apartment_name,gu,legal_dong,household_count,school_core_score,school_premium_pct,school_value_gap_pct,local_fair_total_price,observed_market_price_12m,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,school_local_signal_agreement,model_confidence,local_gap_confidence,gap_confidence,gap_positive_probability,dong_bias_flag,phase154_audit_priority,model_limitation_flag,unmodeled_premium_candidate,unmodeled_discount_candidate
CORE_CANDIDATE,18,A61203027,LH뜨란채아파트,해운대구,좌동,928.0,61.9123068432671,5.183506659607939,17.02775450696209,300392260.60663074,285000000.0,5.400793195309039,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,19,A61870405,퀸덤1차링컨타운,강서구,명지동,1102.0,59.18261589403974,3.972471739439088,21.56515763456786,412634414.121242,394447876.4478765,4.6106314063953935,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,20,A61203031,상록,해운대구,좌동,1000.0,61.5385761589404,5.016870245024108,20.232746865958333,309908119.5905252,296500000.0,4.522131396467177,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,21,A61820001,롯데캐슬,강서구,명지동,1122.0,58.46859823399559,3.658003003169563,19.10872533658633,330337033.3716993,316500000.0,4.371890480789653,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,22,A60877907,청구,남구,대연동,604.0,38.21296909492274,-4.877519399907692,52.23700083460064,264748277.3040746,255581939.79933116,3.5864574437225016,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,23,A61870406,퀸덤1차에디슨타운,강서구,명지동,652.0,59.18261589403974,3.972471739439088,22.530594681305946,430958167.4774301,379489231.49346846,13.562686820231296,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,0.998,False,LOW,NONE,False,False
CORE_CANDIDATE,24,A60482013,몰운대,사하구,다대동,2960.0,36.75921633554084,-5.462367304453563,19.42863393863969,105733074.08351263,100000000.0,5.733074083512624,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,0.994,False,LOW,NONE,False,False
CORE_CANDIDATE,25,A61612019,대림타운,북구,화명동,3382.0,50.83890728476821,0.3565289198819821,25.709382050249445,236032405.86443347,194000000.0,21.66618858991416,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,0.986,False,LOW,NONE,False,False
CORE_CANDIDATE,26,A61682907,동원,북구,만덕동,988.0,49.15954746136866,-0.3559155286136706,8.336897706080247,156292242.77628487,137141533.33710855,13.96419375894087,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,0.986,False,LOW,NONE,False,False
CORE_CANDIDATE,27,A60475509,다대푸른,사하구,다대동,640.0,35.72958057395144,-5.874415409224499,11.531023049053411,127410049.8759096,100000000.0,27.410049875909603,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,HIGH,0.966,False,LOW,EXTREME_RESIDUAL,False,True
