location_level,sample_count,apartment_count,group_count,spearman,pearson,partial_residual_spearman,status
LEGAL_DONG,453,453,58,0.29815759642625006,0.3743440273860036,0.3031702871765089,AVAILABLE
DISTRICT,500,500,15,0.4122236657174487,0.4303064896574431,0.299148311553853,AVAILABLE
ADMIN_DONG,0,0,0,,,,ADMIN_DONG_NOT_AVAILABLE
