scope,group,period,area_group,quality_scope,score_variant,pearson,spearman,n,median_households,median_price_per_m2,median_apartment_age,unique_legal_dong
SIGUNGU,영도구,12M,ALL,HIGH_MEDIUM,BASE,-0.15955415438137968,-0.13572252497819753,12,,,,
SIGUNGU,해운대구,12M,ALL,HIGH_MEDIUM,BASE,0.47156932092208725,0.547467496512873,79,,,,
WITHIN_SIGUNGU_PERCENTILE,ALL,12M,ALL,HIGH_MEDIUM,BASE,0.18194974055125596,0.18396999283914475,496,,,,
WITHIN_LEGAL_DONG_DEMEANED,ALL,12M,ALL,HIGH_MEDIUM,BASE,0.023672638730868185,-0.003588510760387788,449,,,,
BUSAN,ALL,12M,8090,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,12M,8090,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,8090,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,5565,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,12M,5565,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,12M,5565,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,ALL,HIGH_MEDIUM,BASE,0.3886295679880617,0.36506059837515803,496,,,,
BUSAN,ALL,36M,ALL,HIGH_MEDIUM,QUALITY_FOCUSED,0.3925501837182056,0.37206868682116184,496,,,,
BUSAN,ALL,36M,ALL,HIGH_MEDIUM,STABILITY_FOCUSED,0.36393619734756755,0.3384861552604077,496,,,,
BUSAN,ALL,36M,8090,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,36M,8090,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,8090,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,5565,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,36M,5565,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,36M,5565,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH_MEDIUM,BASE,0.37887110953510983,0.36368683821580317,496,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH_MEDIUM,QUALITY_FOCUSED,0.38287881309847505,0.3703509722401387,496,,,,
BUSAN,ALL,SINCE_2020,ALL,HIGH_MEDIUM,STABILITY_FOCUSED,0.35433376911063735,0.3375714588358781,496,,,,
BUSAN,ALL,SINCE_2020,8090,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,SINCE_2020,8090,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,8090,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,5565,HIGH_MEDIUM,BASE,,,0,,,,
BUSAN,ALL,SINCE_2020,5565,HIGH_MEDIUM,QUALITY_FOCUSED,,,0,,,,
BUSAN,ALL,SINCE_2020,5565,HIGH_MEDIUM,STABILITY_FOCUSED,,,0,,,,
COMPONENT,mean_middle_score,12M,ALL,HIGH,mean_middle_score,0.4326861536451323,0.41397013950440686,487,,,,
COMPONENT,worst_middle_score,12M,ALL,HIGH,worst_middle_score,0.3027318681994568,0.26147319751338044,487,,,,
COMPONENT,feeder_exclusivity,12M,ALL,HIGH,feeder_exclusivity,-0.2370082344584148,-0.26600748345022907,487,,,,
COMPONENT,assignment_data_quality,12M,ALL,HIGH,assignment_data_quality,-0.15027647534853253,-0.19778383898913685,487,,,,
COMPONENT,elementary_accessibility_score,12M,ALL,HIGH,elementary_accessibility_score,-0.008420121890287546,-0.019086340447264045,487,,,,
COMPONENT,nearest_elementary_distance_m,12M,ALL,HIGH,nearest_elementary_distance_m,0.008394955288983414,0.006507279377899431,487,,,,
TRADE_COUNT_SENSITIVITY,>=1,12M,ALL,HIGH,BASE,0.39803092717886795,0.3747542973278839,487,,,,
TRADE_COUNT_SENSITIVITY,>=3,12M,ALL,HIGH,BASE,0.40088439720973074,0.37861337824213936,485,,,,
TRADE_COUNT_SENSITIVITY,>=5,12M,ALL,HIGH,BASE,0.3999670461646458,0.37697050170983165,484,,,,
AGE_GROUP,0_5,12M,ALL,HIGH,BASE,0.41677603059823126,0.31814275707112777,61,,,,
AGE_GROUP,6_10,12M,ALL,HIGH,BASE,0.5410925883121946,0.3424556317540062,78,,,,
AGE_GROUP,11_20,12M,ALL,HIGH,BASE,0.44409152499396903,0.4740667618635467,106,,,,
AGE_GROUP,20_PLUS,12M,ALL,HIGH,BASE,0.6006753606175029,0.5752832167274793,242,,,,
RELATION_SOURCE,MANUAL_VERIFIED,12M,ALL,HIGH,BASE,0.38066164955133475,0.3630083755022712,315,,,,
RELATION_SOURCE,OFFICIAL,12M,ALL,HIGH,BASE,0.22753006185259012,0.30900682482804825,172,,,,
COVERAGE_BIAS,bukbu:SCORED,12M,ALL,ALL,BASE,,,134,930.5,3673591.3864300875,22.0,16.0
COVERAGE_BIAS,bukbu:UNSCORED,12M,ALL,ALL,BASE,,,11,972.0,6302556.01482424,2.0,2.0
COVERAGE_BIAS,dongnae:SCORED,12M,ALL,ALL,BASE,,,89,814.0,6114078.849922046,16.0,13.0
COVERAGE_BIAS,haeundae:SCORED,12M,ALL,ALL,BASE,,,146,891.0,5903490.759753593,21.0,27.0
COVERAGE_BIAS,haeundae:UNSCORED,12M,ALL,ALL,BASE,,,2,747.5,4084301.5353460377,15.0,2.0
COVERAGE_BIAS,nambu:SCORED,12M,ALL,ALL,BASE,,,109,788.0,4867956.986233024,19.5,21.0
COVERAGE_BIAS,seobu:SCORED,12M,ALL,ALL,BASE,,,68,884.0,3024952.9190207156,23.0,22.0
COVERAGE_BIAS,seobu:UNSCORED,12M,ALL,ALL,BASE,,,1,992.0,2604548.7894350695,31.0,1.0
