window,ari_vs_12m,nmi_vs_12m,assignment_agreement_vs_12m
12M,1.0,1.0,1.0
24M,0.9935135498007535,0.9883362703081277,0.9979757085020243
FULL,0.9680279948714257,0.9522068028217343,0.9898785425101214
