apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,elementary_demand_score,school_premium_core_score,school_premium_confidence,estimated_school_premium_pct,school_value_gap_pct,residual_method_gap_pct,comparable_method_gap_pct,gap_confidence,data_quality_flag,comparable_count,gap_method_agreement,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,gap_positive_probability,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p95,bootstrap_stability,original_sanity_flag,sanity_flag_reason,sanity_severity,candidate_tier,tier_reason,original_phase145_candidate
A10020721,백양산서희스타힐스,부산진구,부암동,1295.0,동양초등학교;동원초등학교,66.89039735099338,66.89039735099338,B,7.428485025184317,-17.684890309951086,10.163511101902069,-45.53329172180425,LOW,METHOD_DIRECTION_DISAGREEMENT,11.0,MIXED_POSITIVE_RESIDUAL,-17.68489030995109,-19.539573548187526,-15.61299984913911,---,STABLE_NEGATIVE,0.108,-19.274879562472098,-41.58647512177108,1.6674539298684004,STABLE_NEGATIVE,False,METHOD_DISAGREEMENT,MINOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10020870,양정자이더샵SKVIEW아파트(2단지),부산진구,양정동,2276.0,양정초등학교,83.05761589403974,83.05761589403974,B,15.055263916615868,-28.93937341168884,-11.097039913812168,-46.78170690956552,MEDIUM,OK,7.0,STRONG_NEGATIVE,-28.93937341168884,-9.941096651524585,-10.016117476171704,---,STABLE_NEGATIVE,0.158,-9.276578369673949,-13.640054756170123,4.920262819004439,STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022002,래미안포레스티지3단지,동래구,온천동,4043.0,금정초등학교,83.79271523178808,83.79271523178808,B,15.414630457532642,-18.118712604063838,-0.6372148681935457,-35.60021033993412,MEDIUM,OK,8.0,STRONG_NEGATIVE,-18.118712604063834,-23.47433739799085,-22.806818466446977,---,STABLE_NEGATIVE,0.01,-23.551701594094098,-36.74699762416199,-6.5038072731966485,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022267,오션라이프에일린의뜰1단지,영도구,동삼동,1228.0,동삼초등학교,64.43979028697572,64.43979028697572,B,6.3174051039238455,-87.87295495155726,-1.340126774262873,-174.40578312885165,MEDIUM,OK,6.0,STRONG_NEGATIVE,-87.87295495155726,-92.64006192150237,-87.919353453256,---,STABLE_NEGATIVE,0.0,-92.11901548990288,-122.23393888706939,-34.547097789736426,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022280,두산위브더제니스센트럴사하,사하구,장림동,1643.0,보림초등학교,77.03780353200882,77.03780353200882,B,12.1541589204482,-42.93260502517562,-42.93260502517562,,LOW,INSUFFICIENT_COMPARABLES,0.0,INSUFFICIENT,-42.93260502517562,-45.96928524342452,-44.282682026492125,---,STABLE_NEGATIVE,0.0,-45.555728374194736,-49.66772298851892,-41.94883607893178,VERY_STABLE_NEGATIVE,False,COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022365,연산포레서희스타힐스,연제구,연산동,612.0,연동초등학교,73.0110927152318,73.0110927152318,B,10.25452733524801,25.6813631100681,33.99286157557549,17.369864644560717,MEDIUM,OK,5.0,STRONG_POSITIVE,25.681363110068105,27.929966142792196,29.748125825064058,+++,STABLE_POSITIVE,1.0,28.75066457508415,21.482373521544915,34.698355990813084,VERY_STABLE_POSITIVE,False,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,True
A10022405,드파인센텀,해운대구,반여동,750.0,무정초등학교,75.30364238410596,75.30364238410596,B,11.332075238285611,-55.6920266942995,-11.647697939705992,-99.736355448893,HIGH,OK,12.0,STRONG_NEGATIVE,-55.6920266942995,-56.83603553218593,-58.77497334612538,---,STABLE_NEGATIVE,0.0,-56.594995696200684,-77.86987525819151,-37.940247252189096,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022434,e편한세상송도더퍼스트비치,서구,암남동,1302.0,송도초등학교,73.16280353200882,73.16280353200882,B,10.325511339920102,4.985651295670235,4.985651295670235,,LOW,INSUFFICIENT_COMPARABLES,0.0,INSUFFICIENT,4.985651295670235,7.191974646559024,14.16721787349579,+++,STABLE_POSITIVE,0.9,8.986422890595318,-1.3811888627779136,12.540624777699072,VERY_STABLE_POSITIVE,False,COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022541,에코델타스마트시티수자인,강서구,강동동,554.0,,84.39039735099338,84.39039735099338,C,15.707645281770244,4.852893870474006,4.852893870474006,,LOW,INSUFFICIENT_COMPARABLES,0.0,INSUFFICIENT,-4.4838510953035815,4.852893870474006,4.852893870474006,-++,MIXED,0.716,4.852893870474006,-13.543579067379774,8.547630821395602,UNCERTAIN,True,CONFIDENCE_C;SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10022568,해운대경동리인뷰2차,해운대구,우동,632.0,해운대초등학교,81.58217439293598,81.58217439293598,B,14.337341114040411,22.117697091821555,27.858210555444764,16.377183628198342,MEDIUM,OK,5.0,STRONG_POSITIVE,27.00541340455301,22.499453874621913,25.95634744534825,+++,STABLE_POSITIVE,0.998,22.54377589840204,5.281531845806139,33.207279769950915,VERY_STABLE_POSITIVE,False,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,True
