internal_complex_id,kapt_code,complex_name,households,sigungu,legal_dong,is_500plus,manual_review,elementary_school_ids,elementary_school_names,elementary_school_count,nearest_elementary_distance_m,mean_elementary_feeder_score,best_elementary_feeder_score,worst_elementary_feeder_score,middle_school_count,best_middle_score,mean_middle_score,worst_middle_score,feeder_exclusivity,assignment_data_quality,elementary_accessibility_score,shared_catchment,school_zone_score,score_quality_focused,score_stability_focused,school_score_status,school_score_quality,busan_school_rank,school_zone_percentile,school_zone_grade,explanation
TRADE_4F5A03005196,,보해이브빌2차,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,127.27591583552169,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 127m; 부산 상위 0.1%"
TRADE_584BCD209D06,,하단센토빌,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,130.1421900742031,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 130m; 부산 상위 0.1%"
TRADE_62CC5528B8CF,,아람,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,276.5044728191071,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 277m; 부산 상위 0.1%"
TRADE_6CDD3072B32B,,유원블루파크에이동,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,281.6987908766121,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 282m; 부산 상위 0.1%"
TRADE_729D111D2C1B,,동조리젠시,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,288.32332084927003,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 288m; 부산 상위 0.1%"
TRADE_78BCE55BE7CA,,궁전시티빌,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,268.1478926976678,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 268m; 부산 상위 0.1%"
TRADE_84D537F961E8,,하단대진,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,252.31861876430938,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 252m; 부산 상위 0.1%"
TRADE_B3919845A959,,청호,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,166.15451780987203,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 166m; 부산 상위 0.1%"
TRADE_B9E1FECE04A8,,동산,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,268.7443108494675,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 269m; 부산 상위 0.1%"
TRADE_C027D143BF57,,성원빌리지(590-4),,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,106.33396997411596,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 106m; 부산 상위 0.1%"
TRADE_C4BCE66EA4CE,,성우파크,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,151.0342683625062,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 151m; 부산 상위 0.1%"
TRADE_CEEA98BA24C0,,대운스카이뷰1차,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,55.131029579999705,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 55m; 부산 상위 0.1%"
TRADE_DF8B214E9F3E,,우방빌아트,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,43.89488948809687,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 44m; 부산 상위 0.1%"
TRADE_E13279858129,,유원블루파크비동,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,289.6081185866113,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 290m; 부산 상위 0.1%"
TRADE_E4B027E2ADB7,,충우드림라이프,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,201.33014874229045,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 201m; 부산 상위 0.1%"
TRADE_EB33ADAF8768,,무진,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,151.08800210737814,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 151m; 부산 상위 0.1%"
TRADE_F82E9671D56C,,청호2차,,사하구,하단동,,False,['S020001494'],['하단초등학교'],1,102.8856932670872,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"하단초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 103m; 부산 상위 0.1%"
A60402001,A60402001,남영임대2차아파트,354.0,사하구,하단동,False,False,['S020001870'],['을숙도초등학교'],1,166.6271279320689,58.96580882352942,58.96580882352942,58.96580882352942,4,69.70588235294117,61.13970588235294,46.5,0.375,85.0,100.0,False,65.67264705882354,62.31922794117648,62.23811764705883,SCORED,HIGH,2.0,99.88789237668162,S,"을숙도초등학교 통학구역; 중학교 4개; 평균 61.1, 최저 46.5; 초등 직선거리 167m; 부산 상위 0.1%"
