middle_school_id,middle_school_name,district,education_office,closed,suspended,middle_school_score,score_reference_year,graduates_total,weighted_graduates,available_year_count,observation_years,score_stability,sample_warning,ranking_coverage,score_status,confirmed_E_mean,confirmed_E_median,confirmed_E_max,confirmed_E_min,confirmed_E_top25_mean,confirmed_school_count,confirmed_scored_school_count,broad_E_mean,broad_E_median,broad_E_max,broad_E_min,broad_E_top25_mean,broad_school_count,broad_scored_school_count,possible_elementary_count,ambiguous_elementary_count,excluded_edge_count,total_elementary_count,connected_elementary_schools,catchment_uncertainty_gap,assignment_uncertainty_grade,representative_catchment_demand,representative_basis,data_quality_status,quality_high,demand_high,quality_demand_group,catchment_robustness
S020000783,사직여자중학교,동래구,부산광역시동래교육지원청,N,N,80.5,2025.0,706.0,228.9,3.0,"2023,2024,2025",0.6463310688280153,False,0.9941520467836257,scored,,,,,,0,0,70.57962196467992,79.14674392935983,84.42207505518763,39.60292494481236,84.42207505518763,4,4,4,0,0,4,금강초; 달북초; 사직초; 예원초,,HIGH_NO_CONFIRMED,79.14674392935983,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000784,사직중학교,동래구,부산광역시동래교육지원청,N,N,79.88235294117646,2025.0,863.0,277.2,3.0,"2023,2024,2025",0.8018321336350384,False,0.9941520467836257,scored,,,,,,0,0,70.57962196467992,79.14674392935983,84.42207505518763,39.60292494481236,84.42207505518763,4,4,4,0,0,4,금강초; 달북초; 사직초; 예원초,,HIGH_NO_CONFIRMED,79.14674392935983,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000983,이사벨중학교,연제구,부산광역시동래교육지원청,N,N,79.73529411764706,2025.0,532.0,176.2,3.0,"2023,2024,2025",0.7127603844051018,False,0.9941520467836257,scored,,,,,,0,0,75.22871964679914,79.81103752759383,89.40375275938192,53.12224061810154,85.09961368653421,5,5,5,0,1,5,거제초; 거학초; 남문초; 연동초; 창신초,,HIGH_NO_CONFIRMED,79.81103752759383,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000773,동래중학교,동래구,부산광역시동래교육지원청,N,N,78.3529411764706,2025.0,575.0,188.5,3.0,"2023,2024,2025",0.9348881373736466,False,0.9941520467836257,scored,,,,,,0,0,64.97273730684326,68.33162251655628,83.8975165562914,26.398785871964677,81.17919426048564,7,7,7,0,0,7,교동초; 낙민초; 내산초; 내성초; 명륜초; 온샘초; 온천초,,HIGH_NO_CONFIRMED,68.33162251655628,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001633,상당중학교,해운대구,부산광역시해운대교육지원청,N,N,78.26470588235294,2025.0,576.0,189.7,3.0,"2023,2024,2025",0.7259566447140278,False,0.9941520467836257,scored,,,,,,0,0,75.9382450331126,78.09409492273733,82.6453642384106,67.07527593818985,82.6453642384106,3,3,3,0,0,3,부흥초; 상당초; 신도초,,HIGH_NO_CONFIRMED,78.09409492273733,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001636,신도중학교,해운대구,부산광역시해운대교육지원청,N,N,77.88235294117646,2025.0,572.0,184.0,3.0,"2023,2024,2025",0.7553178112206079,False,0.9941520467836257,scored,,,,,,0,0,72.16596302428258,72.5846854304636,81.58217439293598,61.9123068432671,81.58217439293598,4,4,4,0,0,4,상당초; 신도초; 양운초; 해운대초,,HIGH_NO_CONFIRMED,72.5846854304636,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001439,초장중학교,서구,부산광역시서부교육지원청,N,N,77.23529411764707,2025.0,197.0,65.8,3.0,"2023,2024,2025",0.932246954197651,False,0.9941520467836257,scored,,,,,,0,0,55.5735761589404,62.26407284768212,66.23658940397351,38.87693156732892,65.92395143487859,5,5,5,0,0,5,구학초; 대신초; 부민초; 아미초; 토성초,,HIGH_NO_CONFIRMED,62.26407284768212,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000775,동해중학교,동래구,부산광역시동래교육지원청,N,N,76.79411764705883,2025.0,546.0,183.3,3.0,"2023,2024,2025",0.8665131541139871,False,0.9941520467836257,scored,,,,,,0,0,59.992273730684325,75.1171633554084,78.46087196467991,26.398785871964677,78.46087196467991,3,3,3,0,0,3,교동초; 내성초; 명륜초,,HIGH_NO_CONFIRMED,75.1171633554084,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000786,안락중학교,동래구,부산광역시동래교육지원청,N,N,71.8529411764706,2025.0,562.0,179.7,3.0,"2023,2024,2025",0.7872682322374848,False,0.9941520467836257,scored,,,,,,0,0,50.58611479028698,61.6733995584989,63.739624724061805,27.80695364238411,63.19006622516556,5,5,5,0,0,5,명장초; 안남초; 안민초; 안진초; 충렬초,,HIGH_NO_CONFIRMED,61.6733995584989,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000607,대천중학교,남구,부산광역시남부교육지원청,N,N,71.52941176470588,2025.0,629.0,207.8,3.0,"2023,2024,2025",0.8083878304273722,False,0.9941520467836257,scored,,,,,,0,0,63.030146247240616,68.13187086092715,77.64387417218543,38.21296909492274,77.64387417218543,4,4,4,0,0,4,남천초; 대남초; 대천초; 용소초,,HIGH_NO_CONFIRMED,68.13187086092715,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001857,인지중학교,해운대구,부산광역시해운대교육지원청,N,N,71.11764705882354,2025.0,556.0,176.9,3.0,"2023,2024,2025",0.7749812854604069,False,0.9941520467836257,scored,,,,,,0,0,68.64758554083885,68.42251655629138,75.30364238410596,62.44166666666668,75.30364238410596,4,4,4,0,0,4,무정초; 반안초; 인지초; 장산초,,HIGH_NO_CONFIRMED,68.42251655629138,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020001838,명진중학교,북구,부산광역시북부교육지원청,N,N,68.35294117647058,2025.0,522.0,169.8,3.0,"2023,2024,2025",0.7040123418788953,False,0.9941520467836257,scored,,,,,,0,0,51.94920529801324,61.624392935982335,69.87522075055188,21.752097130242827,66.85314569536423,5,5,5,0,0,5,금명초; 명진초; 신금초; 학사초; 화잠초,,HIGH_NO_CONFIRMED,61.624392935982335,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000770,남산중학교,금정구,부산광역시동래교육지원청,N,N,65.52941176470588,2025.0,484.0,156.9,3.0,"2023,2024,2025",0.5695527549023567,False,0.9941520467836257,scored,,,,,,0,0,63.70739514348786,66.87472406181016,72.37748344370861,50.54679911699779,70.50253863134658,5,5,5,0,0,5,구서초; 남산초; 두실초; 장서초; 청룡초,,HIGH_NO_CONFIRMED,66.87472406181016,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,True,HIGH_QUALITY_HIGH_DEMAND,BROAD_ONLY_HIGH_DEMAND
S020000616,분포중학교,남구,부산광역시남부교육지원청,N,N,93.44117647058823,2025.0,729.0,237.2,3.0,"2023,2024,2025",0.8983920118184587,False,0.9941520467836257,scored,,,,,,0,0,54.82760301692421,51.60780905077263,82.85033112582782,24.534823399558498,79.77720750551876,6,6,6,0,0,6,백운초; 분포초; 용문초; 용산초; 용호초; 운산초,,HIGH_NO_CONFIRMED,51.60780905077263,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
S020000623,용호중학교,남구,부산광역시남부교육지원청,N,N,87.70588235294119,2025.0,580.0,189.5,3.0,"2023,2024,2025",0.5588960948481259,False,0.9941520467836257,scored,,,,,,0,0,54.82760301692421,51.60780905077263,82.85033112582782,24.534823399558498,79.77720750551876,6,6,6,0,0,6,백운초; 분포초; 용문초; 용산초; 용호초; 운산초,,HIGH_NO_CONFIRMED,51.60780905077263,BROAD_MEDIAN_FALLBACK,NO_CONFIRMED_EDGE,True,False,HIGH_QUALITY_LOW_DEMAND,CONFIRMED_DATA_INSUFFICIENT
