internal_complex_id,complex_name,sigungu,dong,households,latitude,longitude,road_address,kapt_code,legal_address,jibun,address,legal_dong,is_500plus,data_year,source_name,source_document,collected_at,parser_version,manual_review,confidence,review_reason,source_project,source_fingerprints,coordinate_status,coordinate_source,coordinate_confidence,coordinate_source_year,coordinate_verified_at,candidate_latitude,candidate_longitude,coordinates_valid,busan_boundary_match,legal_dong_spatial_match,admin_dong_spatial_match,spatial_review_reason,duplicate_coordinate_review
TRADE_6424A16E4B38,아시아드코오롱하늘채,동래구,거제동,,,,,,,,,거제동,,,busan_apartment_analysis,data/interim/kapt_clean.parquet;data/interim/kapt_coordinates.parquet;data/processed/busan_complex_summary.csv;data/processed/apartment_match_log.csv,2026-09-05T00:38:04.229911+00:00,0.1.0,True,,upstream_data_year_unavailable,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis,data/interim/kapt_clean.parquet:9434f2cdda711b5e0989ea2d3e8a0c30ea2881d1748d70ddc54ae3ce7ec2dfbb;data/interim/kapt_coordinates.parquet:663bc3f353d26f36a995999c69332e122d4b95e88a838380252c4cd0025210dc;data/processed/busan_complex_summary.csv:0bb00c2b338e6e0fde88a63f807863b1f551bea436db80b42e5159860a86981c;data/processed/apartment_match_log.csv:1c8107a30891787ea5c38aed6b47882e477375c2d4a947c450db8126bbc5de9a,REVIEW,,,,2026-09-07T05:57:01.683310+00:00,35.1940653924607,129.064723331872,False,False,,,legal_dong_mismatch,False
TRADE_8B8529FBDEAE,대동맨션,서구,암남동,,,,,,,,,암남동,,,busan_apartment_analysis,data/interim/kapt_clean.parquet;data/interim/kapt_coordinates.parquet;data/processed/busan_complex_summary.csv;data/processed/apartment_match_log.csv,2026-09-05T00:38:04.229911+00:00,0.1.0,True,,upstream_data_year_unavailable,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis,data/interim/kapt_clean.parquet:9434f2cdda711b5e0989ea2d3e8a0c30ea2881d1748d70ddc54ae3ce7ec2dfbb;data/interim/kapt_coordinates.parquet:663bc3f353d26f36a995999c69332e122d4b95e88a838380252c4cd0025210dc;data/processed/busan_complex_summary.csv:0bb00c2b338e6e0fde88a63f807863b1f551bea436db80b42e5159860a86981c;data/processed/apartment_match_log.csv:1c8107a30891787ea5c38aed6b47882e477375c2d4a947c450db8126bbc5de9a,REVIEW,,,,2026-09-07T05:57:01.683310+00:00,35.0824590577075,129.021165020902,False,False,,,legal_dong_mismatch,False
TRADE_924B1EA84CE9,안락시영(충렬),동래구,명장동,,,,,,,,,명장동,,,busan_apartment_analysis,data/interim/kapt_clean.parquet;data/interim/kapt_coordinates.parquet;data/processed/busan_complex_summary.csv;data/processed/apartment_match_log.csv,2026-09-05T00:38:04.229911+00:00,0.1.0,True,,upstream_data_year_unavailable,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis,data/interim/kapt_clean.parquet:9434f2cdda711b5e0989ea2d3e8a0c30ea2881d1748d70ddc54ae3ce7ec2dfbb;data/interim/kapt_coordinates.parquet:663bc3f353d26f36a995999c69332e122d4b95e88a838380252c4cd0025210dc;data/processed/busan_complex_summary.csv:0bb00c2b338e6e0fde88a63f807863b1f551bea436db80b42e5159860a86981c;data/processed/apartment_match_log.csv:1c8107a30891787ea5c38aed6b47882e477375c2d4a947c450db8126bbc5de9a,REVIEW,,,,2026-09-07T05:57:01.683310+00:00,35.2000715083323,129.108549459131,False,False,,,legal_dong_mismatch,False
