model,n_transactions,n_apartments,n_schools,r_squared_insample,adjusted_r_squared,aic,bic,rmse_log_insample,mae_log_insample,parameter_count,sse,within_legal_dong_spearman,within_dong_n,train_end,train_transactions,test_transactions,train_apartments,test_apartments,rmse_log_oos,mae_log_oos,mape,r_squared_oos,variable,coefficient,standard_error,p_value,ci95_low,ci95_high,ten_point_price_pct
MODEL_E,22176,485,220,0.8310788458205107,0.8303059439190824,-4745.8288388105475,-3929.1387168076053,0.21641837640823527,0.16134320860319984,102,1038.6553970397883,0.3067446268362932,438.0,2025-02-06,97708,32525,478,485,0.23554459762747107,0.18043734570696138,0.1812490482909905,0.7957109954996187,elementary_demand_score,0.005902001275047692,0.0009837471148514158,3.88014906178713e-09,0.003973856929938917,0.007830145620156466,6.07964699827912
MODEL_M,22176,485,220,0.8176388726314201,0.816804475881206,-3048.103585698362,-2231.41346369542,0.2248631285208027,0.16808508749947818,102,1121.2945475755835,0.00426246678574322,438.0,2025-02-06,97708,32525,478,485,0.24400619567207882,0.18760009174356426,0.18696856112365906,0.7807697878625788,phase7_school_score,0.003047629746480926,0.0023168779844771614,0.18899707036926822,-0.0014934511030943098,0.007588710596056162,3.0945453738283835
