middle_school_id,year,data_year,source_name,source_document,collected_at,parser_version,manual_review,confidence,requested_year,middle_school_name,sigungu,source_url,school_public_id,availability,observed_year,eligible_for_scoring,review_reason,graduates,general_hs_count,specialized_hs_count,science_hs_count,foreign_international_hs_count,arts_sports_hs_count,meister_hs_count,special_purpose_total,autonomous_private_hs_count,autonomous_public_hs_count,autonomous_total,other_advancement_count,advancement_total,employment_count,unaccredited_alternative_count,unknown_destination_count,foreign_language_hs_count,international_hs_count,arts_hs_count,sports_hs_count,other_special_hs_count,source_values,category_resolution,academic_selective_count,science_rate,foreign_international_rate,autonomous_private_rate,academic_selective_rate,arts_sports_rate,meister_rate
S020002323,2023,2023,학교알리미 공시 13-다,data\raw\advancement\2023\S020002323.html,2026-09-05T00:55:08.915595+00:00,advancement-html-1.0,True,1.0,2023,오션중학교,강서구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,ce302ce8-8119-4264-8e05-ed3af2276571,available,2023.0,False,count_mismatch_or_zero_graduates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,"{'졸업자': '0', '진학자 일반고': '0', '진학자 특성화고': '0', '진학자 특수목적고 과학고': '0', '진학자 특수목적고 외고국제고': '0', '진학자 특수목적고 예고체고': '0', '진학자 특수목적고 마이스터고': '0', '진학자 특수목적고 소계': '0', '진학자 자율고 자율형사립고': '0', '진학자 자율고 자율형공립고': '0', '진학자 자율고 소계': '0', '진학자 기타': '0', '진학자 진학자계': '0', '취업자': '0', '대안교육기관진학(학력미인정)': '0', '무직 및 미상': '0'}",foreign_international_combined;arts_sports_combined;other_special_not_separate,0.0,,,,,,
S020002354,2023,2023,학교알리미 공시 13-다,data\raw\advancement\2023\S020002354.html,2026-09-05T00:55:09.010007+00:00,advancement-html-1.0,True,0.0,2023,가락중학교,강서구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,0e2ca472-67d2-49cc-8305-f2aa1a61d6d9,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000601,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020000601.html,2026-09-05T00:55:34.832165+00:00,advancement-html-1.0,True,0.0,2024,금성중학교,동구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,63502a64-072b-4118-ad19-5df00842009e,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000612,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020000612.html,2026-09-05T00:56:11.329176+00:00,advancement-html-1.0,True,0.0,2024,배정중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,394f2f78-cee2-4007-9d4d-7a20924c50d9,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000620,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020000620.html,2026-09-05T00:56:13.394432+00:00,advancement-html-1.0,True,0.0,2024,성지중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,76649e14-e109-4737-bd9d-192ae310e812,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000927,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020000927.html,2026-09-05T00:56:55.081050+00:00,advancement-html-1.0,True,0.0,2024,윤산중학교,금정구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,e0622158-aa4e-49d5-b960-d18f962dae82,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001202,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001202.html,2026-09-05T00:56:56.128253+00:00,advancement-html-1.0,True,0.0,2024,가락중학교,강서구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,ce420abd-16ef-44ef-89a5-505b0e1e221a,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001204,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001204.html,2026-09-05T00:56:56.303218+00:00,advancement-html-1.0,True,0.0,2024,경일중학교,강서구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,0bd3395a-e38a-4b9e-b743-6e8888e21d93,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001215,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001215.html,2026-09-05T00:56:18.734168+00:00,advancement-html-1.0,True,0.0,2024,덕천여자중학교,북구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,ff5a12cb-777e-4f05-8731-93b2eb45c3d1,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001223,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001223.html,2026-09-05T00:57:13.462849+00:00,advancement-html-1.0,True,0.0,2024,사상중학교,사상구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,5b33fe30-d722-4948-ac52-91d820d23a8b,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001224,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001224.html,2026-09-05T00:57:14.058340+00:00,advancement-html-1.0,True,0.0,2024,삼락중학교,사상구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,016f5dbd-6828-4a7e-abd3-40f30700527d,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001412,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001412.html,2026-09-05T00:55:39.803318+00:00,advancement-html-1.0,True,0.0,2024,동삼중학교,영도구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,6e5d8ffa-6641-4b8d-8e33-81609261b502,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001431,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001431.html,2026-09-05T00:55:33.170200+00:00,advancement-html-1.0,True,0.0,2024,알로이시오중학교,서구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,c0403935-47c9-4cc3-9400-f0a46e1bcaab,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020001638,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020001638.html,2026-09-05T00:56:29.410894+00:00,advancement-html-1.0,True,0.0,2024,운송중학교,해운대구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,add8425c-5487-4724-8ad4-6eaf32c5dbe4,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020002354,2024,2024,학교알리미 공시 13-다,data\raw\advancement\2024\S020002354.html,2026-09-05T00:57:03.336181+00:00,advancement-html-1.0,True,0.0,2024,가락중학교,강서구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,0e2ca472-67d2-49cc-8305-f2aa1a61d6d9,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000601,2025,2025,학교알리미 공시 13-다,data\raw\advancement\2025\S020000601.html,2026-09-05T00:57:27.907496+00:00,advancement-html-1.0,True,0.0,2025,금성중학교,동구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,63502a64-072b-4118-ad19-5df00842009e,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S020000612,2025,2025,학교알리미 공시 13-다,data\raw\advancement\2025\S020000612.html,2026-09-05T00:58:04.657776+00:00,advancement-html-1.0,True,0.0,2025,배정중학교,남구,https://www.schoolinfo.go.kr/ei/pp/Pneipp_b06_s0p.do,394f2f78-cee2-4007-9d4d-7a20924c50d9,not_published,,False,official_page_reports_no_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
