apartment_id,apartment_name,legal_dong,issue_type,model_confidence,recommended_action
A10023778,이지더원2차포레온아파트,일광읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10024185,부산사하중흥S-클래스,구평동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10024185,부산사하중흥S-클래스,구평동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10025181,엘시티,중동,EXTREME_PREDICTION,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A10025749,부산정관 행복주택,정관읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10025749,부산정관 행복주택,정관읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10025901,부산전포동 사랑으로 부영아파트,전포동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10025901,부산전포동 사랑으로 부영아파트,전포동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10025923,스위트팰리스,명지동,INSUFFICIENT_RECENT_TRANSACTIONS,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A10025932,명지금강펜테리움센트럴파크3차,명지동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10025932,명지금강펜테리움센트럴파크3차,명지동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10026391,더블유,용호동,EXTREME_PREDICTION,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A10026813,정관 엘에이치 7단지,정관읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10026813,정관 엘에이치 7단지,정관읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10027340,전포LH아파트,전포동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10027340,전포LH아파트,전포동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10028081,정관이지더원3차아파트,정관읍,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10028081,정관이지더원3차아파트,정관읍,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10028191,감전엘에이치,감전동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A10028191,감전엘에이치,감전동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60275201,남부민풀리페,남부민동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60275201,남부민풀리페,남부민동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A60403002,신평럭키무지개타운,신평동,EXTREME_PREDICTION,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
