model,k,silhouette,bic,minimum_cluster_size
KMEANS,3,0.2676667709779865,,25
GMM,3,0.16149614146105581,2445.0379775888296,41
KMEANS,4,0.2541359227774813,,23
GMM,4,0.10130063045626651,2375.0988606561023,37
KMEANS,5,0.22975071773177325,,14
GMM,5,0.09810305229232431,2379.497375628217,23
KMEANS,6,0.22914016417319233,,4
GMM,6,0.15163815960651636,2357.8677794127816,4
