demand_cluster_id,school_count,total_students,shrunk_net_transfer_rate,shrunk_student_growth_3y,shrunk_student_trend_slope_rate,shrunk_adjusted_upper_grade_index,shrunk_adjusted_cohort_growth,mean_demand_score,demand_cluster_name
0,25,895.92,0.1391426676015879,0.16371799347116464,0.08091200910253356,0.8380921444522252,0.13464079638666934,77.93939735099337,신축주거지 급성장형
1,160,277.3375,-0.014143099662659633,-0.19279685758402443,-0.08858608295180573,1.2251808750210353,-0.01903560552584695,42.48730546357616,학생감소형
2,115,545.695652173913,-0.00999102173558871,-0.09693457351073748,-0.039260986681908326,0.9376940022641931,-0.008317157979627865,54.901913331413766,대규모 안정형
