class_a_rank,combined_candidate_class,apartment_id,apartment_name,gu,legal_dong,elementary_school_name,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,local_gap_confidence,school_value_gap_pct,gap_confidence,gap_positive_probability,school_local_signal_agreement,strong_dual_positive,model_confidence,fallback_level,extreme_gap_flag,dong_bias_flag
22.0,ROBUST_DUAL_POSITIVE,A60877907,청구,남구,대연동,대남초등학교,3.5864574437225016,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,52.23700083460064,HIGH,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
23.0,ROBUST_DUAL_POSITIVE,A61206114,센텀롯데캐슬2차,해운대구,반여동,무정초등학교,27.893671106317775,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,26.053881424513325,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
24.0,ROBUST_DUAL_POSITIVE,A61678706,럭키,북구,만덕동,덕양초등학교,27.86365211637103,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,28.657950664234136,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
25.0,ROBUST_DUAL_POSITIVE,A61682303,덕천주공1,북구,덕천동,양덕초등학교,27.756020794416592,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,32.47154535710053,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
26.0,ROBUST_DUAL_POSITIVE,A60608002,조양비취맨션,영도구,동삼동,중리초등학교,27.251220144082232,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,28.48128657701507,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
27.0,ROBUST_DUAL_POSITIVE,A61206113,우방신세계타운,해운대구,반여동,반안초등학교,26.759398460779572,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,31.646294728720324,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
28.0,ROBUST_DUAL_POSITIVE,A10027503,정관양우내안愛,기장군,정관읍용수리,가동초등학교,26.04476169597685,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,18.74508548142361,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
29.0,ROBUST_DUAL_POSITIVE,A61775202,백양그린,사상구,모라동,모산초등학교,24.581346415928486,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,29.34682699021083,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
30.0,ROBUST_DUAL_POSITIVE,A60872101,시티프라자,남구,문현동,성동초등학교,24.55009240144026,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,34.83456862652005,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
31.0,ROBUST_DUAL_POSITIVE,A60608303,동삼그린힐,영도구,동삼동,상리초등학교,23.17386676018911,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,39.128643595864354,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
32.0,ROBUST_DUAL_POSITIVE,A10022365,연산포레서희스타힐스,연제구,연산동,연동초등학교,22.64855370979193,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,25.6813631100681,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
33.0,ROBUST_DUAL_POSITIVE,A60712204,한신,동래구,사직동,사직초등학교,22.418076487662674,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,64.68696006174879,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
34.0,ROBUST_DUAL_POSITIVE,A61477302,서면노르웨이아침,부산진구,전포동,성북초등학교,21.196226162213616,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,61.18427827017758,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
35.0,ROBUST_DUAL_POSITIVE,A60976502,부곡늘푸른아파트,금정구,부곡동,동현초등학교,18.901951354005586,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,47.418928488184,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
