scope,group,catchment_feature,n,pearson,spearman
DISTRICT,금정구,broad_E_median,9,0.5500345349613266,0.7447763937925935
DISTRICT,금정구,broad_E_max,9,0.3982937266438499,0.3105295017040594
DISTRICT,금정구,broad_E_top25_mean,9,0.41938753231036524,0.34309923758984645
DISTRICT,기장군,confirmed_E_mean,0,,
DISTRICT,기장군,confirmed_E_median,0,,
DISTRICT,기장군,confirmed_E_max,0,,
DISTRICT,기장군,confirmed_E_top25_mean,0,,
DISTRICT,기장군,broad_E_mean,8,0.5526746614870716,0.6467181814331598
DISTRICT,기장군,broad_E_median,8,0.20102359044445597,0.0
DISTRICT,기장군,broad_E_max,8,-0.07068459408562586,-0.024551430807011818
DISTRICT,기장군,broad_E_top25_mean,8,-0.13762092862889916,-0.20483414440254896
DISTRICT,남구,confirmed_E_mean,0,,
DISTRICT,남구,confirmed_E_median,0,,
DISTRICT,남구,confirmed_E_max,0,,
DISTRICT,남구,confirmed_E_top25_mean,0,,
DISTRICT,남구,broad_E_mean,10,0.33327088761427776,0.26747843921922837
DISTRICT,남구,broad_E_median,10,0.1735279302315139,0.31098139099274313
DISTRICT,남구,broad_E_max,10,0.6608277328736393,0.6359115168116126
DISTRICT,남구,broad_E_top25_mean,10,0.6195867650372076,0.5957474328064633
DISTRICT,동구,confirmed_E_mean,0,,
DISTRICT,동구,confirmed_E_median,0,,
DISTRICT,동구,confirmed_E_max,0,,
DISTRICT,동구,confirmed_E_top25_mean,0,,
DISTRICT,동구,broad_E_mean,5,0.4953118158380135,0.19999999999999998
DISTRICT,동구,broad_E_median,5,0.5102745031235755,0.19999999999999998
DISTRICT,동구,broad_E_max,5,-0.26483779655752,-0.3354101966249684
DISTRICT,동구,broad_E_top25_mean,5,-0.18259097708650038,0.15389675281277312
DISTRICT,동래구,confirmed_E_mean,0,,
DISTRICT,동래구,confirmed_E_median,0,,
DISTRICT,동래구,confirmed_E_max,0,,
DISTRICT,동래구,confirmed_E_top25_mean,0,,
DISTRICT,동래구,broad_E_mean,14,0.6202087256401522,0.674010445601659
DISTRICT,동래구,broad_E_median,14,0.7354305822772049,0.7960352254343126
DISTRICT,동래구,broad_E_max,14,0.6367241181715497,0.6955984950595971
DISTRICT,동래구,broad_E_top25_mean,14,0.6585639868342977,0.7309189716864071
DISTRICT,부산진구,confirmed_E_mean,0,,
DISTRICT,부산진구,confirmed_E_median,0,,
DISTRICT,부산진구,confirmed_E_max,0,,
DISTRICT,부산진구,confirmed_E_top25_mean,0,,
DISTRICT,부산진구,broad_E_mean,18,-0.373757247584834,-0.37480645160001014
DISTRICT,부산진구,broad_E_median,18,-0.4025965897694228,-0.41097506675439
DISTRICT,부산진구,broad_E_max,18,-0.3083383148285085,-0.36345461434073223
DISTRICT,부산진구,broad_E_top25_mean,18,-0.3418443798189423,-0.3583658968738726
DISTRICT,북구,confirmed_E_mean,6,-0.35785047903118555,-0.14285714285714288
DISTRICT,북구,confirmed_E_median,6,-0.35785047903118555,-0.14285714285714288
DISTRICT,북구,confirmed_E_max,6,-0.758601936106384,-0.6
DISTRICT,북구,confirmed_E_top25_mean,6,-0.758601936106384,-0.6
DISTRICT,북구,broad_E_mean,15,0.7692258618178788,0.7403763038611594
DISTRICT,북구,broad_E_median,15,0.8537127734779153,0.8942666690230516
DISTRICT,북구,broad_E_max,15,0.4898410911190787,0.4021773557369382
DISTRICT,북구,broad_E_top25_mean,15,0.4865834982074145,0.3829610274308692
DISTRICT,사상구,confirmed_E_mean,5,-0.5532625220677932,0.0
DISTRICT,사상구,confirmed_E_median,5,-0.5532625220677932,0.0
DISTRICT,사상구,confirmed_E_max,5,-0.3885534059611872,-0.3
DISTRICT,사상구,confirmed_E_top25_mean,5,-0.3885534059611872,-0.3
DISTRICT,사상구,broad_E_mean,10,-0.3827011086120666,-0.2606060606060606
DISTRICT,사상구,broad_E_median,10,-0.3897156719924227,-0.22424242424242422
DISTRICT,사상구,broad_E_max,10,-0.3029758270047304,-0.28659069365997897
DISTRICT,사상구,broad_E_top25_mean,10,-0.37855220558797403,-0.3708223816448394
DISTRICT,사하구,confirmed_E_mean,0,,
DISTRICT,사하구,confirmed_E_median,0,,
DISTRICT,사하구,confirmed_E_max,0,,
DISTRICT,사하구,confirmed_E_top25_mean,0,,
DISTRICT,사하구,broad_E_mean,16,0.3892076394245872,0.40470945467236635
DISTRICT,사하구,broad_E_median,16,0.5981355398285135,0.4627866873004017
DISTRICT,사하구,broad_E_max,16,0.07579865056133298,-0.14695445117910771
DISTRICT,사하구,broad_E_top25_mean,16,0.24081110474814313,0.32569190498388917
DISTRICT,서구,confirmed_E_mean,0,,
DISTRICT,서구,confirmed_E_median,0,,
DISTRICT,서구,confirmed_E_max,0,,
DISTRICT,서구,confirmed_E_top25_mean,0,,
DISTRICT,서구,broad_E_mean,7,0.5949252397731125,0.12613124477737828
DISTRICT,서구,broad_E_median,7,0.7449130884778509,0.22237479499833038
DISTRICT,서구,broad_E_max,7,-0.367902756535267,-0.11952286093343936
DISTRICT,서구,broad_E_top25_mean,7,-0.08426224130688567,-0.16216874328520064
DISTRICT,수영구,confirmed_E_mean,0,,
DISTRICT,수영구,confirmed_E_median,0,,
DISTRICT,수영구,confirmed_E_max,0,,
DISTRICT,수영구,confirmed_E_top25_mean,0,,
DISTRICT,수영구,broad_E_mean,6,0.5777096256933361,0.5428571428571429
DISTRICT,수영구,broad_E_median,6,0.5175162337530838,0.3946648814672956
DISTRICT,수영구,broad_E_max,6,0.6621872147685592,0.49377071987869414
DISTRICT,수영구,broad_E_top25_mean,6,0.6005931019416946,0.6179143806533246
DISTRICT,연제구,confirmed_E_mean,0,,
DISTRICT,연제구,confirmed_E_median,0,,
DISTRICT,연제구,confirmed_E_max,0,,
DISTRICT,연제구,confirmed_E_top25_mean,0,,
DISTRICT,연제구,broad_E_mean,7,0.44786762322837687,0.1785714285714286
DISTRICT,연제구,broad_E_median,7,0.44335886664684676,0.41443123283995714
DISTRICT,연제구,broad_E_max,7,0.4565376728556257,0.25896619868911863
DISTRICT,연제구,broad_E_top25_mean,7,0.1585013746716324,-0.07207499701564472
DISTRICT,영도구,confirmed_E_mean,0,,
DISTRICT,영도구,confirmed_E_median,0,,
DISTRICT,영도구,confirmed_E_max,0,,
DISTRICT,영도구,confirmed_E_top25_mean,0,,
DISTRICT,영도구,broad_E_mean,7,0.0590839948099435,0.05613608914238399
DISTRICT,영도구,broad_E_median,7,0.10316806902835679,-0.39295262399668796
DISTRICT,영도구,broad_E_max,7,0.2527168094498693,0.5786375623578447
DISTRICT,영도구,broad_E_top25_mean,7,0.2698923847406873,0.5786375623578447
DISTRICT,중구,confirmed_E_mean,0,,
DISTRICT,중구,confirmed_E_median,0,,
DISTRICT,중구,confirmed_E_max,0,,
DISTRICT,중구,confirmed_E_top25_mean,0,,
DISTRICT,중구,broad_E_mean,1,,
DISTRICT,중구,broad_E_median,1,,
DISTRICT,중구,broad_E_max,1,,
DISTRICT,중구,broad_E_top25_mean,1,,
DISTRICT,해운대구,confirmed_E_mean,1,,
DISTRICT,해운대구,confirmed_E_median,1,,
DISTRICT,해운대구,confirmed_E_max,1,,
DISTRICT,해운대구,confirmed_E_top25_mean,1,,
DISTRICT,해운대구,broad_E_mean,18,0.7675491026584298,0.6222910216718266
DISTRICT,해운대구,broad_E_median,18,0.6816619845338753,0.6002069318433103
DISTRICT,해운대구,broad_E_max,18,0.7342193526844596,0.893737047387385
DISTRICT,해운대구,broad_E_top25_mean,18,0.7665747197029312,0.8304050853041225
