sample,transactions,apartments,coefficient_per_10,price_effect_per_10_pct,standard_error,p_value,rmse_oos,mae_oos,within_dong_spearman,effect_delta_pctpoint,effect_ratio
ALL,132979,500,0.04242362280189306,4.333636622212652,0.009986965734151492,2.574947635012643e-05,0.2464899880403007,0.18735868114680584,0.27543903942242937,0.0,1.0
EXCLUDE_MAJOR_FLAG,116449,429,0.04596423261035701,4.703696050825166,0.009959634259100417,5.20171656966458e-06,0.23380118723371093,0.1789884467976647,0.30094813258482933,0.37005942861251384,1.085392353091102
GAP_CONFIDENCE_HIGH_MEDIUM,85834,321,0.05719387138928443,5.8861073364901095,0.012550883040374545,7.393405112241484e-06,0.24811515532253697,0.19140901241147268,0.33416081090437777,1.5524707142774572,1.3582373995826171
GAP_CONFIDENCE_HIGH_ONLY,34112,115,0.09158776392537826,9.591295409475057,0.02273061273021163,0.00010128929699055857,0.21774707580316785,0.17153766652701952,0.4261356345971093,5.257658787262405,2.2132209609623357
