feature,pearson,spearman,within_legal_dong_spearman,n,within_n
elementary_demand_score,0.19125533074508905,0.18206320734569245,0.25133852184773986,485,437
phase7_school_score,0.0644954041368972,0.03768961526410853,0.06450491993850449,485,437
EM_interaction,0.16355170887672618,0.14448571994159087,0.23561350200019224,485,437
