apartment,legal_dong,local_market,issue_type,issue_detail,recommended_action
롯데캐슬마린,중동,LM092,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
송정1단지주공아파트,송정동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산송정2휴먼시아,송정동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대그린맨션,반여동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산도시공사 반송영구임대아파트,반송동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
벽산삼협,반송동,LM087,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
삼한2,반송동,LM087,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산반송주공,반송동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
삼한그린타운1,반송동,LM087,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
센텀센시빌,우동,LM089,LOW_ASSIGNMENT_STABILITY,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
해운대래미안,중동,LM092,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
삼익비치,남천동,LM076,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
쌍용예가디오션,광안동,LM075,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
삼성,망미동,LM077,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
더샵파크리치,망미동,LM077,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이편한세상3차,망미동,LM077,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
광원,광안동,LM075,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
비치-그린아파트,광안동,LM075,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대,수영동,LM079,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
센텀비치푸르지오,민락동,LM078,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산더샵센텀포레,민락동,LM078,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
롯데캐슬자이언트,민락동,LM078,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
코오롱하늘채골든비치,남천동,LM076,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
뉴비치,남천동,LM076,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
수영협성르네상스타운,수영동,LM079,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면베르빌2,범천동,LM042,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
더샵센트럴스타,부전동,LM044,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면한신,전포동,LM047,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면롯데캐슬스카이,전포동,LM047,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면대우디오빌2,전포동,LM047,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
네오스포,부전동,LM044,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대1차,양정동,LM045,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
개금주공2,개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
경남,범천동,LM042,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
범천LH,범천동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
벽산1,가야동,LM038,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
개금우드빌,개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
개금아이파크,개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면노르웨이아침,전포동,LM047,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
시영(1~5동),개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
화인,연지동,LM046,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
연지자이2차,연지동,LM046,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대2차,양정동,LM045,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
반도보라빌,가야동,LM038,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
대원칸타빌멤버스,양정동,LM045,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동원화인패밀리,개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
개금2지구도개공임대아파트,개금동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
엘지신개금(2-1),개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면이-편한세상,범천동,LM042,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
연지2청구,연지동,LM046,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
연지자이,연지동,LM046,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
세동한신,연지동,LM046,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한라비발디,전포동,LM047,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구포동원로얄듀크비스타,구포동,LM049,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구포유림노르웨이숲2차,구포동,LM049,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
롯데,덕천동,LM051,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
덕천삼정그린코아,덕천동,LM051,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산율리마을,금곡동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
금곡주공1단지,금곡동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
금곡주공2단지,금곡동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
금곡주공4단지,금곡동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
금곡주공7단지,금곡동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
덕천주공2단지,덕천동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
기비골마을,덕천동,LM051,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산만덕3단지 주공아파트,만덕동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
삼정그린코아,구포동,LM049,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구포현대,구포동,LM049,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산도시공사 덕천2지구 아파트,덕천동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
덕천주공1,덕천동,LM051,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한일유엔아이,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
백양그린,모라동,LM056,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산모라주공3,모라동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
주공4,모라동,LM056,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
우성,모라동,LM056,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
괘법한신2,괘법동,LM054,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
반도보라,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
럭키주례1,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
엄궁대림,엄궁동,LM057,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
롯데캐슬,엄궁동,LM057,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
엄궁2차한신,엄궁동,LM057,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
코오롱,엄궁동,LM057,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
학장1지구도개공임대,학장동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
덕포경동메르빌,덕포동,LM055,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
쌍용스윗닷홈,엄궁동,LM057,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
주례청구,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
사상강변동원,괘법동,LM054,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
자유,덕포동,LM055,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
모라주공1단지,모라동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
모라벽산,모라동,LM056,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
모라동원타운,모라동,LM056,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
우신모라,모라동,LM056,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
엘지신주례2,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
엘지신주례1,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대무지개타운,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
지사휴먼시아,지사동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
지사금강펜테리움,지사동,LM003,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산신호윌더하임,신호동,LM002,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산신호사랑으로부영1차,신호동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산신호사랑으로부영2차,신호동,LM002,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산신호사랑으로부영5차,신호동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산신호3사랑으로부영3차,신호동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대,기장읍청강리,LM013,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
우신네오빌,기장읍청강리,LM013,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서부주공,기장읍서부리,LM012,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산기장교리,기장읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
고촌휴먼시아,철마면,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이진캐스빌블루1차,기장읍교리,LM009,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이지더원,정관읍모전리,LM018,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
내리 휴먼시아1단지,기장읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한신,기장읍동부리,LM011,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
청강주공,기장읍청강리,LM013,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관신도시롯데캐슬,정관읍용수리,LM020,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관센트럴파크,정관읍달산리,LM016,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관신도시휴먼시아2단지,정관읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관LH4단지,정관읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이지더원2차,정관읍모전리,LM018,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관동일스위트1차,정관읍용수리,LM020,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관1차동원로얄듀크,정관읍달산리,LM016,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관롯데캐슬2차,정관읍모전리,LM018,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관동일스위트2차,정관읍모전리,LM018,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관2차동원로얄듀크,정관읍매학리,LM017,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관신도시LH5단지,정관읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동일스위트3차,정관읍모전리,LM018,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
이진캐스빌,정관읍용수리,LM020,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관현진에버빌,정관읍모전리,LM018,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관신동아파밀리에,정관읍용수리,LM020,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관신도시한진해모로,정관읍용수리,LM020,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관신도시휴먼시아1단지,정관읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
,가야동;개금동;거제동;광안동;괘법동;괴정동;구서동;구평동;구포동;금곡동;기장읍교리;기장읍내리;기장읍청강리;낙민동;다대동;당감동;덕천동;덕포동;동대신동1가;동대신동3가;동삼동;만덕동;명장동;명지동;문현동;민락동;반여동;범일동;범천동;복천동;봉래동4가;부곡동;부암동;부전동;사직동;서대신동2가;서대신동3가;수정동;신평동;신호동;안락동;양정동;엄궁동;연산동;연지동;영선동4가;온천동;용당동;용호동;우동;일광읍삼성리;일광읍이천리;장전동;재송동;전포동;정관읍달산리;정관읍매학리;정관읍모전리;정관읍용수리;좌동;좌천동;주례동;중동;청학동;초량동;하단동;학장동;화명동;화전동,ALG00,NON_LOCAL_PRICE_CLUSTER,max spread 38.7km,Pure cluster를 최종 local market으로 사용하지 않음
,가야동;개금동;거제동;광안동;괘법동;괴정동;구서동;구평동;구포동;금곡동;기장읍교리;기장읍내리;기장읍청강리;낙민동;다대동;당감동;덕천동;덕포동;동대신동1가;동대신동3가;동삼동;만덕동;명장동;명지동;문현동;민락동;반여동;범일동;범천동;복천동;봉래동4가;부곡동;부암동;부전동;사직동;서대신동2가;서대신동3가;수정동;신평동;신호동;안락동;양정동;엄궁동;연산동;연지동;영선동4가;온천동;용당동;용호동;우동;일광읍삼성리;일광읍이천리;장전동;재송동;전포동;정관읍달산리;정관읍매학리;정관읍모전리;정관읍용수리;좌동;좌천동;주례동;중동;청학동;초량동;하단동;학장동;화명동;화전동,ALG00,DISTANT_DONG_MERGED,"69개 법정동, max spread 38.7km",법정동 기준을 유지하고 원거리 병합을 금지
,가야동;개금동;거제동;광안동;구서동;구포동;남천동;당감동;당리동;대연동;덕천동;동삼동;망미동;명륜동;명장동;문현동;민락동;반여동;범일동;범전동;범천동;부곡동;사직동;서대신동1가;수영동;안락동;암남동;양정동;연산동;연지동;온천동;용호동;우동;장림동;장전동;재송동;전포동;좌동;중동;초량동;초읍동;화명동,ALG01,NON_LOCAL_PRICE_CLUSTER,max spread 21.7km,Pure cluster를 최종 local market으로 사용하지 않음
,가야동;개금동;거제동;광안동;구서동;구포동;남천동;당감동;당리동;대연동;덕천동;동삼동;망미동;명륜동;명장동;문현동;민락동;반여동;범일동;범전동;범천동;부곡동;사직동;서대신동1가;수영동;안락동;암남동;양정동;연산동;연지동;온천동;용호동;우동;장림동;장전동;재송동;전포동;좌동;중동;초량동;초읍동;화명동,ALG01,DISTANT_DONG_MERGED,"42개 법정동, max spread 21.7km",법정동 기준을 유지하고 원거리 병합을 금지
,가야동;감만동;감천동;개금동;구서동;구평동;구포동;금곡동;기장읍동부리;기장읍서부리;기장읍청강리;낙민동;다대동;당감동;대연동;덕천동;덕포동;동삼동;만덕동;망미동;모라동;문현동;반송동;반여동;범천동;봉래동2가;부곡동;부민동3가;부암동;부전동;사직동;서대신동3가;신평동;신호동;안락동;엄궁동;연산동;우암동;장림동;재송동;전포동;정관읍방곡리;정관읍용수리;주례동;지사동;청룡동;청학동;하단동;학장동;화명동,ALG02,NON_LOCAL_PRICE_CLUSTER,max spread 38.8km,Pure cluster를 최종 local market으로 사용하지 않음
,가야동;감만동;감천동;개금동;구서동;구평동;구포동;금곡동;기장읍동부리;기장읍서부리;기장읍청강리;낙민동;다대동;당감동;대연동;덕천동;덕포동;동삼동;만덕동;망미동;모라동;문현동;반송동;반여동;범천동;봉래동2가;부곡동;부민동3가;부암동;부전동;사직동;서대신동3가;신평동;신호동;안락동;엄궁동;연산동;우암동;장림동;재송동;전포동;정관읍방곡리;정관읍용수리;주례동;지사동;청룡동;청학동;하단동;학장동;화명동,ALG02,DISTANT_DONG_MERGED,"50개 법정동, max spread 38.8km",법정동 기준을 유지하고 원거리 병합을 금지
,강서구 신호동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,금정구 구서동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 3, 1: 1, 2: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,금정구 부곡동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 4, 1: 1, 2: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,금정구 장전동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 4, 1: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,기장군 기장읍청강리,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,기장군 정관읍용수리,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 5, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,남구 대연동,,LEGAL_DONG_SPLIT,"algorithm clusters={1: 9, 2: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,남구 문현동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 4, 1: 2, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,남구 용호동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 7, 1: 2}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,동구 범일동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 3, 1: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,동구 초량동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 1: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,동래구 낙민동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 5, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,동래구 명장동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 1: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,동래구 사직동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 6, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,동래구 안락동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 4, 1: 1, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,동래구 온천동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 7}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 가야동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 1: 1, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 개금동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 3, 1: 1, 2: 4}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 당감동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 4, 1: 1, 2: 5}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 범천동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 2, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 부암동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 11, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 부전동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 양정동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 3, 1: 2}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 연지동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 5, 1: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,부산진구 전포동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 3, 2: 2}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,북구 구포동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 1, 2: 2}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,북구 금곡동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 6, 2: 7}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,북구 덕천동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 1: 1, 2: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,북구 만덕동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 5, 2: 8}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,북구 화명동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 9, 1: 6, 2: 3}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사상구 덕포동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사상구 엄궁동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 4}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사상구 주례동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 3, 2: 6}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사상구 학장동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 1, 2: 9}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사하구 구평동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 2, 2: 1}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
,사하구 다대동,,LEGAL_DONG_SPLIT,"algorithm clusters={0: 5, 2: 10}",최소표본 규칙 충족 여부 확인; 미충족 시 법정동 유지
