metric,value
kapt_rows,1468
kapt_500plus,560
kapt_coordinates,1468
cache_coordinates,1468
summary_rows,4409
summary_500plus,503
summary_missing_households,3053
added_kapt_rows,112
master_rows,4521
master_500plus,560
