internal_complex_id,kapt_code,complex_name,households,address,road_address,sigungu,legal_dong,admin_dong,latitude,longitude,raw_road_address,raw_lot_address,normalized_road_address,normalized_lot_address,address_evidence_source,address_source_document,upstream_match_method,lawd_cd,jibun_evidence,road_name_evidence,road_number_evidence,missing_reason
TRADE_EC44A19E22F1,,오현리버뷰,,,,사하구,하단동,,,,부산광역시 사하구 하신번영로 298,부산광역시 사하구 하단동 888-4,부산광역시 사하구 하신번영로 298,부산광역시 사하구 하단동 888-4,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26380,888-4,하신번영로,298,KAPT_UNMATCHED
TRADE_EC4CB8B15B10,,달맞이베네치아,,,,해운대구,중동,,,,부산광역시 해운대구 달맞이길 127,부산광역시 해운대구 중동 1508-17,부산광역시 해운대구 달맞이길 127,부산광역시 해운대구 중동 1508-17,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26350,1508-17,달맞이길,127,KAPT_UNMATCHED
TRADE_EC8A8F4691FD,,대신빌라,,,,서구,토성동5가,,,,부산광역시 서구 구덕로 135-6,부산광역시 서구 토성동5가 29-7,부산광역시 서구 구덕로 135-6,부산광역시 서구 토성동5가 29-7,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26140,29-7,구덕로,135-6,KAPT_UNMATCHED
TRADE_EC8BB66AE76B,,오양,,,,수영구,망미동,,,,부산광역시 수영구 과정로67번길 47,부산광역시 수영구 망미동 453-3,부산광역시 수영구 과정로67번길 47,부산광역시 수영구 망미동 453-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26500,453-3,과정로67번길,47,KAPT_UNMATCHED
TRADE_EC979B4D0449,,청운아파트1동,,,,중구,영주동,,,,부산광역시 중구 망양로 375,부산광역시 중구 영주동 252-3,부산광역시 중구 망양로 375,부산광역시 중구 영주동 252-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26110,252-3,망양로,375,KAPT_UNMATCHED
TRADE_ECEF8096FDF9,,퍼스트클래스,,,,사하구,괴정동,,,,부산광역시 사하구 대티로 23,부산광역시 사하구 괴정동 207-10,부산광역시 사하구 대티로 23,부산광역시 사하구 괴정동 207-10,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26380,207-10,대티로,23,KAPT_UNMATCHED
TRADE_ECFC0E3E6468,,나산리츠빌라,,,,사하구,괴정동,,,,부산광역시 사하구 장평로443번길 93,부산광역시 사하구 괴정동 586-7,부산광역시 사하구 장평로443번길 93,부산광역시 사하구 괴정동 586-7,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26380,586-7,장평로443번길,93,KAPT_UNMATCHED
TRADE_ED1381B71A6D,,타워별장,,,,서구,동대신동3가,,,,부산광역시 서구 구덕로334번길 26,부산광역시 서구 동대신동3가 355-1,부산광역시 서구 구덕로334번길 26,부산광역시 서구 동대신동3가 355-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26140,355-1,구덕로334번길,26,KAPT_UNMATCHED
TRADE_ED1767D8BA65,,천우그린빌라,,,,서구,부민동1가,,,,부산광역시 서구 대청로6번길 8,부산광역시 서구 부민동1가 26-1,부산광역시 서구 대청로6번길 8,부산광역시 서구 부민동1가 26-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26140,26-1,대청로6번길,8,KAPT_UNMATCHED
TRADE_ED21BE5ACE3F,,반도,,,,동래구,온천동,,,,부산광역시 동래구 금강공원로 37,부산광역시 동래구 온천동 189-134,부산광역시 동래구 금강공원로 37,부산광역시 동래구 온천동 189-134,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26260,189-134,금강공원로,37,KAPT_UNMATCHED
