metric,value
middle_school_scores,170
elementary_relations,462
scored_elementaries,54
scored_apartments,893
apartment_total,4521
scored_500plus,79
apartment_500plus_total,560
review_coordinates_excluded,3
shared_catchment_apartments,4
relation_UNRESOLVED,243
relation_ELIGIBLE,182
relation_GROUP_MEMBERSHIP,28
relation_CONDITIONAL,9
status_UNRESOLVED,3625
status_SCORED,893
status_REVIEW,3
quality_LOW,3628
quality_HIGH,827
quality_MEDIUM,66
