model_confidence,apartment_count,gap_available,median_gap,p25_gap,p75_gap,extreme_count
HIGH,312,312,3.6559650924384957,-5.0449598955759924,12.986736201114585,18
LOW,58,0,,,,0
MEDIUM,190,190,2.6013796862620397,-3.937346239778167,11.625726271982527,33
