match_level,area_group,high_complex_id,high_complex_name,low_complex_id,low_complex_name,sigungu,legal_dong,high_score,low_score,score_gap,high_price_per_m2,low_price_per_m2,price_difference_pct,household_difference_pct,age_difference_years
legal_dong,80_90,A61673902,율리역벽산블루밍1단지,A10028138,동원역삼정그린코아,북구,금곡동,67.82882352941176,40.883529411764705,26.94529411764706,4471272.07690588,4002278.944716756,0.11718152049552222,0.10186757215619695,1.0
legal_dong,80_90,A61281117,센텀대림,A61279804,센텀SKVIEW아파트,해운대구,반여동,68.9835294117647,48.32911764705884,20.65441176470587,4053895.0341256764,3951869.765247139,0.025816961321891263,0.084,5.0
legal_dong,80_90,A61206110,센텀롯데캐슬3차아파트,A61279802,일동미라주,해운대구,반여동,60.278823529411774,41.22666666666667,19.052156862745107,4724652.211466726,3598359.850027383,0.3130015919421656,0.08333333333333333,5.0
legal_dong,80_90,A10025593,대연자이,A10026094,대연SKVIEWHills(2단지),남구,대연동,67.81647058823528,49.078823529411764,18.737647058823512,9849179.293895038,10353136.059031699,-0.0486767258020363,0.029175050301810865,1.0
legal_dong,80_90,A61612010,화명2차현대,A61679208,경남아너스빌,북구,화명동,73.8094117647059,56.18058823529412,17.628823529411783,4853266.630821126,4233894.712048051,0.14628892801953208,0.23283983849259757,3.0
legal_dong,80_90,A61180503,유림아시아드,A61177214,거제동월드메르디앙,연제구,거제동,73.86156862745099,56.42980392156863,17.431764705882365,3854274.3019350218,7419000.413344309,-0.48048603757960884,0.13082706766917293,4.0
legal_dong,80_90,A61610003,롯데,A61670501,덕천삼정그린코아,북구,덕천동,51.84117647058823,34.65176470588236,17.189411764705874,2359870.8678661105,4148595.581864237,-0.4311639152819844,0.20567375886524822,3.0
legal_dong,80_90,A10022405,드파인센텀,A10024249,해운대센텀트루엘1단지,해운대구,반여동,59.278823529411774,42.22666666666667,17.052156862745107,9213856.793366022,5177189.303926898,0.779702508922614,0.292,5.0
legal_dong,80_90,A10023647,센텀KCC스위첸,A10024249,해운대센텀트루엘1단지,해운대구,반여동,59.278823529411774,42.22666666666667,17.052156862745107,7749381.698268755,5177189.303926898,0.49683182192910147,0.1677115987460815,3.0
legal_dong,80_90,A61176513,거제1차현대홈타운,A61177214,거제동월드메르디앙,연제구,거제동,73.23970588235295,56.42980392156863,16.809901960784323,7915489.642184557,7419000.413344309,0.06692131030849247,0.025086505190311418,5.0
legal_dong,80_90,A61176612,거제2차현대홈타운,A61177214,거제동월드메르디앙,연제구,거제동,73.23970588235295,56.42980392156863,16.809901960784323,8912024.741197161,7419000.413344309,0.2012433272233547,0.039792387543252594,4.0
legal_dong,80_90,A61176709,쌍용,A61176911,거제동롯데캐슬,연제구,거제동,73.23970588235295,56.42980392156863,16.809901960784323,8708853.608878322,4768239.98963938,0.8264293801908593,0.07037037037037037,0.0
legal_dong,80_90,A61206118,메가센텀한화꿈에그린,A61270515,센텀롯데캐슬아파트,해운대구,반여동,67.9835294117647,51.28078431372549,16.702745098039216,6119137.248718218,4807579.145580793,0.27281050678968666,0.2340153452685422,3.0
legal_dong,80_90,A10028117,명지오션시티삼정그린코아,A10027621,명지2차금강펜테리움센트럴파크,강서구,명지동,75.28764705882352,59.25294117647059,16.03470588235293,4355728.842930064,4623074.065325995,-0.05782845323657593,0.08955223880597014,2.0
legal_dong,80_90,A61271302,더샵센텀파크2차,A61278214,센텀우신골든빌,해운대구,재송동,55.88392156862745,40.252941176470586,15.630980392156864,12405643.268048143,3659813.0136114396,2.389693195228701,0.1523046092184369,1.0
legal_dong,80_90,A61286403,센텀이편한세상,A61278214,센텀우신골든빌,해운대구,재송동,55.88392156862745,40.252941176470586,15.630980392156864,7998940.927277006,3659813.0136114396,1.1856146468487991,0.28907563025210087,1.0
legal_dong,80_90,A61203033,벽산2,A61203024,대우,해운대구,좌동,87.26705882352942,71.73352941176469,15.533529411764732,6000705.965407696,6296932.746404274,-0.04704302760192769,0.20373831775700935,0.0
legal_dong,80_90,A10028117,명지오션시티삼정그린코아,A10026445,부산명지중흥S-클래스에듀오션,강서구,명지동,75.28764705882352,60.25294117647059,15.034705882352931,4355728.842930064,5834753.635205061,-0.25348538854340463,0.18666666666666668,4.0
legal_dong,80_90,A10028117,명지오션시티삼정그린코아,A10027139,명지국제신도시호반베르디움2차,강서구,명지동,75.28764705882352,60.25294117647059,15.034705882352931,4355728.842930064,5742822.945348844,-0.24153523722025916,0.12103746397694524,3.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10027621,명지2차금강펜테리움센트럴파크,강서구,명지동,74.28764705882352,59.25294117647059,15.034705882352931,3800447.1114248736,4623074.065325995,-0.1779393845473929,0.20332936979785968,2.0
legal_dong,80_90,A10028117,명지오션시티삼정그린코아,A10027698,명지국제신도시호반베르디움1차,강서구,명지동,75.28764705882352,60.25294117647059,15.034705882352931,4355728.842930064,5825928.323427293,-0.25235454315241845,0.04984423676012461,2.0
legal_dong,80_90,A10028117,명지오션시티삼정그린코아,A10027918,명지1차 금강펜테리움 센트럴파크,강서구,명지동,75.28764705882352,60.25294117647059,15.034705882352931,4355728.842930064,4925284.03460279,-0.1156390550618589,0.2823529411764706,1.0
legal_dong,80_90,A61205002,센텀동부센트레빌,A61278214,센텀우신골든빌,해운대구,재송동,54.88392156862745,40.252941176470586,14.630980392156864,6529980.257104737,3659813.0136114396,0.7842387665213164,0.1690307328605201,1.0
legal_dong,80_90,A61203032,대우2,A61203024,대우,해운대구,좌동,86.26705882352942,71.73352941176469,14.533529411764732,6432287.375532591,6296932.746404274,0.021495327102803774,0.1497005988023952,1.0
legal_dong,80_90,A61203033,벽산2,A61275302,현대,해운대구,좌동,87.26705882352942,72.73352941176469,14.533529411764732,6000705.965407696,5923468.783319512,0.013039181080127138,0.10560747663551402,1.0
legal_dong,80_90,A61203033,벽산2,A61203031,상록,해운대구,좌동,87.26705882352942,72.73352941176469,14.533529411764732,6000705.965407696,4954051.796157059,0.2112723508588552,0.06542056074766354,1.0
legal_dong,80_90,A10025593,대연자이,A10022999,대연푸르지오클라센트1단지,남구,대연동,67.81647058823528,53.31058823529411,14.505882352941164,9849179.293895038,8459794.17766006,0.16423391480421046,0.08703878902554399,5.0
legal_dong,80_90,A61202011,센텀두산위브,A10025214,해운대비스타동원,해운대구,우동,86.82235294117646,72.51686274509802,14.305490196078438,8825045.462465925,11124596.659795707,-0.20670872550735797,0.13253012048192772,5.0
legal_dong,80_90,A61870411,명지오션시티한신휴플러스,A10026157,명지더웨스턴,강서구,명지동,74.28764705882352,60.25294117647059,14.034705882352931,3800447.1114248736,5141236.260489304,-0.26079119517779636,0.2997502081598668,4.0
