model,split_count,train_rows,test_rows,train_apartments,test_apartments,RMSE,RMSE_std,MAE,MAE_std,R2,R2_std,MAPE,delta_RMSE_vs_M1,delta_MAE_vs_M1,delta_R2_vs_M1
MODEL_0,3,18034.0,4142.0,388.0,97.0,0.3466640617666288,0.023996895252494214,0.26976947553168434,0.030263674908148054,0.521759277622178,0.11678932041563599,0.28570769134674445,0.05607195532074116,0.04893612469973449,-0.14688341920064307
MODEL_1_M,3,18034.0,4142.0,388.0,97.0,0.2905921064458876,0.003814473161416521,0.22083335083194985,0.008237856274689627,0.6686426968228211,0.02889363367137015,0.23278619179282992,0.0,0.0,0.0
MODEL_2_E,3,18034.0,4142.0,388.0,97.0,0.30922798103995697,0.005947254692895637,0.23650542498918506,0.010732402730719312,0.6230510229612305,0.05540226604841709,0.24765567353474657,0.018635874594069346,0.015672074157235205,-0.045591673861590576
MODEL_3_E_M,3,18034.0,4142.0,388.0,97.0,0.2787240510758943,0.006074750408534856,0.21617800145146324,0.003545669471710829,0.6954066843183483,0.023134648227540345,0.22210388166828712,-0.011868055369993302,-0.0046553493804866175,0.02676398749552722
MODEL_4_E_M_INTERACTION,3,18034.0,4142.0,388.0,97.0,0.28521509537529466,0.013103865655100494,0.22048033195209463,0.0030921212840455564,0.6815269924495237,0.022261272636685918,0.22851560058437384,-0.005377011070592963,-0.00035301887985522695,0.01288429562670268
