model,n_transactions,n_apartments,n_schools,r_squared,adjusted_r_squared,aic,bic,rmse_log,mae_log,parameter_count,sse,variable,coefficient,standard_error,t_stat,p_value,ci95_low,ci95_high,ten_point_price_pct,period,start_date,end_date,within_legal_dong_spearman,within_dong_n
MODEL_E,64956,449,210,0.7049789392013861,0.7045331574976645,8492.18774060008,9391.252814861993,0.25792308178656154,0.2009299095173036,99,4321.15347777882,elementary_demand_score,0.0038195867420394596,0.0010807566355151381,3.5341783862551717,0.0004515630971853096,0.001701303736429789,0.00593786974764913,3.8934706411832387,A_2020_2022,2020-01-01,2022-12-31,0.2186366057176711,404
MODEL_E,31628,477,218,0.8148428521604711,0.8142496633026461,-10510.638574949999,-9657.735170464535,0.20426770511988676,0.15091014282374796,102,1319.687641486201,elementary_demand_score,0.004618347582062469,0.0009745888355097545,4.7387651220597675,2.8435285735246587e-06,0.00270815346446335,0.006528541699661587,4.726654141885067,B_2023_2024,2023-01-01,2024-12-31,0.26750888353748414,430
MODEL_E,33649,485,220,0.8279414105182928,0.82742339348137,-7435.311032420791,-6576.089693491966,0.2160051098947562,0.16100015699219447,102,1570.0020241892269,elementary_demand_score,0.005631728743258846,0.000985927118705547,5.71211465473524,1.9506343178466444e-08,0.0036993115905959734,0.007564145895921718,5.7933299430900975,C_2025_CURRENT,2025-01-01,2026-08-28,0.3005167111829472,438
