rank,apartment_id,apartment,legal_dong,elementary_school,school_premium_core_score,expected_school_premium_pct,school_value_gap_pct,residual_method_gap_pct,comparable_method_gap_pct,gap_method_agreement,gap_6m,gap_12m,gap_24m,temporal_stability,gap_positive_probability,bootstrap_stability,gap_confidence,sanity_flag_reason,sanity_severity,candidate_tier,tier_reason,failed_tier1_conditions,transaction_count
17,A61206114,센텀롯데캐슬2차,반여동,무정초등학교,75.30364238410596,11.332075238285633,26.053881424513325,24.768414454491666,27.33934839453499,STRONG_POSITIVE,26.053881424513328,27.119810721629094,27.885758258901006,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,24.0
18,A61202011,센텀두산위브,우동,강동초등학교,65.61307947019867,6.847921108681909,26.042009088189005,22.57788728021485,29.506130896163164,STRONG_POSITIVE,26.350621593045013,26.857322511926824,26.876991393835425,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,9.0
19,A10024606,일광대성베르힐,일광읍삼성리,해빛초등학교,75.63647902869756,11.489388683813262,23.0159009363874,18.633519703645383,27.39828216912941,STRONG_POSITIVE,23.015900936387396,22.42468935258105,22.100155997525444,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,14.0
20,A61281117,센텀대림,반여동,장산초등학교,72.56655629139073,10.046795965102053,19.88333767057941,11.198575687125524,28.568099654033304,STRONG_POSITIVE,19.883337670579415,19.568486307360743,20.0881948240417,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,HIGH,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,28.0
21,A10023912,일광한신더휴센트럴포레2단지,일광읍삼성리,해빛초등학교,75.63647902869756,11.489388683813283,17.666905514815163,17.77286917791897,17.560941851711355,STRONG_POSITIVE,17.666905514815163,17.482403919135567,17.304442903551916,STABLE_POSITIVE,1.0,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,15.0
22,A61375202,광원,광안동,수영초등학교,71.04155629139072,9.337135028665957,43.495351170341536,33.52848712339891,53.46221521728417,STRONG_POSITIVE,43.495351170341536,38.764470334134366,39.611298861161785,STABLE_POSITIVE,0.998,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,14.0
23,A10022568,해운대경동리인뷰2차,우동,해운대초등학교,81.58217439293598,14.337341114040411,22.117697091821555,27.858210555444764,16.377183628198342,STRONG_POSITIVE,27.00541340455301,22.499453874621913,25.95634744534825,STABLE_POSITIVE,0.998,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,5.0
24,A60784207,반도보라스카이뷰,온천동,금강초등학교,77.53211920529802,12.389600394485466,18.860124832765823,1.5979507479524582,36.12229891757919,STRONG_POSITIVE,18.860124832765823,20.648367002859256,24.36902403418925,STABLE_POSITIVE,0.998,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,16.0
25,A10028182,대신롯데캐슬,서대신동3가,대신초등학교,66.23658940397351,7.130924553026441,20.06700248657759,4.943516394726077,35.190488578429104,STRONG_POSITIVE,20.06700248657759,17.106406765354528,18.419971174646815,STABLE_POSITIVE,0.998,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,7.0
26,A10023542,해운대센트럴푸르지오,우동,해운대초등학교,81.58217439293598,14.337341114040411,19.152644035670672,26.05026549017257,12.255022581168772,STRONG_POSITIVE,20.59282756054169,16.810198771642504,17.705876017236776,STABLE_POSITIVE,0.98,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,11.0
27,A61478807,화인,연지동,연지초등학교,67.58669977924946,7.74629440984449,25.562401904063925,9.322312793520638,41.80249101460721,STRONG_POSITIVE,25.562401904063925,25.71045121253198,27.073236714031605,STABLE_POSITIVE,0.974,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,8.0
28,A61486008,세동한신,연지동,연지초등학교,67.58669977924946,7.74629440984449,26.961008433070766,12.393733248294993,41.52828361784655,STRONG_POSITIVE,26.96100843307077,29.60106738909424,27.86624118764463,STABLE_POSITIVE,0.964,VERY_STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,14.0
29,A10025214,해운대비스타동원,우동,해동초등학교,69.79343267108167,8.75972574928998,14.63772548244838,17.736494322904385,11.538956641992382,STRONG_POSITIVE,9.325070359120367,15.016600823080033,14.923235534919606,STABLE_POSITIVE,0.89,STABLE_POSITIVE,MEDIUM,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,26.0
30,A61484005,화승,부암동,동평초등학교,70.84387417218544,9.245479063447458,24.63392320005933,17.884295023967844,31.38355137615082,STRONG_POSITIVE,24.633923200059332,15.340676464122415,14.23875562767597,STABLE_POSITIVE,0.812,STABLE_POSITIVE,HIGH,NONE,NONE,TIER_1,ALL_TIER1_RULES_PASSED,,41.0
