coefficient,standard_error,p_value,r_squared,n,clusters,score_10point_association_pct,model,price_variant,fixed_effect,score_10point_se_pct
0.01371830463997192,0.002061761091852342,7.723978702877205e-11,0.10466208086322626,22218,487,14.703809049805683,MODEL1,RAW,NONE,2.0617610918523424
0.013844571866958576,0.0016254896657210073,2.0698514400263275e-16,0.46685424865357406,22213,486,14.848733845746498,MODEL2,RAW,NONE,1.6254896657210072
0.008054387852425432,0.0019498584637619282,4.258359892715467e-05,0.6856641191921615,22213,486,8.387640449596233,MODEL3,RAW,sigungu,1.9498584637619283
0.0030487677641700163,0.0023162445069406165,0.18871028487998234,0.8185325458862817,22213,486,3.0957186146670423,MODEL4,RAW,legal_dong,2.3162445069406163
0.013534381139368666,0.0020410198076517227,8.884393246106083e-11,0.1038019220639469,22218,487,14.493035679173571,MODEL1,WINSORIZED_1_99,NONE,2.0410198076517228
0.013733671685561366,0.0016220160436767354,3.013433714778036e-16,0.46428905515622765,22213,486,14.72143699084738,MODEL2,WINSORIZED_1_99,NONE,1.6220160436767355
0.007919575264883367,0.0019428876195263236,5.348919702471556e-05,0.6852266059331962,22213,486,8.24161871688398,MODEL3,WINSORIZED_1_99,sigungu,1.9428876195263238
0.002849276454189857,0.0022786897652692035,0.2117559567922316,0.819562709885622,22213,486,2.8902566226183035,MODEL4,WINSORIZED_1_99,legal_dong,2.278689765269203
0.0025869819637978696,0.002126376428274251,0.22434236477745267,0.8184656938465698,22213,486,2.6207347733497643,MODEL4,QUALITY_FOCUSED,legal_dong,2.1263764282742508
0.002234763521591289,0.002854233243328321,0.43403005210481216,0.8181009193388116,22213,486,2.259921418553157,MODEL4,STABILITY_FOCUSED,legal_dong,2.854233243328321
