metric,value
bukbu_elementaries,70
seobu_elementaries,54
manual_source_rows,486
manual_integrated_rows,478
manual_source_elementaries,153
manual_source_files,2
manual_unmatched_rows,11
relation_rows,811
unmatched_elementary_ids,0
unresolved_external_office_rows,2
unmatched_named_middle_ids,11
scored_apartments,4288
scored_500plus,546
