apartment_id,apartment_name,gu,legal_dong,household_count,school_premium_core_score,school_premium_confidence,expected_school_premium_pct,gap_confidence,residual_method_gap_pct,comparable_method_gap_pct,school_value_gap_pct,comparable_count,data_quality_flag,internal_complex_id,apartment_age,transaction_count_6m,market_price_6m,market_price_per_m2_6m,representative_area_6m,baseline_price_6m,fair_price_6m,has_6m_price,residual_gap_6m,comparable_rule_6m,comparable_count_6m,comparable_gap_6m,gap_6m,transaction_count_12m,market_price_12m,market_price_per_m2_12m,representative_area_12m,baseline_price_12m,fair_price_12m,has_12m_price,residual_gap_12m,comparable_rule_12m,comparable_count_12m,comparable_gap_12m,gap_12m,transaction_count_24m,market_price_24m,market_price_per_m2_24m,representative_area_24m,baseline_price_24m,fair_price_24m,has_24m_price,residual_gap_24m,comparable_rule_24m,comparable_count_24m,comparable_gap_24m,gap_24m,phase145_gap_reproduced,phase145_reproduction_error,temporal_sign_pattern,temporal_stability,temporal_std,temporal_range,temporal_median,temporal_min,temporal_max,temporal_cv,gap_method_agreement,gap_method_abs_diff,large_method_disagreement,bootstrap_iterations,bootstrap_gap_p05,bootstrap_gap_p25,bootstrap_gap_median,bootstrap_gap_p75,bootstrap_gap_p95,gap_positive_probability,gap_negative_probability,bootstrap_iqr,bootstrap_stability,sanity_flag
A10020645,강서자이에코델타,강서구,강동동,856.0,84.39039735099338,C,15.707645281770263,LOW,5.059872979790491,-9.253434784265746,-2.0967809022376294,17.0,METHOD_DIRECTION_DISAGREEMENT,A10020645,1,,,,,,,False,,,,,,2.0,532000000.0,6830412.888191526,77.24765,480804980.463652,556328121.2919673,True,5.059872979790489,DISTRICT_RELAXED,17.0,-7.795394918224121,-1.3677609692168158,2.0,532000000.0,6830412.888191526,77.24765,480804980.463652,556328121.2919673,True,5.059872979790489,DISTRICT_RELAXED,17.0,-5.1042581161841145,-0.0221925681968127,-2.0967809022376294,0.0,NA--,STABLE_NEGATIVE,0.9514605409115839,1.345568401020003,-0.6949767687068142,-1.3677609692168158,-0.0221925681968127,,MIXED_POSITIVE_RESIDUAL,14.313307764056237,False,500,-17.37134937453167,-11.087750882801457,-1.3677609692168158,2.9011007271222162,11.47922114710511,0.288,0.712,13.988851609923673,UNCERTAIN,True
A10020649,e편한세상 에코델타 센터포인트,강서구,강동동,953.0,84.39039735099338,C,,LOW,,,,,RECENT_PRICE_MISSING,A10020649,1,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,NANANA,INSUFFICIENT,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,True
A10020721,백양산서희스타힐스,부산진구,부암동,1295.0,66.89039735099338,B,7.428485025184317,LOW,10.163511101902069,-45.53329172180425,-17.684890309951086,11.0,METHOD_DIRECTION_DISAGREEMENT,A10020721,1,10.0,377500000.0,5627356.335173492,65.0978,388115047.76401126,416946115.9676478,True,10.163511101902067,ALL_SAME_DONG,11.0,-45.53329172180425,-17.68489030995109,25.0,386000000.0,5765404.513723427,65.0978,412492653.504123,443134608.49966216,True,13.851060864794551,ALL_SAME_DONG,11.0,-52.93020796116961,-19.539573548187526,41.0,427770000.0,5638520.772443982,84.9897,477870482.26567,513369019.4805515,True,17.91259821588289,ALL_SAME_DONG,11.0,-49.13859791416111,-15.61299984913911,-17.684890309951086,0.0,---,STABLE_NEGATIVE,1.9642878696810897,3.926573699048417,-17.68489030995109,-19.539573548187526,-15.61299984913911,0.11152813166222432,MIXED_POSITIVE_RESIDUAL,55.696802823706314,False,500,-41.58647512177108,-24.093245470909153,-19.274879562472098,-2.835967103422842,1.6674539298684004,0.108,0.892,21.25727836748631,STABLE_NEGATIVE,False
A10020870,양정자이더샵SKVIEW아파트(2단지),부산진구,양정동,2276.0,83.05761589403974,B,15.055263916615868,MEDIUM,-11.097039913812168,-46.78170690956552,-28.93937341168884,7.0,OK,A10020870,1,13.0,717000000.0,11503949.689393358,59.9794,568360607.1624187,653928796.5688012,True,-11.097039913812168,DISTRICT_RELAXED,7.0,-46.781706909565514,-28.93937341168884,14.0,713500000.0,11420587.735122392,59.9794,570816619.5855303,656754568.144037,True,-9.941096651524585,INSUFFICIENT_COMPARABLES,0.0,,-9.941096651524585,15.0,717000000.0,11337225.780851426,59.9794,573272632.0086418,659580339.7192727,True,-10.016117476171704,INSUFFICIENT_COMPARABLES,0.0,,-10.016117476171704,-28.93937341168884,0.0,---,STABLE_NEGATIVE,10.947067820357288,18.998276760164256,-10.016117476171704,-28.93937341168884,-9.941096651524585,0.6716461232518323,STRONG_NEGATIVE,35.68466699575335,False,500,-13.640054756170123,-10.641847096195288,-9.276578369673949,-6.6137633004382534,4.920262819004439,0.158,0.842,4.028083795757035,STABLE_NEGATIVE,False
A10022002,래미안포레스티지3단지,동래구,온천동,4043.0,83.79271523178808,B,15.414630457532642,MEDIUM,-0.6372148681935457,-35.60021033993412,-18.118712604063838,8.0,OK,A10022002,1,26.0,946500000.0,11341857.478447495,84.9849,815583756.8488723,941302979.0387876,True,-0.6372148681935457,ALL_SAME_DONG,8.0,-35.60021033993412,-18.118712604063834,45.0,930000000.0,11294609.294757536,84.9849,789642737.3565679,911363247.2548277,True,-2.360149959405831,ALL_SAME_DONG,8.0,-44.58852483657587,-23.47433739799085,58.0,880000000.0,11271833.240105242,84.9849,785204284.119616,906240622.8533695,True,3.3418848297282153,ALL_SAME_DONG,8.0,-48.95552176262217,-22.806818466446977,-18.118712604063838,0.0,---,STABLE_NEGATIVE,2.9185223154365425,5.355624793927017,-22.806818466446977,-23.47433739799085,-18.118712604063834,0.13595628616216857,STRONG_NEGATIVE,34.96299547174058,False,500,-36.74699762416199,-29.356884620161132,-23.551701594094098,-15.482935434316849,-6.5038072731966485,0.01,0.99,13.873949185844284,VERY_STABLE_NEGATIVE,False
A10022267,오션라이프에일린의뜰1단지,영도구,동삼동,1228.0,64.43979028697572,B,6.3174051039238455,MEDIUM,-1.340126774262873,-174.40578312885165,-87.87295495155726,6.0,OK,A10022267,3,30.0,420000000.0,5669007.658752818,74.9696,390125978.80771154,414771817.3046428,True,-1.340126774262873,ALL_SAME_DONG,6.0,-174.40578312885165,-87.87295495155726,62.0,415000000.0,5791612.302306747,74.9694,375414011.2153536,399130435.12071764,True,-4.227216993821515,ALL_SAME_DONG,6.0,-181.05290684918322,-92.64006192150237,88.0,377500000.0,5668979.610347689,67.3682,341685533.0177555,363271192.3199886,True,-4.164299130356231,ALL_SAME_DONG,6.0,-171.67440777615576,-87.919353453256,-87.87295495155726,0.0,---,STABLE_NEGATIVE,2.7389946490769224,4.767106969945104,-87.919353453256,-92.64006192150237,-87.87295495155726,0.030611002455634986,STRONG_NEGATIVE,173.06565635458878,True,500,-122.23393888706939,-104.31371124119741,-92.11901548990288,-70.7565450266172,-34.547097789736426,0.0,1.0,33.55716621458021,VERY_STABLE_NEGATIVE,False
A10022280,두산위브더제니스센트럴사하,사하구,장림동,1643.0,77.03780353200882,B,12.1541589204482,LOW,-42.93260502517562,,-42.93260502517562,0.0,INSUFFICIENT_COMPARABLES,A10022280,1,15.0,375000000.0,6120548.91907575,59.9309,241800132.04188183,271188904.36010575,True,-42.93260502517562,INSUFFICIENT_COMPARABLES,0.0,,-42.93260502517562,35.0,370000000.0,5873430.901254611,59.9309,233994397.19801894,262434448.09841093,True,-45.96928524342452,INSUFFICIENT_COMPARABLES,0.0,,-45.96928524342452,46.0,370000000.0,5835515.559686217,59.9309,236517177.00275937,265263850.5698325,True,-44.282682026492125,INSUFFICIENT_COMPARABLES,0.0,,-44.282682026492125,-42.93260502517562,0.0,---,STABLE_NEGATIVE,1.5214447667022888,3.036680218248904,-44.282682026492125,-45.96928524342452,-42.93260502517562,0.03427074338605702,INSUFFICIENT,,False,500,-49.66772298851892,-46.42489535639318,-45.555728374194736,-44.173299136740624,-41.94883607893178,0.0,1.0,2.251596219652555,VERY_STABLE_NEGATIVE,False
A10022365,연산포레서희스타힐스,연제구,연산동,612.0,73.0110927152318,B,10.25452733524801,MEDIUM,33.99286157557549,17.369864644560717,25.6813631100681,5.0,OK,A10022365,1,14.0,519500000.0,6128274.207272376,84.8526,681207255.0803286,751061839.2622335,True,33.99286157557549,RELAXED_SAME_DONG_1,5.0,17.369864644560717,25.681363110068105,16.0,519360000.0,6128274.207272376,84.8526,676499952.50845,745871825.0613687,True,33.48290332046099,RELAXED_SAME_DONG_1,6.0,22.3770289651234,27.929966142792196,22.0,486500000.0,6117505.772768491,84.8526,671787571.9431157,740676212.1428212,True,37.835801488203785,RELAXED_SAME_DONG_1,6.0,21.660450161924327,29.748125825064058,25.6813631100681,0.0,+++,STABLE_POSITIVE,2.037174481526482,4.066762714995953,27.929966142792196,25.681363110068105,29.748125825064058,0.07331529985250501,STRONG_POSITIVE,16.62299693101477,False,500,21.482373521544915,24.99577374240346,28.75066457508415,31.90272508305144,34.698355990813084,1.0,0.0,6.9069513406479786,VERY_STABLE_POSITIVE,False
A10022405,드파인센텀,해운대구,반여동,750.0,75.30364238410596,B,11.332075238285611,HIGH,-11.647697939705992,-99.736355448893,-55.6920266942995,12.0,OK,A10022405,2,11.0,625000000.0,9413902.215444213,74.7417,508213654.8547885,565804808.5941743,True,-11.647697939705992,ALL_SAME_DONG,12.0,-99.73635544889301,-55.6920266942995,12.0,622500000.0,9313879.504405119,74.7417,500168675.72730964,556848166.379065,True,-13.1259386696835,ALL_SAME_DONG,12.0,-100.54613239468837,-56.83603553218593,13.0,620000000.0,9413902.215444213,74.7417,492123696.5998308,547891524.1639559,True,-14.652510402212712,ALL_SAME_DONG,12.0,-102.89743629003804,-58.77497334612538,-55.6920266942995,0.0,---,STABLE_NEGATIVE,1.5584605719261844,3.0829466518258783,-56.83603553218593,-58.77497334612538,-55.6920266942995,0.027293046501775404,STRONG_NEGATIVE,88.088657509187,True,500,-77.86987525819151,-65.98576049974817,-56.594995696200684,-47.36354729927635,-37.940247252189096,0.0,1.0,18.62221320047182,VERY_STABLE_NEGATIVE,False
A10022434,e편한세상송도더퍼스트비치,서구,암남동,1302.0,73.16280353200882,B,10.325511339920102,LOW,4.985651295670235,,4.985651295670235,0.0,INSUFFICIENT_COMPARABLES,A10022434,2,107.0,461800000.0,6947715.496938295,59.991,438390557.7679833,483656624.5234554,True,4.985651295670235,INSUFFICIENT_COMPARABLES,0.0,,4.985651295670235,114.0,512250000.0,6941298.644362967,72.188,481524173.52409357,531244006.6657804,True,3.9445593202040996,DISTRICT_RELAXED,6.0,10.439389972913949,7.191974646559024,228.0,520000000.0,6668055.8676670715,84.804,530247351.3554437,584998101.7492762,True,12.258071932490521,DISTRICT_RELAXED,6.0,16.07636381450106,14.16721787349579,4.985651295670235,0.0,+++,STABLE_POSITIVE,4.792755742205237,9.181566577825556,7.191974646559024,4.985651295670235,14.16721787349579,0.545771587305195,INSUFFICIENT,,False,500,-1.3811888627779136,5.1689846799194745,8.986422890595318,10.697234650376124,12.540624777699072,0.9,0.09999999999999998,5.52824997045665,VERY_STABLE_POSITIVE,False
