apartment_id,apartment_name,school_premium_core_score,school_premium_confidence,recent_market_price,baseline_non_school_price,expected_fair_price,expected_school_premium_pct,observed_market_premium_pct,school_value_gap_pct,comparable_count,residual_method_gap_pct,comparable_method_gap_pct,unusual_flag,unusual_reason
A61205003,더샵센텀스타,89.52671081677705,A,1500000000.0,1018670854.1384815,1204645485.0698323,18.256596836535067,63.74774136145571,-45.49114452492064,10.0,-28.99410675492009,-61.9881822949212,False,OK
A61271204,더샵센텀파크1차,89.52671081677705,A,1297000000.0,840517362.0978272,993967228.2371092,18.25659683653531,87.89092073861292,-69.63432390207761,10.0,-36.05312459061627,-103.21552321353896,True,EXTREME_GAP
A61271302,더샵센텀파크2차,89.52671081677705,A,1112500000.0,648358538.1090267,766726742.4668443,18.25659683653509,67.89214124662882,-49.635544410093736,6.0,-53.33056283050153,-45.940525989685945,False,OK
A61176513,거제1차현대홈타운,89.40375275938192,B,510000000.0,377289893.4609948,445937511.9798367,18.194926423582803,14.700043850381388,3.4948825732014157,9.0,-16.979645924914298,23.969411071317126,True,METHOD_DIRECTION_DISAGREEMENT
A61176612,거제2차현대홈타운,89.40375275938192,B,620000000.0,375830151.67256117,444212171.2470233,18.194926423582803,38.99070646700584,-20.79578004342304,9.0,-46.77321070985555,5.18165062300946,True,METHOD_DIRECTION_DISAGREEMENT
A61176709,쌍용,89.40375275938192,B,600000000.0,344957083.58216196,407721771.13287336,18.194926423582803,40.03152318436272,-21.836596760779916,9.0,-55.73975373122893,12.066560209669099,True,METHOD_DIRECTION_DISAGREEMENT
A10024982,쌍용더플래티넘사직아시아드아파트,89.16280353200884,B,965000000.0,492447087.0409175,581452810.8009608,18.074170017914582,104.657547675013,-86.58337765709842,8.0,-77.88596974017032,-95.28078557402651,True,EXTREME_GAP
A10027054,사직롯데캐슬더클래식,89.16280353200884,B,1138500000.0,500908604.32159185,591443677.1010395,18.074170017914604,97.92456099972573,-79.85039098181113,5.0,-109.21280213181186,-50.487979831810385,True,EXTREME_GAP
A60778608,사직쌍용예가,84.42207505518763,B,550000000.0,457780826.985732,529758604.0298695,15.723196080114743,3.6044083414477575,12.118787738666985,8.0,-4.421634716204782,28.659210193538755,True,METHOD_DIRECTION_DISAGREEMENT
A10020020,부산에코델타시티 디에트르 더 퍼스트아파트,84.39039735099338,C,,,,,,,,,,True,RECENT_PRICE_MISSING
A10020264,에코델타 더 베르힐 아파트,84.39039735099338,C,,,,,,,,,,True,RECENT_PRICE_MISSING
A10020378,에코델타시티 푸르지오린,84.39039735099338,C,,,,,,,,,,True,RECENT_PRICE_MISSING
A10020569,에코델타시티 푸르지오 센터파크,84.39039735099338,C,,,,,,,,,,True,RECENT_PRICE_MISSING
A10020645,강서자이에코델타,84.39039735099338,C,532000000.0,480804980.463652,556328121.2919673,15.707645281770265,17.804426184007895,-2.0967809022376294,17.0,5.059872979790491,-9.253434784265746,True,METHOD_DIRECTION_DISAGREEMENT
A10020649,e편한세상 에코델타 센터포인트,84.39039735099338,C,,,,,,,,,,True,RECENT_PRICE_MISSING
A10022541,에코델타스마트시티수자인,84.39039735099338,C,749000000.0,675658905.4275539,781789009.6068056,15.707645281770244,10.854751411296238,4.852893870474006,0.0,4.852893870474006,,True,INSUFFICIENT_COMPARABLES
A10022696,에코델타호반써밋스마트시티,84.39039735099338,C,629000000.0,491068781.49505675,568204123.7818117,15.707645281770265,37.18040197413607,-21.472756692365802,21.0,-12.380317892148529,-30.565195492583076,False,OK
A10023417,더샵동래,83.8975165562914,B,715000000.0,692452421.4056482,799546806.9033492,15.465955809686394,7.6991185491878,7.766837260498594,8.0,12.209764063171713,3.323910457825475,False,OK
A10024005,동래3차SKVIEW,83.8975165562914,B,504000000.0,620403875.5962573,716355264.8375549,15.465955809686193,-17.488289414233588,32.954245223919784,8.0,34.22855226903035,31.67993817880921,False,OK
A60783306,벽산아스타,83.8975165562914,B,544000000.0,609771546.9532702,704078544.9451027,15.465955809686172,-20.176719731181016,35.64267554086719,8.0,26.25221621850623,45.03313486322814,False,OK
A10022002,래미안포레스티지3단지,83.79271523178808,B,946500000.0,815583756.8488723,941302979.0387876,15.414630457532642,33.533343061596476,-18.118712604063834,8.0,-0.6372148681935457,-35.60021033993412,False,OK
A10026780,래미안장전,83.79271523178808,B,766000000.0,545731818.9563904,629854362.137689,15.414630457532642,40.36198245959548,-24.94735200206284,0.0,-24.94735200206284,,True,INSUFFICIENT_COMPARABLES
A10020870,양정자이더샵SKVIEW아파트(2단지),83.05761589403974,B,717000000.0,568360607.1624187,653928796.5688012,15.055263916615868,43.994637328304705,-28.939373411688837,7.0,-11.097039913812168,-46.781706909565514,False,OK
A61479902,대원칸타빌멤버스,83.05761589403974,B,445000000.0,513943961.2503813,591319581.0001361,15.055263916615868,8.48865597160033,6.566607945015537,27.0,28.469948483129038,-15.33673259309796,True,METHOD_DIRECTION_DISAGREEMENT
A61274011,경남마리나,82.99199779249447,B,800000000.0,440440540.79686666,506608979.319363,15.0232397777873,49.69924420404773,-34.676004426260434,18.0,-66.61308247188589,-2.7389263806349753,False,OK
A61274114,경동,82.99199779249447,B,725000000.0,611860012.6796538,703781209.4889178,15.023239777787278,-1.6662634502615123,16.689503228048792,5.0,-3.467915874769133,36.84692233086672,True,METHOD_DIRECTION_DISAGREEMENT
A61278912,대우마리나3,82.99199779249447,B,946000000.0,596081686.703327,685632467.7682464,15.023239777787257,49.12306726971538,-34.099827491928124,7.0,-43.67984087411496,-24.519814109741287,False,OK
A61282215,대우마리나1,82.99199779249447,B,1130000000.0,576922042.1448498,663594423.8671775,15.023239777787278,64.06629322630118,-49.0430534485139,7.0,-80.84377819901714,-17.242328698010677,False,OK
A10026391,더블유,82.85033112582782,B,1935000000.0,900091389.6306908,1034692239.0053595,14.954131427687113,190.4552367504565,-175.50110532276938,8.0,-100.02403882166215,-250.9781718238766,True,EXTREME_GAP
A61203016,동신,82.6453642384106,B,326250000.0,274928878.17837155,315767410.9504752,14.854217222538546,5.992946161769458,8.861271060769088,15.0,-3.812836657604146,21.53537877914232,True,METHOD_DIRECTION_DISAGREEMENT
A61203020,건영1,82.6453642384106,B,507500000.0,428952237.26705533,492669734.3716431,14.854217222538658,9.139728751721991,5.714488470816667,27.0,-3.4573232961421425,14.886300237775474,True,METHOD_DIRECTION_DISAGREEMENT
A61203022,롯데3차,82.6453642384106,B,392500000.0,308299957.8481046,354095503.2838571,14.854217222538635,19.024207667923243,-4.169990445384608,15.0,-12.456860839100182,4.116879948330965,True,METHOD_DIRECTION_DISAGREEMENT
A61203023,롯데4,82.6453642384106,B,349000000.0,326762562.3477592,375300583.16082865,14.854217222538658,1.0725162303972136,13.781700992141445,16.0,8.048836124879589,19.514565859403298,False,OK
A61203029,건영2,82.6453642384106,B,567500000.0,425724497.768072,488962539.43610275,14.85421722253857,22.364689881760704,-7.510472659222135,27.0,-18.44795424638288,3.427008927938614,True,METHOD_DIRECTION_DISAGREEMENT
A10022568,해운대경동리인뷰2차,81.58217439293598,B,950000000.0,1098530933.2594512,1256031060.4041102,14.337341114040413,-7.78035597778114,22.117697091821555,5.0,27.858210555444764,16.377183628198342,False,OK
A10023542,해운대센트럴푸르지오,81.58217439293598,B,970000000.0,1098688560.1835098,1256211286.8379588,14.337341114040413,-4.81530292163026,19.152644035670672,5.0,26.050265490172574,12.255022581168772,False,OK
A10024591,롯데캐슬스타,81.58217439293598,B,1170000000.0,853525377.8722564,975898222.792705,14.337341114040502,42.11011636614565,-27.772775252105145,21.0,-22.741184063111188,-32.804366441099106,False,OK
A10025181,엘시티,81.58217439293598,B,3080000000.0,1514475517.6797569,1731611038.738133,14.337341114040413,103.37073554801965,-89.03339443397924,0.0,-89.03339443397924,,True,EXTREME_GAP
A61201007,롯데캐슬마린,81.58217439293598,B,771000000.0,594586070.0228308,679833903.0985713,14.337341114040413,21.824052508392988,-7.486711394352575,33.0,-15.332699754961986,0.3592769662568376,True,METHOD_DIRECTION_DISAGREEMENT
A10022890,레이카운티(5단지),80.79547461368652,B,894500000.0,844290131.1557014,962122472.3716257,13.956380261679735,26.403999761253626,-12.447619499573891,9.0,8.009387990720796,-32.90462698986858,True,METHOD_DIRECTION_DISAGREEMENT
A10025258,아시아드코오롱하늘채,80.79547461368652,B,890000000.0,699359721.5947576,796965023.7375481,13.956380261679936,26.839197660454584,-12.882817398774648,9.0,-13.302878817542329,-12.462755980006968,False,OK
A10027341,사직KCC스위첸1단지,80.76136865342164,B,580000000.0,473967967.4691421,540038595.5768828,13.939893124115454,11.317928536716682,2.6219645873987716,5.0,-8.431245815302681,13.675174990100224,True,METHOD_DIRECTION_DISAGREEMENT
A60712001,사직2차삼정그린코아,80.76136865342164,B,405000000.0,493721692.9179894,562545969.2413306,13.939893124115454,-34.152734891272154,48.092628015387604,8.0,31.909873821869937,64.27538220890528,False,OK
A60712204,한신,80.76136865342164,B,205000000.0,331163211.4753878,377327009.22144544,13.9398931241155,-50.74706693763329,64.68696006174879,8.0,52.03688189086573,77.33703823263187,True,EXTREME_GAP
A60776402,사직2차쌍용예가,80.76136865342164,B,510000000.0,441383037.6743687,502911361.39414996,13.939893124115454,-7.756037555361284,21.69593067947674,5.0,-1.6060061218482478,44.99786748080172,True,METHOD_DIRECTION_DISAGREEMENT
A60782005,삼정그린코아,80.76136865342164,B,215000000.0,256770246.80021667,292563744.7786944,13.939893124115477,-37.58307751000926,51.52297063412474,8.0,30.207450335569398,72.83849093268007,True,EXTREME_GAP
A61180503,유림아시아드,79.81103752759383,B,320000000.0,509946212.3865785,578694367.4294099,13.481452234165236,-46.97728171109323,60.45873394525846,9.0,50.7297360281793,70.18773186233761,True,EXTREME_GAP
A10025687,명륜자이,78.46087196467991,B,755000000.0,468323976.33097446,528425401.1006381,12.83330083599834,61.21318534979843,-48.37988451380009,0.0,-48.37988451380009,,True,INSUFFICIENT_COMPARABLES
A60701003,동래센트럴파크하이츠2차,78.46087196467991,B,660000000.0,576595891.0585746,650592176.3661268,12.833300835998362,12.067286990680437,0.766013845317925,21.0,-1.6316147547637456,3.163642445399594,True,METHOD_DIRECTION_DISAGREEMENT
A60701004,명륜아이파크1단지,78.46087196467991,B,815000000.0,612135632.5973071,690692839.852861,12.83330083599834,35.372945055962305,-22.539644219963964,25.0,-20.307126971142072,-24.77216146878585,False,OK
A61203017,동부,78.09409492273733,B,491500000.0,361050414.35460365,406751701.4515794,12.657868618893332,17.789956920621893,-5.132088301728562,25.0,-23.472704968338732,13.208528364881612,True,METHOD_DIRECTION_DISAGREEMENT
A61203019,삼성,78.09409492273733,B,460000000.0,310620848.1366727,349938826.99670494,12.657868618893353,35.96490969818588,-23.307041079292524,16.0,-35.4326419696299,-11.18144018895515,False,OK
A61203039,엘지,78.09409492273733,B,380000000.0,341707690.8524799,384960601.421241,12.657868618893332,7.402809985739189,5.2550586331541425,5.0,1.4517090349548187,9.058408231353466,False,OK
A10022847,대연비치,77.64387417218543,B,1042500000.0,579747901.6882911,651885338.8856962,12.442897505507622,89.62275317620467,-77.17985567069705,11.0,-67.37664077382429,-86.98307056756983,True,EXTREME_GAP
A10023607,더샵남천프레스티지,77.64387417218543,B,1200000000.0,1951222246.6845157,2194010830.9441338,12.442897505507666,0.5704137972515255,11.87248370825614,7.0,50.94298369307446,-27.19801627656218,True,METHOD_DIRECTION_DISAGREEMENT
A61381903,뉴비치,77.64387417218543,B,920000000.0,922520437.0909376,1037308709.5455241,12.442897505507645,-0.2732120600910992,12.716109565598744,0.0,12.716109565598744,,True,INSUFFICIENT_COMPARABLES
A10022591,사직하늘채리센티아,77.53211920529802,B,720000000.0,545543671.5565841,613134352.4398491,12.389600394485466,36.04283401844849,-23.653233623963022,8.0,-19.588834612494743,-27.717632635431304,False,OK
A10025463,동래효성해링턴플레이스,77.53211920529802,B,690000000.0,673443858.0284644,756880860.9193984,12.389600394485644,15.506638548798357,-3.117038154312713,5.0,9.931170968756774,-16.1652472773822,True,METHOD_DIRECTION_DISAGREEMENT
A60784207,반도보라스카이뷰,77.53211920529802,B,570000000.0,514479206.5273098,578221124.328763,12.389600394485466,-6.470524438280356,18.860124832765823,8.0,1.5979507479524582,36.12229891757919,False,OK
A10022280,두산위브더제니스센트럴사하,77.03780353200882,B,375000000.0,241800132.04188183,271188904.36010575,12.1541589204482,55.086763945623815,-42.93260502517562,0.0,-42.93260502517562,,True,INSUFFICIENT_COMPARABLES
A60474002,동원로얄듀크,77.03780353200882,B,136500000.0,160163822.1812991,179630387.66227826,12.154158920448221,-14.774761153310001,26.92892007375822,0.0,26.92892007375822,,True,INSUFFICIENT_COMPARABLES
A61202007,해운대두산위브더제니스,76.8108719646799,B,1780000000.0,1371795758.0944734,1537045528.4973593,12.046237162333128,27.716655829166292,-15.670418666833164,18.0,-17.71068834912586,-13.630148984540469,False,OK
A61274013,해운대 I PARK,76.8108719646799,B,1400000000.0,1236692585.1320693,1385667506.9060671,12.046237162333151,9.998231179837635,2.048005982495516,18.0,-1.1589374163185617,5.254949381309593,True,METHOD_DIRECTION_DISAGREEMENT
A60809002,GS하이츠자이,76.70408388520971,B,1055000000.0,682135002.615271,763960424.5549933,11.995487935087311,75.35305171521381,-63.3575637801265,8.0,-42.66597877680749,-84.04914878344552,True,EXTREME_GAP
A60809004,엘지메트로시티4-2(230~238),76.70408388520971,B,527500000.0,514056714.03229606,575720325.1435463,11.99548793508729,14.140571676982695,-2.145083741895405,8.0,9.380351200026693,-13.670518683817502,True,METHOD_DIRECTION_DISAGREEMENT
A10028145,대연롯데캐슬,76.50546357615895,B,832500000.0,574742509.3804772,643143524.2177868,11.901158122276346,28.89732250307335,-16.996164380797005,11.0,-32.946314687306355,-1.0460140742876582,False,OK
A60802001,대연힐스테이트푸르지오,76.50546357615895,B,1045000000.0,679527886.448944,760399574.7001951,11.901158122276323,44.84419256752993,-32.94303444525361,11.0,-41.88208180639372,-24.00398708411349,False,OK
A60874408,부산대연동푸르지오,76.50546357615895,B,700000000.0,471097538.1629239,527163601.08984447,11.901158122276323,10.167494009812598,1.7336641124637246,11.0,-36.68802846734087,40.15535669226832,True,METHOD_DIRECTION_DISAGREEMENT
A61203013,두산2,75.86605960264902,B,465000000.0,307085543.9522197,342701412.0239938,11.598028228028756,35.97149392713084,-24.37346569910208,12.0,-39.82557641822271,-8.921354979981455,False,OK
A61203025,벽산1,75.86605960264902,B,730000000.0,415895521.58803856,464131201.5809266,11.598028228028735,58.182246290696135,-46.584218062667404,27.0,-63.9268240744432,-29.241612050891593,False,OK
A61203026,화목,75.86605960264902,B,455000000.0,297200784.734911,331670215.64238894,11.598028228028735,41.88407735693469,-30.286049128905955,16.0,-41.49712608182223,-19.07497217598968,False,OK
A10023283,금호센트럴베이 행복주택 일광,75.63647902869756,B,,,,,,,,,,True,RECENT_PRICE_MISSING
A10023778,이지더원2차포레온아파트,75.63647902869756,B,,,,,,,,,,True,RECENT_PRICE_MISSING
A10023912,일광한신더휴센트럴포레2단지,75.63647902869756,B,428000000.0,456696431.1698333,509168059.25203925,11.489388683813285,-6.177516831001878,17.666905514815163,5.0,17.77286917791897,17.560941851711355,False,OK
A10024606,일광대성베르힐,75.63647902869756,B,422500000.0,455006242.0828105,507283677.77131695,11.489388683813262,-11.526512252574134,23.015900936387396,5.0,18.633519703645383,27.39828216912941,False,OK
A10022405,드파인센텀,75.30364238410596,B,625000000.0,508213654.8547885,565804808.5941743,11.332075238285611,67.02410193258511,-55.6920266942995,12.0,-11.647697939705992,-99.73635544889301,True,EXTREME_GAP
A10023647,센텀KCC스위첸,75.30364238410596,B,640000000.0,497648793.4658646,554042729.163837,11.332075238285611,51.30857134195911,-39.9764961036735,12.0,-17.272677431309624,-62.68031477603738,False,OK
