apartment_id,apartment_name,gu,legal_dong,existing_reason,local_value_gap_pct,school_value_gap_pct,model_confidence,local_gap_interval_status,dong_bias_flag,final_review_class,model_limitation_flag,model_limitation_detail,unmodeled_premium_candidate,unmodeled_discount_candidate,phase154_audit_priority
A61970210,우신네오빌,기장군,기장읍청강리,EXTREME_GAP;LEGAL_DONG_BIAS;MULTIPLE_LIMITATIONS,42.56154779903216,17.827359987561625,MEDIUM,POTENTIAL_UNDERVALUED_SIGNAL,True,WATCHLIST,MULTIPLE_LIMITATIONS,WIDE_PREDICTION_INTERVAL;LEGAL_DONG_BIAS;EXTREME_RESIDUAL,False,True,HIGH
A60106001,한성기린,동구,범일동,EXTREME_GAP;MULTIPLE_LIMITATIONS,45.74052292676853,26.44650620330039,MEDIUM,POTENTIAL_UNDERVALUED_SIGNAL,False,WATCHLIST,MULTIPLE_LIMITATIONS,WIDE_PREDICTION_INTERVAL;EXTREME_RESIDUAL;LOW_SCHOOL_CONFIDENCE,False,True,HIGH
A60474905,한신혜성,사하구,하단동,EXTREME_GAP;MULTIPLE_LIMITATIONS,40.2361930175899,11.73361349351077,MEDIUM,POTENTIAL_UNDERVALUED_SIGNAL,False,WATCHLIST,MULTIPLE_LIMITATIONS,WIDE_PREDICTION_INTERVAL;EXTREME_RESIDUAL;LOW_SCHOOL_CONFIDENCE,False,True,HIGH
A60481703,구평1차자유,사하구,구평동,EXTREME_GAP;MULTIPLE_LIMITATIONS,42.92722073409669,18.78795965716197,MEDIUM,POTENTIAL_UNDERVALUED_SIGNAL,False,WATCHLIST,MULTIPLE_LIMITATIONS,WIDE_PREDICTION_INTERVAL;EXTREME_RESIDUAL,False,True,HIGH
A61203012,영남,해운대구,좌동,EXTREME_GAP;MULTIPLE_LIMITATIONS,29.798398428235263,12.121017830422543,HIGH,POTENTIAL_UNDERVALUED_SIGNAL,False,WATCHLIST,MULTIPLE_LIMITATIONS,EXTREME_RESIDUAL;LOW_SCHOOL_CONFIDENCE,False,True,HIGH
A61310007,쌍용예가디오션,수영구,광안동,EXTREME_GAP;MULTIPLE_LIMITATIONS,-31.943380553693533,-47.99112137721965,MEDIUM,POTENTIAL_OVERVALUED_SIGNAL,False,FULLY_PRICED_OR_NEGATIVE,MULTIPLE_LIMITATIONS,WIDE_PREDICTION_INTERVAL;EXTREME_RESIDUAL,True,False,HIGH
A61313001,삼성,수영구,망미동,EXTREME_GAP;MULTIPLE_LIMITATIONS,38.17670597976684,21.13988536772774,MEDIUM,POTENTIAL_UNDERVALUED_SIGNAL,False,WATCHLIST,MULTIPLE_LIMITATIONS,WIDE_PREDICTION_INTERVAL;EXTREME_RESIDUAL;LOW_SCHOOL_CONFIDENCE,False,True,HIGH
A61375603,비치-그린아파트,수영구,광안동,EXTREME_GAP;MULTIPLE_LIMITATIONS,38.29047410238247,30.494482823493573,MEDIUM,POTENTIAL_UNDERVALUED_SIGNAL,False,WATCHLIST,MULTIPLE_LIMITATIONS,WIDE_PREDICTION_INTERVAL;EXTREME_RESIDUAL;LOW_SCHOOL_CONFIDENCE,False,True,HIGH
A60475412,다송,사하구,다대동,EXTREME_GAP;STRONG_UNDERVALUED_SIGNAL;EXTREME_RESIDUAL,47.60622517512392,35.34219583986583,HIGH,STRONG_UNDERVALUED_SIGNAL,False,WATCHLIST,EXTREME_RESIDUAL,EXTREME_RESIDUAL,False,True,HIGH
A61180503,유림아시아드,연제구,거제동,EXTREME_GAP;STRONG_UNDERVALUED_SIGNAL;EXTREME_RESIDUAL,57.756957587943326,60.45873394525846,HIGH,STRONG_UNDERVALUED_SIGNAL,False,WATCHLIST,EXTREME_RESIDUAL,EXTREME_RESIDUAL,False,True,HIGH
A61477403,시영(1~5동),부산진구,개금동,EXTREME_GAP;STRONG_UNDERVALUED_SIGNAL;EXTREME_RESIDUAL,56.28588551159979,42.54583634330404,HIGH,STRONG_UNDERVALUED_SIGNAL,False,WATCHLIST,EXTREME_RESIDUAL,EXTREME_RESIDUAL,False,True,HIGH
A61673302,삼한힐파크,북구,화명동,EXTREME_GAP;STRONG_UNDERVALUED_SIGNAL;EXTREME_RESIDUAL,65.95124341669411,43.18334450923915,HIGH,STRONG_UNDERVALUED_SIGNAL,False,WATCHLIST,EXTREME_RESIDUAL,EXTREME_RESIDUAL,False,True,HIGH
A61673305,화명유림,북구,화명동,EXTREME_GAP;STRONG_UNDERVALUED_SIGNAL;EXTREME_RESIDUAL,48.56282152493412,38.862316401059694,HIGH,STRONG_UNDERVALUED_SIGNAL,False,WATCHLIST,EXTREME_RESIDUAL,EXTREME_RESIDUAL,False,True,HIGH
A61402003,서면베르빌2,부산진구,범천동,EXTREME_GAP;STRONG_UNDERVALUED_SIGNAL;MULTIPLE_LIMITATIONS,42.47468095911946,36.371744426976726,MEDIUM,STRONG_UNDERVALUED_SIGNAL,False,WATCHLIST,MULTIPLE_LIMITATIONS,EXTREME_RESIDUAL;LOW_SCHOOL_CONFIDENCE,False,True,HIGH
