definition,apartment_count,market_count,within_log_price_variance,variance_ratio_vs_busan,within_price_mad,mean_market_price_iqr,within_price_change_variance
BUSAN,494,1,0.29179005772348693,1.0,1837064.5731980759,3783850.570833956,0.004985166452260082
GU,494,15,0.19194981819295712,0.6578353618026875,1213215.636670099,2650509.1228597867,0.004058484173604698
LEGAL_DONG,494,92,0.11895992259936955,0.4076901164058893,789327.1376229592,1446492.1065392264,0.003124666471894278
ALGORITHMIC,494,3,0.08266120098170293,0.2832899846780808,863903.2817208825,2151146.191398408,0.0027539400291125876
HYBRID,494,92,0.11895992259936955,0.4076901164058893,789327.1376229592,1446492.1065392264,0.003124666471894278
