window,gap_6m,gap_12m,gap_24m
gap_6m,1.0,0.9714335868583938,0.9671802073437694
gap_12m,0.9714335868583938,1.0,0.9758387193548774
gap_24m,0.9671802073437694,0.9758387193548774,1.0
