E,M,EM_interaction,mean_predicted_log_price,pdp_difference_from_median_log
34.64591611479028,42.65294117647059,0.14777502220490846,15.247398424243443,-0.23165616435103267
34.64591611479028,50.54779411764706,0.17512746347876898,15.291495562197323,-0.18755902639715233
34.64591611479028,57.446078431372555,0.19902720144569971,15.259579057895623,-0.21947553069885234
34.64591611479028,67.82882352941176,0.23499917301649131,15.362775354891022,-0.1162792337034519
34.64591611479028,78.69882352941177,0.2726592838332684,15.431973215787504,-0.04708137280696964
40.872958057395145,42.65294117647059,0.1743351875730425,15.2693691803366,-0.2096854082578748
40.872958057395145,50.54779411764706,0.20660378688644335,15.294014311900252,-0.18504027669422435
40.872958057395145,57.446078431372555,0.23479911542873227,15.327214168032599,-0.15184042056187805
40.872958057395145,67.82882352941176,0.2772364659200104,15.433343806688525,-0.045710781905952826
40.872958057395145,78.69882352941177,0.32166537132839895,15.455419500430628,-0.023635088163849235
57.400938189845476,42.65294117647059,0.24483188400857034,15.329077034833185,-0.1499775537612901
57.400938189845476,50.54779411764706,0.29014908057800937,15.44897603842502,-0.03007855016945308
57.400938189845476,57.446078431372555,0.32974587972882313,15.480790633990479,0.0017360453960020875
57.400938189845476,67.82882352941176,0.3893438106901701,15.565216753281355,0.08616216468688216
57.400938189845476,78.69882352941177,0.45173863050253216,15.621040293281904,0.14198570468742966
67.21309326710818,42.65294117647059,0.2866836113410597,15.425055207799264,-0.053999380795210654
67.21309326710818,50.54779411764706,0.3397473600475994,15.474351943633254,-0.004702644961221341
67.21309326710818,57.446078431372555,0.38611286274374557,15.517134799470096,0.03808021087562035
67.21309326710818,67.82882352941176,0.4558985042080575,15.71745950531638,0.2384049167219062
67.21309326710818,78.69882352941177,0.5289591365894041,15.719280428791372,0.24022584019689724
77.53211920529802,42.65294117647059,0.3306972919750682,15.38864012058044,-0.09041446801403433
77.53211920529802,50.54779411764706,0.39190775990942733,15.408468136387105,-0.07058645220736826
77.53211920529802,57.446078431372555,0.44539162008180766,15.715129290718323,0.23607470212384632
77.53211920529802,67.82882352941176,0.5258912431437476,15.834729079512922,0.3556744909184469
77.53211920529802,78.69882352941177,0.6101686567199065,15.867993888919514,0.3889393003250386
