post_title,data_year,education_office,post_url,attachment_name,attachment_url,attachment_type,downloaded_at,sha256,local_file
2025학년도 중학교 입학 배정 시행계획,2025,bukbu,https://home.pen.go.kr/bukbu/na/ntt/selectNttInfo.do?mi=12915&bbsId=3735&nttSn=880905,2025학년도 중학교 입학배정 시행계획.pdf,https://home.pen.go.kr/upload/bukbu/na/bbs_3735/ntt_880905/doc_15c0v3166-e9ve9-46vf7-93v5d-8af2v58fcv3225_v4514.pdf,pdf,2026-09-06T11:54:09.554223+00:00,a3df3655be782ffabc815ae128b68d301cd2548b9c4e303a767fede73b65d18c,2025학년도 중학교 입학배정 시행계획.pdf
2025학년도 중학교 입학 배정 시행계획,2025,bukbu,https://home.pen.go.kr/bukbu/na/ntt/selectNttInfo.do?mi=12915&bbsId=3735&nttSn=880905,2025학년도 중학교 입학배정 시행요강.pdf,https://home.pen.go.kr/upload/bukbu/na/bbs_3735/ntt_880905/doc_9ee6vf6a4-9cv7e-49vea-94vda-e506v4082vfd56_v6121.pdf,pdf,2026-09-06T11:54:09.554223+00:00,6e0c32b9160cfc26f36330be806c1da0d1a6c5d3e90cfa347516fbe8b85c0496,2025학년도 중학교 입학배정 시행요강.pdf
2025학년도 중학교 입학 배정 시행계획,2025,bukbu,https://home.pen.go.kr/bukbu/na/ntt/selectNttInfo.do?mi=12915&bbsId=3735&nttSn=880905,2025학년도 중학교 입학배정 서식.hwp,https://home.pen.go.kr/upload/bukbu/na/bbs_3735/ntt_880905/doc_ba51vcc8e-8av80-45v3f-94vf8-0286v7793v9afc_v4248.hwp,hwp,2026-09-06T11:54:09.554223+00:00,5f08587a5f6894ffe392143fc794fb993f6c7557583cf018047ab88914b665b1,2025학년도 중학교 입학배정 서식.hwp
