kapt_code,kapt_name,audited_status,in_master,in_rental,in_pending
A61476403,가야벽산아파트,MASTER_INCLUDED,True,False,False
A61479502,가야반도보라빌,MASTER_INCLUDED,True,False,False
A10023409,이진젠시티,MASTER_INCLUDED,True,False,False
A10026363,금강펜테리움 더 스퀘어,MASTER_INCLUDED,True,False,False
A61475512,개금주공2단지,MASTER_INCLUDED,True,False,False
A61477009,개금우드빌,MASTER_INCLUDED,True,False,False
A61477105,개금아이파크,MASTER_INCLUDED,True,False,False
A61477403,개금시영아파트,MASTER_INCLUDED,True,False,False
A61480908,동원화인패밀리타운,MASTER_INCLUDED,True,False,False
A61480910,개금2지구도개공임대아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A61481111,신개금LG아파트,MASTER_INCLUDED,True,False,False
A10025342,e편한세상동래명장,MASTER_INCLUDED,True,False,False
A10026360,동래동일스위트,MASTER_INCLUDED,True,False,False
A10027972,안락경동리인아파트,MASTER_INCLUDED,True,False,False
A60710004,안락뜨란채2단지아파트,MASTER_INCLUDED,True,False,False
A60777205,안락1차SK아파트,MASTER_INCLUDED,True,False,False
A60777206,부산안락4휴먼시아,EXCLUDED_RENTAL_ONLY,False,True,False
A60777604,안락현대아파트,MASTER_INCLUDED,True,False,False
A60778502,강변뜨란채,MASTER_INCLUDED,True,False,False
A60782701,동래화목타운,MASTER_INCLUDED,True,False,False
A10025662,포레나동래아파트,MASTER_INCLUDED,True,False,False
A60775407,동원로얄듀크,MASTER_INCLUDED,True,False,False
A60775605,동래우성아파트,MASTER_INCLUDED,True,False,False
A60776006,동래한양아파트,MASTER_INCLUDED,True,False,False
A60780104,중앙하이츠2차아파트,MASTER_INCLUDED,True,False,False
A60780108,낙민한일유앤아이,MASTER_INCLUDED,True,False,False
A60702002,우성베스토피아아파트,MASTER_INCLUDED,True,False,False
A10023781,힐스테이트 명륜 트라디움,MASTER_INCLUDED,True,False,False
A10025687,명륜자이,MASTER_INCLUDED,True,False,False
A10027690,명륜2차아이파크아파트,MASTER_INCLUDED,True,False,False
A60701003,동래센트럴파크하이츠2단지,MASTER_INCLUDED,True,False,False
A60701004,명륜아이파크,FINAL_PENDING,False,False,True
A10022002,래미안포레스티지,MASTER_INCLUDED,True,False,False
A10023417,더샵 동래,MASTER_INCLUDED,True,False,False
A10023975,동래래미안아이파크아파트,MASTER_INCLUDED,True,False,False
A10024005,동래3차 SK VIEW 아파트,MASTER_INCLUDED,True,False,False
A10025463,동래효성해링턴플레이스,MASTER_INCLUDED,True,False,False
A10026316,동래삼정그린코아포레스트,MASTER_INCLUDED,True,False,False
A60775306,동래럭키아파트,MASTER_INCLUDED,True,False,False
A60783306,벽산 아스타,MASTER_INCLUDED,True,False,False
A60784207,온천동반도보라스카이뷰,MASTER_INCLUDED,True,False,False
A10022591,사직 하늘채 리센티아,MASTER_INCLUDED,True,False,False
A10024982,쌍용 더 플래티넘 사직 아시아드,MASTER_INCLUDED,True,False,False
A10027054,사직롯데캐슬더클래식,MASTER_INCLUDED,True,False,False
A10027341,사직KCC스위첸,MASTER_INCLUDED,True,False,False
A60712001,사직2차삼정그린코아,MASTER_INCLUDED,True,False,False
A60712204,사직한신아파트,MASTER_INCLUDED,True,False,False
A60776402,사직2차쌍용예가,MASTER_INCLUDED,True,False,False
A60778608,사직쌍용예가,MASTER_INCLUDED,True,False,False
A60782005,사직삼정그린코아아파트,MASTER_INCLUDED,True,False,False
A10022847,더비치푸르지오써밋,MASTER_INCLUDED,True,False,False
A10022999,대연푸르지오클라센트,MASTER_INCLUDED,True,False,False
A10025593,대연자이 아파트,MASTER_INCLUDED,True,False,False
A10026094,대연sk뷰힐스아파트,MASTER_INCLUDED,True,False,False
A10026184,대연파크푸르지오아파트,MASTER_INCLUDED,True,False,False
A10026452,대연롯데캐슬레전드,MASTER_INCLUDED,True,False,False
A10028145,대연롯데캐슬,MASTER_INCLUDED,True,False,False
A60802001,대연힐스테이트푸르지오,MASTER_INCLUDED,True,False,False
A60874408,대연동푸르지오,MASTER_INCLUDED,True,False,False
A60875509,대우그린아파트,MASTER_INCLUDED,True,False,False
A60877710,삼익그린타운,MASTER_INCLUDED,True,False,False
A60877907,대연청구아파트,MASTER_INCLUDED,True,False,False
A10023436,데시앙해링턴플레이스파크시티,MASTER_INCLUDED,True,False,False
A10026391,W 아파트,MASTER_INCLUDED,True,False,False
A60809002,GS하이츠자이,MASTER_INCLUDED,True,False,False
A60809003,오륙도SK VIEW,MASTER_INCLUDED,True,False,False
A60809004,LG메트로시티아파트,FINAL_PENDING,False,False,True
A60876301,용호일신프리빌리지,MASTER_INCLUDED,True,False,False
A60876402,현대비치아파트,MASTER_INCLUDED,True,False,False
A60883203,일신-님Ⅱ아파트,MASTER_INCLUDED,True,False,False
A61202008,쌍용예가,MASTER_INCLUDED,True,False,False
A60871104,용당현대I-PARK,MASTER_INCLUDED,True,False,False
A60883003,신대연코오롱하늘채아파트,MASTER_INCLUDED,True,False,False
A10020004,롯데캐슬 인피니엘,MASTER_INCLUDED,True,False,False
A10023533,오션파라곤,MASTER_INCLUDED,True,False,False
A10023872,대연양우내안애 아파트,MASTER_INCLUDED,True,False,False
A10024704,문현경동리인,MASTER_INCLUDED,True,False,False
A10025508,문현베스티움아파트,MASTER_INCLUDED,True,False,False
A60804003,문현동삼성아파트,MASTER_INCLUDED,True,False,False
A60872101,대림문현시티프라자,MASTER_INCLUDED,True,False,False
A60879704,문현현대아파트,MASTER_INCLUDED,True,False,False
A10020289,두산위브더제니스 오션시티 ,MASTER_INCLUDED,True,False,False
A60877107,우암일신보라,MASTER_INCLUDED,True,False,False
A60875305,감만현대1차아파트,MASTER_INCLUDED,True,False,False
A60880104,감만동일스위트아파트,MASTER_INCLUDED,True,False,False
A10027989,신화명리버뷰자이아파트,MASTER_INCLUDED,True,False,False
A10028138,동원역삼정그린코아,MASTER_INCLUDED,True,False,False
A61673902,율리벽산블루밍,FINAL_PENDING,False,False,True
A61674824,부산율리마을,EXCLUDED_RENTAL_ONLY,False,True,False
A61674912,화명뜨란채,MASTER_INCLUDED,True,False,False
A61676006,금곡한솔아파트,MASTER_INCLUDED,True,False,False
A61676118,금곡주공1단지,EXCLUDED_RENTAL_ONLY,False,True,False
A61676215,금곡주공2단지,EXCLUDED_RENTAL_ONLY,False,True,False
A61676316,금곡주공3단지아파트,MASTER_INCLUDED,True,False,False
A61676422,금곡주공4단지,EXCLUDED_RENTAL_ONLY,False,True,False
A61676509,금곡주공5단지아파트,MASTER_INCLUDED,True,False,False
A61676605,금곡주공6단지아파트,MASTER_INCLUDED,True,False,False
A61676723,금곡주공7단지,EXCLUDED_RENTAL_ONLY,False,True,False
A61676814,금곡9단지주공,MASTER_INCLUDED,True,False,False
A61677013,화명한일유앤아이,MASTER_INCLUDED,True,False,False
A61681107,금곡화목타운,MASTER_INCLUDED,True,False,False
A61681108,금곡조성협진아파트,MASTER_INCLUDED,True,False,False
A61684110,화명리버빌2차아파트,MASTER_INCLUDED,True,False,False
A10024341,화명푸르지오헤리센트,MASTER_INCLUDED,True,False,False
A10027790,e편한세상 화명힐스 아파트,MASTER_INCLUDED,True,False,False
A61612010,화명2차현대아파트,MASTER_INCLUDED,True,False,False
A61612011,화명대우이안아파트,MASTER_INCLUDED,True,False,False
A61612013,화명코오롱하늘채1차아파트,MASTER_INCLUDED,True,False,False
A61612016,화명수정강변타운,MASTER_INCLUDED,True,False,False
A61612017,대림쌍용강변타운,MASTER_INCLUDED,True,False,False
A61612018,화명롯데낙천대,MASTER_INCLUDED,True,False,False
A61612019,화명대림타운,MASTER_INCLUDED,True,False,False
