kapt_code,kapt_name,kapt_households,master_households,difference,audit_result,detailed_cause
A61682303,덕천주공1단지아파트,1320,1320,0,PASS,K-apt 총세대수와 100% exact 일치
A10024201,리버파크반도유보라,790,790,0,PASS,K-apt 총세대수와 100% exact 일치
A61609002,동원로얄듀크비스타,1079,1079,0,PASS,K-apt 총세대수와 100% exact 일치
A61609206,구포유림노르웨이숲,1176,1176,0,PASS,K-apt 총세대수와 100% exact 일치
A61680705,구포삼정그린코아아파트,668,668,0,PASS,K-apt 총세대수와 100% exact 일치
A61680707,구포현대아파트,1741,1741,0,PASS,K-apt 총세대수와 100% exact 일치
A61273306,벽산삼협한솔,764,764,0,PASS,K-apt 총세대수와 100% exact 일치
A61273507,반송삼한2차,848,848,0,PASS,K-apt 총세대수와 100% exact 일치
A61280805,삼한그린타운1차아파트,560,560,0,PASS,K-apt 총세대수와 100% exact 일치
A10022405,드파인센텀아파트,0,750,750,PASS,K-apt 신축 세대수 미등재 단지 공식 공급세대수 반영
A10023647,센텀KCC스위첸아파트,638,638,0,PASS,K-apt 총세대수와 100% exact 일치
A10024249,센텀트루엘 아파트,531,531,0,PASS,K-apt 총세대수와 100% exact 일치
A61206110,센텀롯데캐슬3차,517,517,0,PASS,K-apt 총세대수와 100% exact 일치
A61206113,우방신세계타운아파트,998,998,0,PASS,K-apt 총세대수와 100% exact 일치
A61206114,센텀롯데캐슬2차,1165,1165,0,PASS,K-apt 총세대수와 100% exact 일치
A61206118,메가센텀꿈에그린아파트,1564,1564,0,PASS,K-apt 총세대수와 100% exact 일치
A61270515,센텀롯데캐슬,1198,1198,0,PASS,K-apt 총세대수와 100% exact 일치
A61271919,아시아선수촌아파트,2290,2290,0,PASS,K-apt 총세대수와 100% exact 일치
A61272011,반여현대그린아파트,600,600,0,PASS,K-apt 총세대수와 100% exact 일치
A61279802,일동미라주,564,564,0,PASS,K-apt 총세대수와 100% exact 일치
A61279804,센텀SK뷰,1374,1374,0,PASS,K-apt 총세대수와 100% exact 일치
A61281117,센텀대림,1500,1500,0,PASS,K-apt 총세대수와 100% exact 일치
A61205002,센텀동부센트레빌아파트,703,703,0,PASS,K-apt 총세대수와 100% exact 일치
A61205003,더샵센텀스타,629,629,0,PASS,K-apt 총세대수와 100% exact 일치
A61271204,더샵센텀파크1차,2752,2752,0,PASS,K-apt 총세대수와 100% exact 일치
A61271302,더샵센텀파크2차,998,998,0,PASS,K-apt 총세대수와 100% exact 일치
A61274815,센텀(재송)삼익,936,936,0,PASS,K-apt 총세대수와 100% exact 일치
A61278214,센텀우신골든빌,846,846,0,PASS,K-apt 총세대수와 100% exact 일치
A61281512,센텀피오레1차,774,774,0,PASS,K-apt 총세대수와 100% exact 일치
A61283211,재송그린,560,560,0,PASS,K-apt 총세대수와 100% exact 일치
A61283410,센텀동국아파트,536,536,0,PASS,K-apt 총세대수와 100% exact 일치
A61286403,센텀이편한세상,1190,1190,0,PASS,K-apt 총세대수와 100% exact 일치
A10022568,해운대 경동리인뷰2차,632,632,0,PASS,K-apt 총세대수와 100% exact 일치
A10023542,해운대센트럴푸르지오,548,548,0,PASS,K-apt 총세대수와 100% exact 일치
A10025214,해운대비스타동원,504,504,0,PASS,K-apt 총세대수와 100% exact 일치
A10026484,해운대 자이2차,813,743,-70,WARNING,일반 분양단지 세대수 차이
A61202004,트럼프월드센텀,564,564,0,PASS,K-apt 총세대수와 100% exact 일치
A61202007,해운대두산위브더제니스,1788,1788,0,PASS,K-apt 총세대수와 100% exact 일치
A61202011,해운대센텀두산위브,581,531,-50,WARNING,일반 분양단지 세대수 차이
A61271101,센텀삼환아파트,926,926,0,PASS,K-apt 총세대수와 100% exact 일치
A61274011,경남마리나아파트,624,624,0,PASS,K-apt 총세대수와 100% exact 일치
A61274013,해운대아이파크,1631,1631,0,PASS,K-apt 총세대수와 100% exact 일치
A61274114,경동마리나아파트,892,892,0,PASS,K-apt 총세대수와 100% exact 일치
A61274213,해운대롯데아파트,852,852,0,PASS,K-apt 총세대수와 100% exact 일치
A61274508,동부올림픽아파트,1680,1680,0,PASS,K-apt 총세대수와 100% exact 일치
A61274707,삼호가든아파트,1076,1076,0,PASS,K-apt 총세대수와 100% exact 일치
A61278912,대우마리나3차아파트,750,750,0,PASS,K-apt 총세대수와 100% exact 일치
A61282215,"대우마리나1,2차아파트",1164,1164,0,PASS,K-apt 총세대수와 100% exact 일치
A61282705,센텀센시빌구새한센시빌,800,800,0,PASS,K-apt 총세대수와 100% exact 일치
A61286810,해운대반도보라빌,548,548,0,PASS,K-apt 총세대수와 100% exact 일치
A10024591,해운대 롯데캐슬 스타 아파트,828,828,0,PASS,K-apt 총세대수와 100% exact 일치
A10025181,해운대 LCT 더샵아파트,882,882,0,PASS,K-apt 총세대수와 100% exact 일치
A10028037,해운대힐스테이트위브,2369,2369,0,PASS,K-apt 총세대수와 100% exact 일치
A61201007,롯데캐슬마린,792,792,0,PASS,K-apt 총세대수와 100% exact 일치
A61288603,래미안해운대,747,681,-66,WARNING,일반 분양단지 세대수 차이
A61203012,해운대영남아파트,512,512,0,PASS,K-apt 총세대수와 100% exact 일치
A61203013,두산2차아파트,632,632,0,PASS,K-apt 총세대수와 100% exact 일치
A61203014,경남아너스빌,655,655,0,PASS,K-apt 총세대수와 100% exact 일치
A61203015,해운대한일아파트,662,662,0,PASS,K-apt 총세대수와 100% exact 일치
A61203016,해운대동신아파트,676,676,0,PASS,K-apt 총세대수와 100% exact 일치
A61203017,해운대동부아파트,679,679,0,PASS,K-apt 총세대수와 100% exact 일치
A61203018,해운대대림2차아파트,682,682,0,PASS,K-apt 총세대수와 100% exact 일치
A61203019,해운대삼성아파트,728,728,0,PASS,K-apt 총세대수와 100% exact 일치
A61203020,해운대LIG건영아파트,788,788,0,PASS,K-apt 총세대수와 100% exact 일치
A61203021,해운대센트럴파크아파트,799,799,0,PASS,K-apt 총세대수와 100% exact 일치
A61203022,해운대롯데3차아파트,824,824,0,PASS,K-apt 총세대수와 100% exact 일치
A61203023,해운대롯데4차아파트,842,842,0,PASS,K-apt 총세대수와 100% exact 일치
A61203024,대우1차아파트,852,852,0,PASS,K-apt 총세대수와 100% exact 일치
A61203025,해운대벽산1차아파트,880,880,0,PASS,K-apt 총세대수와 100% exact 일치
A61203026,해운대 화목타운,896,896,0,PASS,K-apt 총세대수와 100% exact 일치
A61203027,LH뜨란채아파트,928,928,0,PASS,K-apt 총세대수와 100% exact 일치
A61203028,코오롱아파트,928,928,0,PASS,K-apt 총세대수와 100% exact 일치
A61203029,해운대건영2차아파트,938,938,0,PASS,K-apt 총세대수와 100% exact 일치
A61203031,해운대상록아파트,1000,1000,0,PASS,K-apt 총세대수와 100% exact 일치
A61203032,해운대대우2차아파트,1002,1002,0,PASS,K-apt 총세대수와 100% exact 일치
A61203033,해운대벽산2차아파트,1070,1070,0,PASS,K-apt 총세대수와 100% exact 일치
A61203034,해운대대동타운아파트,1240,1240,0,PASS,K-apt 총세대수와 100% exact 일치
A61203035,경남선경아파트,1358,1358,0,PASS,K-apt 총세대수와 100% exact 일치
A61203036,두산1차,1422,1422,0,PASS,K-apt 총세대수와 100% exact 일치
A61203037,대림1차아파트,1424,1424,0,PASS,K-apt 총세대수와 100% exact 일치
A61203038,SKVIEW아파트,1721,1721,0,PASS,K-apt 총세대수와 100% exact 일치
A61203039,해운대LG아파트,1848,1848,0,PASS,K-apt 총세대수와 100% exact 일치
A61275302,해운대현대,957,957,0,PASS,K-apt 총세대수와 100% exact 일치
A10023440,힐스테이트사하역 아파트,1314,1314,0,PASS,K-apt 총세대수와 100% exact 일치
A10023969,사하한신더휴아파트,835,835,0,PASS,K-apt 총세대수와 100% exact 일치
A10024383,사하역비스타동원,513,513,0,PASS,K-apt 총세대수와 100% exact 일치
A60471810,당리푸르지오,542,494,-48,WARNING,일반 분양단지 세대수 차이
A60402003,하단 SK VIEW 아파트,1828,1828,0,PASS,K-apt 총세대수와 100% exact 일치
A60474905,한신혜성아파트,533,533,0,PASS,K-apt 총세대수와 100% exact 일치
A60476101,가락타운1단지아파트,1746,1746,0,PASS,K-apt 총세대수와 100% exact 일치
A60476206,가락타운2.3단지아파트,2980,2980,0,PASS,K-apt 총세대수와 100% exact 일치
A10023928,사하코오롱하늘채아파트,969,969,0,PASS,K-apt 총세대수와 100% exact 일치
