kapt_code,area_group_id,verified_at,valid_from,valid_to,valid_date_format,copied_suspicion
A60680909,exclusive_146_99,2026-09-18,nan,nan,True,False
A60680912,exclusive_46_27,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_81,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_85,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_86,2026-09-18,nan,nan,True,False
A61479902,exclusive_84_85_38평A,2026-09-18,nan,nan,True,False
A61479902,exclusive_110_93,2026-09-18,nan,nan,True,False
A61479902,exclusive_109_54,2026-09-18,nan,nan,True,False
A61479902,exclusive_118_61,2026-09-18,nan,nan,True,False
A61479902,exclusive_130_34,2026-09-18,nan,nan,True,False
A61404006,exclusive_59_72,2026-09-18,nan,nan,True,False
A61404006,exclusive_59_84,2026-09-18,nan,nan,True,False
A61404006,exclusive_84_98,2026-09-18,nan,nan,True,False
A61404006,exclusive_124_09,2026-09-18,nan,nan,True,False
A61404007,exclusive_25_97,2026-09-18,nan,nan,True,False
A61404007,exclusive_33_74,2026-09-18,nan,nan,True,False
A61404007,exclusive_52_76,2026-09-18,nan,nan,True,False
A61404007,exclusive_59_94,2026-09-18,nan,nan,True,False
A61404007,exclusive_72_21,2026-09-18,nan,nan,True,False
A61404007,exclusive_84_81,2026-09-18,nan,nan,True,False
A61404007,exclusive_102_55,2026-09-18,nan,nan,True,False
A61404007,exclusive_113_03,2026-09-18,nan,nan,True,False
A61404007,exclusive_141_19,2026-09-18,nan,nan,True,False
A61477302,exclusive_28_8,2026-09-18,nan,nan,True,False
A61477302,exclusive_30_49,2026-09-18,nan,nan,True,False
A61477302,exclusive_33_74,2026-09-18,nan,nan,True,False
A61477302,exclusive_38_53,2026-09-18,nan,nan,True,False
A61477302,exclusive_39_82,2026-09-18,nan,nan,True,False
A61477302,exclusive_41_76,2026-09-18,nan,nan,True,False
A61477302,exclusive_44_64,2026-09-18,nan,nan,True,False
A61477302,exclusive_45_15,2026-09-18,nan,nan,True,False
A61477302,exclusive_46_33,2026-09-18,nan,nan,True,False
A61477302,exclusive_60_99,2026-09-18,nan,nan,True,False
A61477302,exclusive_64_23,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_98,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_76,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_86,2026-09-18,nan,nan,True,False
A61486301,exclusive_84_97,2026-09-18,nan,nan,True,False
A61486301,exclusive_126_72,2026-09-18,nan,nan,True,False
A61486301,exclusive_128_91,2026-09-18,nan,nan,True,False
A61473002,exclusive_59_9,2026-09-18,nan,nan,True,False
A61473002,exclusive_71_02,2026-09-18,nan,nan,True,False
A61473002,exclusive_78_76,2026-09-18,nan,nan,True,False
A61473002,exclusive_84_64,2026-09-18,nan,nan,True,False
A61473002,exclusive_122_84,2026-09-18,nan,nan,True,False
A10023750,exclusive_59_99,2026-09-18,nan,nan,True,False
A10023750,exclusive_69_99,2026-09-18,nan,nan,True,False
A10023750,exclusive_84_96,2026-09-18,nan,nan,True,False
A10023750,exclusive_84_99,2026-09-18,nan,nan,True,False
A10027052,exclusive_30_14,2026-09-18,nan,nan,True,False
A10027052,exclusive_59_89,2026-09-18,nan,nan,True,False
A10027052,exclusive_59_8,2026-09-18,nan,nan,True,False
A10027052,exclusive_59_79,2026-09-18,nan,nan,True,False
A10027052,exclusive_62_76,2026-09-18,nan,nan,True,False
A10027052,exclusive_74_7,2026-09-18,nan,nan,True,False
A61476002,exclusive_59_94,2026-09-18,nan,nan,True,False
A61476002,exclusive_84_93,2026-09-18,nan,nan,True,False
A61476002,exclusive_119,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_87,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_98,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_78,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_91,2026-09-18,nan,nan,True,False
A61483202,exclusive_84_65,2026-09-18,nan,nan,True,False
A61483202,exclusive_117_02,2026-09-18,nan,nan,True,False
A61483202,exclusive_119_73,2026-09-18,nan,nan,True,False
A61483202,exclusive_118_02,2026-09-18,nan,nan,True,False
A61483202,exclusive_141_4,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_99,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_97,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_99_35평C,2026-09-18,nan,nan,True,False
A10025540,exclusive_84_97_35평A,2026-09-18,nan,nan,True,False
A61478807,exclusive_39_34,2026-09-18,nan,nan,True,False
A61478807,exclusive_59_72,2026-09-18,nan,nan,True,False
A61478807,exclusive_84_88,2026-09-18,nan,nan,True,False
A61478807,exclusive_134_85,2026-09-18,nan,nan,True,False
A61485906,exclusive_59_89,2026-09-18,nan,nan,True,False
A61485906,exclusive_76_56,2026-09-18,nan,nan,True,False
A61485906,exclusive_84_72,2026-09-18,nan,nan,True,False
A61486005,exclusive_59_96,2026-09-18,nan,nan,True,False
A61486005,exclusive_59_96_24평B,2026-09-18,nan,nan,True,False
A61486005,exclusive_84_98,2026-09-18,nan,nan,True,False
A61486005,exclusive_84_87,2026-09-18,nan,nan,True,False
A61486005,exclusive_84_98_34평A1,2026-09-18,nan,nan,True,False
A61486005,exclusive_84_89,2026-09-18,nan,nan,True,False
A61486005,exclusive_121_84,2026-09-18,nan,nan,True,False
A61486008,exclusive_59_91,2026-09-18,nan,nan,True,False
A61486008,exclusive_84_98,2026-09-18,nan,nan,True,False
A61486008,exclusive_134_93,2026-09-18,nan,nan,True,False
A10020721,exclusive_59_94,2026-09-18,nan,nan,True,False
A10020721,exclusive_59_95,2026-09-18,nan,nan,True,False
A10020721,exclusive_59_94_23평C,2026-09-18,nan,nan,True,False
A10020721,exclusive_65_09,2026-09-18,nan,nan,True,False
A10020721,exclusive_65_09_25평B,2026-09-18,nan,nan,True,False
A10020721,exclusive_84_98,2026-09-18,nan,nan,True,False
A10020721,exclusive_84_9,2026-09-18,nan,nan,True,False
A10020721,exclusive_84_98_33평C,2026-09-18,nan,nan,True,False
A10026861,exclusive_39_86,2026-09-18,nan,nan,True,False
A10026861,exclusive_67_88,2026-09-18,nan,nan,True,False
A10026861,exclusive_79_93,2026-09-18,nan,nan,True,False
A10026861,exclusive_79_78,2026-09-18,nan,nan,True,False
A10026861,exclusive_84_97,2026-09-18,nan,nan,True,False
A10026861,exclusive_110_82,2026-09-18,nan,nan,True,False
A10028147,exclusive_67_8,2026-09-18,nan,nan,True,False
A10028147,exclusive_67_8_26평D,2026-09-18,nan,nan,True,False
A10028147,exclusive_67_96,2026-09-18,nan,nan,True,False
A10028147,exclusive_68_61,2026-09-18,nan,nan,True,False
A10028147,exclusive_67_95,2026-09-18,nan,nan,True,False
A10028147,exclusive_79_42,2026-09-18,nan,nan,True,False
A10028147,exclusive_79_27,2026-09-18,nan,nan,True,False
A10028147,exclusive_79_7,2026-09-18,nan,nan,True,False
A10028147,exclusive_84_99,2026-09-18,nan,nan,True,False
A10028147,exclusive_84_99_33평A,2026-09-18,nan,nan,True,False
A10028147,exclusive_100_86,2026-09-18,nan,nan,True,False
A10028147,exclusive_110_34,2026-09-18,nan,nan,True,False
A61409002,exclusive_84_83,2026-09-18,nan,nan,True,False
A61409002,exclusive_84_98,2026-09-18,nan,nan,True,False
A61409002,exclusive_84_9,2026-09-18,nan,nan,True,False
A61409002,exclusive_107_63,2026-09-18,nan,nan,True,False
A61409002,exclusive_125_98,2026-09-18,nan,nan,True,False
A61409005,exclusive_70_3,2026-09-18,nan,nan,True,False
A61409005,exclusive_70_3_29평A,2026-09-18,nan,nan,True,False
A61409005,exclusive_84_92,2026-09-18,nan,nan,True,False
A61409005,exclusive_84_92_35평B,2026-09-18,nan,nan,True,False
A61409005,exclusive_100_71,2026-09-18,nan,nan,True,False
A61409005,exclusive_105_29,2026-09-18,nan,nan,True,False
A61409005,exclusive_118_11,2026-09-18,nan,nan,True,False
A61409005,exclusive_115_73,2026-09-18,nan,nan,True,False
A61409005,exclusive_118_11_46평B,2026-09-18,nan,nan,True,False
A61409005,exclusive_129_77,2026-09-18,nan,nan,True,False
A61409005,exclusive_129_77_49평B,2026-09-18,nan,nan,True,False
A61409005,exclusive_138_59,2026-09-18,nan,nan,True,False
A61409005,exclusive_138_59_52평B,2026-09-18,nan,nan,True,False
A61409302,exclusive_51_63,2026-09-18,nan,nan,True,False
A61409302,exclusive_59_98,2026-09-18,nan,nan,True,False
A61409302,exclusive_59_98_24평B,2026-09-18,nan,nan,True,False
A61409302,exclusive_59_99,2026-09-18,nan,nan,True,False
A61409302,exclusive_84_96,2026-09-18,nan,nan,True,False
A61409302,exclusive_84_8,2026-09-18,nan,nan,True,False
A61479403,exclusive_94_41,2026-09-18,nan,nan,True,False
A61479403,exclusive_95_04,2026-09-18,nan,nan,True,False
A61479403,exclusive_116_84,2026-09-18,nan,nan,True,False
A61484004,exclusive_84_41,2026-09-18,nan,nan,True,False
A61484004,exclusive_84_78,2026-09-18,nan,nan,True,False
A61484004,exclusive_84_9,2026-09-18,nan,nan,True,False
A61484004,exclusive_125_85,2026-09-18,nan,nan,True,False
A61484004,exclusive_147_24,2026-09-18,nan,nan,True,False
A61484004,exclusive_148_35,2026-09-18,nan,nan,True,False
A61484004,exclusive_149_47,2026-09-18,nan,nan,True,False
A61484004,exclusive_158_95,2026-09-18,nan,nan,True,False
A61484004,exclusive_164_29,2026-09-18,nan,nan,True,False
A61484004,exclusive_174_19,2026-09-18,nan,nan,True,False
A61484005,exclusive_59_8,2026-09-18,nan,nan,True,False
A61484005,exclusive_59_8_24평B,2026-09-18,nan,nan,True,False
A61484005,exclusive_84_76,2026-09-18,nan,nan,True,False
A61484005,exclusive_134_67,2026-09-18,nan,nan,True,False
A61484005,exclusive_172_47,2026-09-18,nan,nan,True,False
A10023021,exclusive_59_99,2026-09-18,nan,nan,True,False
A10023021,exclusive_84_99,2026-09-18,nan,nan,True,False
A10023021,exclusive_84_99_34평B,2026-09-18,nan,nan,True,False
A10025434,exclusive_59_79,2026-09-18,nan,nan,True,False
A10025434,exclusive_62_21,2026-09-18,nan,nan,True,False
A10025434,exclusive_62_21_27평A,2026-09-18,nan,nan,True,False
A10025434,exclusive_64_44,2026-09-18,nan,nan,True,False
A10025434,exclusive_81_68,2026-09-18,nan,nan,True,False
A10025434,exclusive_81_68_35평B,2026-09-18,nan,nan,True,False
A10025434,exclusive_82_66,2026-09-18,nan,nan,True,False
A10025434,exclusive_82_66_35평B1,2026-09-18,nan,nan,True,False
A10025434,exclusive_82_66_35평C,2026-09-18,nan,nan,True,False
A61410304,exclusive_44_76,2026-09-18,nan,nan,True,False
A61410304,exclusive_64_44,2026-09-18,nan,nan,True,False
A61410304,exclusive_64_43,2026-09-18,nan,nan,True,False
A61410304,exclusive_79_95,2026-09-18,nan,nan,True,False
A61410304,exclusive_92_74,2026-09-18,nan,nan,True,False
A61410304,exclusive_107_56,2026-09-18,nan,nan,True,False
A61410304,exclusive_108_26,2026-09-18,nan,nan,True,False
A61475202,exclusive_59_72,2026-09-18,nan,nan,True,False
A61475202,exclusive_84_77,2026-09-18,nan,nan,True,False
A61475202,exclusive_84_94,2026-09-18,nan,nan,True,False
A61475202,exclusive_111_41,2026-09-18,nan,nan,True,False
A61475903,exclusive_59_72,2026-09-18,nan,nan,True,False
A61475903,exclusive_84_94,2026-09-18,nan,nan,True,False
A61475903,exclusive_111_41,2026-09-18,nan,nan,True,False
A61477806,exclusive_59_93,2026-09-18,nan,nan,True,False
A61477806,exclusive_66_43,2026-09-18,nan,nan,True,False
A61477806,exclusive_77_78,2026-09-18,nan,nan,True,False
A61477806,exclusive_83_88,2026-09-18,nan,nan,True,False
A61477806,exclusive_84_98,2026-09-18,nan,nan,True,False
A61477806,exclusive_83_6,2026-09-18,nan,nan,True,False
A61479605,exclusive_59_99,2026-09-18,nan,nan,True,False
A61479605,exclusive_80_23,2026-09-18,nan,nan,True,False
A61479605,exclusive_84_97,2026-09-18,nan,nan,True,False
A61479605,exclusive_110_22,2026-09-18,nan,nan,True,False
A61479605,exclusive_126_89,2026-09-18,nan,nan,True,False
A61482207,exclusive_32_39,2026-09-18,nan,nan,True,False
A61482207,exclusive_41_3,2026-09-18,nan,nan,True,False
A61482207,exclusive_49_94,2026-09-18,nan,nan,True,False
A61482207,exclusive_59_2,2026-09-18,nan,nan,True,False
A61482207,exclusive_59_28,2026-09-18,nan,nan,True,False
A61482207,exclusive_59_38,2026-09-18,nan,nan,True,False
A61482207,exclusive_59_39,2026-09-18,nan,nan,True,False
A61482207,exclusive_58_01,2026-09-18,nan,nan,True,False
A61482207,exclusive_61_52,2026-09-18,nan,nan,True,False
A61482207,exclusive_66_56,2026-09-18,nan,nan,True,False
A61482207,exclusive_79_07,2026-09-18,nan,nan,True,False
A61482302,exclusive_59_54,2026-09-18,nan,nan,True,False
A61482302,exclusive_59_55,2026-09-18,nan,nan,True,False
A61482302,exclusive_59_89,2026-09-18,nan,nan,True,False
A61482302,exclusive_59_91,2026-09-18,nan,nan,True,False
A61482302,exclusive_84_5,2026-09-18,nan,nan,True,False
A61482302,exclusive_84_5_30평C,2026-09-18,nan,nan,True,False
A61482302,exclusive_84_97,2026-09-18,nan,nan,True,False
A61482303,exclusive_49_61,2026-09-18,nan,nan,True,False
A61482303,exclusive_49_99,2026-09-18,nan,nan,True,False
A61482303,exclusive_49_99_21평C,2026-09-18,nan,nan,True,False
A61482303,exclusive_59_89,2026-09-18,nan,nan,True,False
A61482303,exclusive_59_54,2026-09-18,nan,nan,True,False
A61482303,exclusive_59_91,2026-09-18,nan,nan,True,False
A61482303,exclusive_84_5,2026-09-18,nan,nan,True,False
A61482303,exclusive_84_97,2026-09-18,nan,nan,True,False
A10020213,exclusive_59_86,2026-09-18,nan,nan,True,False
A10020213,exclusive_59_85,2026-09-18,nan,nan,True,False
A10020213,exclusive_77_66,2026-09-18,nan,nan,True,False
A10020213,exclusive_84_95,2026-09-18,nan,nan,True,False
A10020213,exclusive_84_75,2026-09-18,nan,nan,True,False
A61476403,exclusive_69_28,2026-09-18,nan,nan,True,False
A61476403,exclusive_77_04,2026-09-18,nan,nan,True,False
A61476403,exclusive_84_99,2026-09-18,nan,nan,True,False
A61476403,exclusive_85,2026-09-18,nan,nan,True,False
A61476403,exclusive_122_57,2026-09-18,nan,nan,True,False
A61476403,exclusive_123_3,2026-09-18,nan,nan,True,False
A61476403,exclusive_136_68,2026-09-18,nan,nan,True,False
A61476403,exclusive_174_2,2026-09-18,nan,nan,True,False
A61479502,exclusive_71_65,2026-09-18,nan,nan,True,False
A61479502,exclusive_84_85,2026-09-18,nan,nan,True,False
A61479502,exclusive_114_99,2026-09-18,nan,nan,True,False
A61479502,exclusive_130_59,2026-09-18,nan,nan,True,False
A10023409,exclusive_73_84,2026-09-18,nan,nan,True,False
A10023409,exclusive_74_12,2026-09-18,nan,nan,True,False
A10023409,exclusive_84_74,2026-09-18,nan,nan,True,False
A10023409,exclusive_84_92,2026-09-18,nan,nan,True,False
A10023409,exclusive_112,2026-09-18,nan,nan,True,False
A10026363,exclusive_74_92,2026-09-18,nan,nan,True,False
A10026363,exclusive_84_39,2026-09-18,nan,nan,True,False
A10026363,exclusive_84_82,2026-09-18,nan,nan,True,False
A10026363,exclusive_84_49,2026-09-18,nan,nan,True,False
A10026363,exclusive_84_99,2026-09-18,nan,nan,True,False
A10026363,exclusive_84_32,2026-09-18,nan,nan,True,False
A61475512,exclusive_32_39,2026-09-18,nan,nan,True,False
A61475512,exclusive_41_3,2026-09-18,nan,nan,True,False
A61475512,exclusive_49_94,2026-09-18,nan,nan,True,False
A61475512,exclusive_58_01,2026-09-18,nan,nan,True,False
A61475512,exclusive_61_52,2026-09-18,nan,nan,True,False
A61475512,exclusive_66_56,2026-09-18,nan,nan,True,False
A61475512,exclusive_79_07,2026-09-18,nan,nan,True,False
A61477009,exclusive_44_87,2026-09-18,nan,nan,True,False
A61477009,exclusive_56_88,2026-09-18,nan,nan,True,False
A61477105,exclusive_59_76,2026-09-18,nan,nan,True,False
A61477105,exclusive_59_76_22평A,2026-09-18,nan,nan,True,False
A61477105,exclusive_74_59,2026-09-18,nan,nan,True,False
A61477105,exclusive_84_99,2026-09-18,nan,nan,True,False
A61477105,exclusive_102_39,2026-09-18,nan,nan,True,False
A61477105,exclusive_102_61,2026-09-18,nan,nan,True,False
A61477105,exclusive_120_39,2026-09-18,nan,nan,True,False
A61477105,exclusive_140_58,2026-09-18,nan,nan,True,False
A61477403,exclusive_39_66,2026-09-18,nan,nan,True,False
A61477403,exclusive_39_67,2026-09-18,nan,nan,True,False
A61480908,exclusive_84_98,2026-09-18,nan,nan,True,False
A61480908,exclusive_117_95,2026-09-18,nan,nan,True,False
A61480908,exclusive_131_66,2026-09-18,nan,nan,True,False
A10026360,exclusive_67_89,2026-09-18,nan,nan,True,False
A10026360,exclusive_67_91,2026-09-18,nan,nan,True,False
A10026360,exclusive_75_86,2026-09-18,nan,nan,True,False
A10026360,exclusive_84_86,2026-09-18,nan,nan,True,False
A10027972,exclusive_55_35,2026-09-18,nan,nan,True,False
A10027972,exclusive_55_35_24평,2026-09-18,nan,nan,True,False
A10027972,exclusive_55_35_24평H,2026-09-18,nan,nan,True,False
A10027972,exclusive_55_35_24평I,2026-09-18,nan,nan,True,False
A10027972,exclusive_72_77,2026-09-18,nan,nan,True,False
A10027972,exclusive_72_2,2026-09-18,nan,nan,True,False
A10027972,exclusive_79_16,2026-09-18,nan,nan,True,False
A10027972,exclusive_78_94,2026-09-18,nan,nan,True,False
A10027972,exclusive_84_98,2026-09-18,nan,nan,True,False
A10027972,exclusive_84_98_34평,2026-09-18,nan,nan,True,False
A10027972,exclusive_96_79,2026-09-18,nan,nan,True,False
A10027972,exclusive_96_79_38평B,2026-09-18,nan,nan,True,False
A10027972,exclusive_109_07,2026-09-18,nan,nan,True,False
A60710004,exclusive_51_86,2026-09-18,nan,nan,True,False
A60710004,exclusive_59_91,2026-09-18,nan,nan,True,False
A60710004,exclusive_59_98,2026-09-18,nan,nan,True,False
A60710004,exclusive_74_65,2026-09-18,nan,nan,True,False
A60710004,exclusive_84_92,2026-09-18,nan,nan,True,False
A60777604,exclusive_59_87,2026-09-18,nan,nan,True,False
A60777604,exclusive_77_85,2026-09-18,nan,nan,True,False
A60777604,exclusive_84_83,2026-09-18,nan,nan,True,False
A60777604,exclusive_118_53,2026-09-18,nan,nan,True,False
A60777604,exclusive_141_69,2026-09-18,nan,nan,True,False
A60778502,exclusive_59_69,2026-09-18,nan,nan,True,False
A60778502,exclusive_74_65,2026-09-18,nan,nan,True,False
A60778502,exclusive_84_92,2026-09-18,nan,nan,True,False
A60782701,exclusive_84_95,2026-09-18,nan,nan,True,False
A60782701,exclusive_134_82,2026-09-18,nan,nan,True,False
A60782701,exclusive_146_69,2026-09-18,nan,nan,True,False
A60782701,exclusive_151_55,2026-09-18,nan,nan,True,False
A60782701,exclusive_182_99,2026-09-18,nan,nan,True,False
A60782701,exclusive_187_85,2026-09-18,nan,nan,True,False
A10025662,exclusive_84_82,2026-09-18,nan,nan,True,False
A10025662,exclusive_84_64,2026-09-18,nan,nan,True,False
A60775407,exclusive_59_95,2026-09-18,nan,nan,True,False
A60775407,exclusive_84_86,2026-09-18,nan,nan,True,False
A60775407,exclusive_84_98,2026-09-18,nan,nan,True,False
A60775407,exclusive_121_79,2026-09-18,nan,nan,True,False
A60775605,exclusive_40_3,2026-09-18,nan,nan,True,False
A60775605,exclusive_52_44,2026-09-18,nan,nan,True,False
A60775605,exclusive_59_64,2026-09-18,nan,nan,True,False
A60775605,exclusive_84_87,2026-09-18,nan,nan,True,False
A60775605,exclusive_134_88,2026-09-18,nan,nan,True,False
