kapt_code,area_group_id,source,source_tier
A10025380,exclusive_69_21,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,TIER_2_KB_OFFICIAL_API
A10025380,exclusive_69_51,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,TIER_2_KB_OFFICIAL_API
A10025380,exclusive_82_87,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,TIER_2_KB_OFFICIAL_API
A10023208,exclusive_59_87,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,TIER_2_KB_OFFICIAL_API
A10023208,exclusive_75_55,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,TIER_2_KB_OFFICIAL_API
A10023208,exclusive_75_64,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,TIER_2_KB_OFFICIAL_API
A10023208,exclusive_75_67,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,TIER_2_KB_OFFICIAL_API
A10023208,exclusive_84_63,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,TIER_2_KB_OFFICIAL_API
A10023208,exclusive_84_9,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,TIER_2_KB_OFFICIAL_API
A10026746,exclusive_59_92,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,TIER_2_KB_OFFICIAL_API
A10026746,exclusive_59_95,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,TIER_2_KB_OFFICIAL_API
A10026746,exclusive_84_98,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,TIER_2_KB_OFFICIAL_API
A10026746,exclusive_84_95,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,TIER_2_KB_OFFICIAL_API
A10026746,exclusive_118_89,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,TIER_2_KB_OFFICIAL_API
A60106001,exclusive_60,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,TIER_2_KB_OFFICIAL_API
A60106001,exclusive_84_21,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,TIER_2_KB_OFFICIAL_API
A60106001,exclusive_98_68,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,TIER_2_KB_OFFICIAL_API
A60106001,exclusive_115_04,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_95,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_98,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_99,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_99_32평B,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_99_32평B1,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_99_32평C,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_99_32평D,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_84_99_32평D1,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_127,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_127_05,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_127_24,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_127_24_48평A1,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_127_29,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_150_59,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_225_83,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60106002,exclusive_227_27,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,TIER_2_KB_OFFICIAL_API
A60681702,exclusive_59_7,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,TIER_2_KB_OFFICIAL_API
A60681702,exclusive_84_81,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,TIER_2_KB_OFFICIAL_API
A60681702,exclusive_99_96,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,TIER_2_KB_OFFICIAL_API
A60681702,exclusive_134_82,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,TIER_2_KB_OFFICIAL_API
A60681702,exclusive_167_66,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,TIER_2_KB_OFFICIAL_API
A60675801,exclusive_84_78,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,TIER_2_KB_OFFICIAL_API
A60675801,exclusive_84_92,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,TIER_2_KB_OFFICIAL_API
A60675801,exclusive_122_74,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,TIER_2_KB_OFFICIAL_API
A60675801,exclusive_149_22,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,TIER_2_KB_OFFICIAL_API
A60675801,exclusive_189_85,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6037,TIER_2_KB_OFFICIAL_API
A60607003,exclusive_59_96,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,TIER_2_KB_OFFICIAL_API
A60607003,exclusive_74_46,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,TIER_2_KB_OFFICIAL_API
A60607003,exclusive_84_97,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,TIER_2_KB_OFFICIAL_API
A60607003,exclusive_101_79,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13741,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_84_82,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_84_93,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_84_91,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_84_84,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_84_8,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_84_98,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_115_84,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A10023837,exclusive_115_73,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=44307,TIER_2_KB_OFFICIAL_API
A60675110,exclusive_45_5,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6054,TIER_2_KB_OFFICIAL_API
A60675110,exclusive_57_09,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6054,TIER_2_KB_OFFICIAL_API
A60680909,exclusive_85_76,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,TIER_2_KB_OFFICIAL_API
A60680909,exclusive_116_63,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,TIER_2_KB_OFFICIAL_API
A60680909,exclusive_121_26,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,TIER_2_KB_OFFICIAL_API
A60680909,exclusive_146_99,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6056,TIER_2_KB_OFFICIAL_API
A60680912,exclusive_46_27,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6057,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_84_81,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_84_85,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_84_86,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_84_85_38평A,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_110_93,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_109_54,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_118_61,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61479902,exclusive_130_34,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,TIER_2_KB_OFFICIAL_API
A61404006,exclusive_59_72,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,TIER_2_KB_OFFICIAL_API
A61404006,exclusive_59_84,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,TIER_2_KB_OFFICIAL_API
