kb_complex_id,kb_type_id,kb_sale_general,has_price_inversion
5550,172192,33000.0,False
5550,184937,33000.0,False
5550,194167,37000.0,False
5551,5402,22250.0,False
5551,54357,22250.0,False
5551,97054,32500.0,False
5551,130237,50500.0,False
5551,154698,50500.0,False
314859,1064052,44500.0,False
314859,1084711,54250.0,False
314859,1084973,54250.0,False
32588,31453,34000.0,False
32588,77614,35000.0,False
32588,115388,35000.0,False
32588,143947,36000.0,False
32588,164695,41750.0,False
32588,179719,41750.0,False
32588,190530,45750.0,False
32588,198447,45750.0,False
32588,204395,45750.0,False
5560,5411,21000.0,False
5560,54366,27250.0,False
5560,184941,27250.0,False
5560,97062,31750.0,False
5560,130243,37500.0,False
5560,172197,43500.0,False
5560,154703,43250.0,False
5563,5414,26000.0,False
5563,54369,34500.0,False
5563,154705,34500.0,False
5563,97065,45000.0,False
5556,5407,26000.0,False
5556,54362,34000.0,False
5556,97058,45000.0,False
5557,5408,13000.0,False
5557,54363,13000.0,False
5557,97059,15250.0,False
5557,130240,15000.0,False
5557,154701,16000.0,False
5557,172195,16250.0,False
13271,13059,19250.0,False
13271,133276,24500.0,False
13271,156488,26500.0,False
13271,61071,36000.0,False
13271,101828,38000.0,False
5573,5424,10500.0,False
5573,54379,12500.0,False
5573,97075,15000.0,False
5573,130254,17500.0,False
5573,201110,17500.0,False
5573,206372,17500.0,False
5573,210413,17500.0,False
5573,154714,18250.0,False
5573,172204,19000.0,False
5573,184947,22000.0,False
5573,194175,26000.0,False
5566,5417,13750.0,False
5566,54372,13750.0,False
5566,97068,13750.0,False
5566,130247,13750.0,False
5566,154708,27000.0,False
5566,1228343,23750.0,False
5566,172200,25000.0,False
5564,5415,12000.0,False
5564,54370,12000.0,False
5564,201106,12000.0,False
5564,154706,13250.0,False
5564,130245,13250.0,False
5564,97066,13250.0,False
5564,194171,24000.0,False
5564,184943,24750.0,False
2136163,5479136,,False
2136163,5479137,,False
2136163,5479138,,False
2136163,5479139,,False
2136163,5479140,,False
5495,5346,19500.0,False
5495,201092,22250.0,False
5495,54303,22250.0,False
5495,206359,23750.0,False
5495,184924,23750.0,False
5495,97005,23750.0,False
5495,194157,37750.0,False
5495,130198,37750.0,False
5495,154668,42750.0,False
5495,172172,49000.0,False
13269,13057,36500.0,False
