kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A10025359,exclusive_84_7,84.7,124.5,37평C,87,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_84_87,84.87,125.13,37평B,70,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_59_66,59.66,85.74,25평,263,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_69_21,69.21,99.43,30평B,43,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_69_51,69.51,100.1,30평A,350,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_82_87,82.87,118.41,35평,132,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_59_87,59.87,87.3,26평,392,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75_55,75.55,108.8,32평C,293,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75_64,75.64,108.98,32평A,490,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75_67,75.67,109.05,32평B,188,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_84_63,84.63,119.92,36평A,390,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_84_9,84.9,121.78,36평B,287,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_59_92,59.92,84.52,25평A,164,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_59_95,59.95,84.57,25평B,162,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_84_98,84.98,119.42,36평A,164,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_84_95,84.95,119.94,36평B,76,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_118_89,118.89,166.9,50평,86,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_60,60.0,83.17,25평,249,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_84_21,84.21,116.72,35평,198,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_98_68,98.68,136.77,41평,50,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_115_04,115.04,159.45,48평,50,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_95,84.95,107.07,32평F,23,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_98,84.98,107.11,32평E,27,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_99,84.99,107.13,32평A,85,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_99_32평B,84.99,107.13,32평B,58,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_99_32평B1,84.99,107.13,32평B1,11,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_99_32평C,84.99,107.13,32평C,71,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_99_32평D,84.99,107.13,32평D,51,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84_99_32평D1,84.99,107.13,32평D1,4,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_127,127.0,160.08,48평B,56,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_127_05,127.05,160.14,48평D,68,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_127_24,127.24,160.38,48평A,88,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_127_24_48평A1,127.24,160.38,48평A1,2,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_127_29,127.29,160.44,48평C,56,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_150_59,150.59,189.81,57평,86,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_225_83,225.83,284.65,86평,2,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_227_27,227.27,286.46,86평,2,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_59_7,59.7,79.93,24평,336,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
A60681702,exclusive_84_81,84.81,107.91,32평,292,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=6034,2026-09-18,,,verified,sale_apartment,
