구,초등학교,배정가능 중학교
해운대구,반안초,반안중
해운대구,반안초,반여중
해운대구,반안초,재송중
해운대구,반안초,인지중
해운대구,상당초,상당중
해운대구,상당초,신곡중
해운대구,상당초,부흥중
해운대구,상당초,신도중
해운대구,상당초,양운중
해운대구,센텀초,센텀중
해운대구,센텀초,재송중
해운대구,센텀초,재송여자중
수영구,수영초,동수영중
수영구,수영초,수영중
수영구,수영초,광안중
수영구,수영초,한바다중
수영구,수영초,동아중
수영구,호암초,수영중
수영구,호암초,동수영중
수영구,호암초,한바다중
수영구,호암초,광안중
수영구,호암초,동아중
해운대구,재송초,재송중
해운대구,재송초,재송여자중
해운대구,재송초,센텀중
금정구,장서초,구서여중
금정구,장서초,지산중
금정구,장서초,장전중
금정구,장서초,남산중
금정구,구서초,구서여중
금정구,구서초,지산중
금정구,구서초,남산중
금정구,금정초,장전중
금정구,금정초,금전중
금정구,금정초,부곡여자중
금정구,금정초,동현중
금정구,금양초,부곡여자중
금정구,금양초,금전중
금정구,금양초,동현중
금정구,금양초,부곡중
동래구,낙민초,동래중
동래구,낙민초,내민중
동래구,낙민초,유락여자중
금정구,동현초,동현중
금정구,동현초,부곡여자중
금정구,동현초,부곡중
금정구,동현초,금전중
연제구,과정초,연천중
연제구,과정초,연제중
연제구,과정초,망미중
연제구,과정초,토현중
동래구,명장초,안락중
동래구,명장초,충렬중
동래구,명장초,혜화여자중
동래구,명장초,학산여자중
연제구,연천초,연천중
연제구,연천초,토현중
연제구,연천초,연제중
연제구,연천초,망미중
연제구,창신초,거제여자중
연제구,창신초,여명중
연제구,창신초,이사벨중
연제구,연동초,연제중
연제구,연동초,연산중
연제구,연동초,동신중
연제구,연동초,이사벨중
금정구,장전초,장전중
금정구,장전초,금정중
금정구,장전초,부곡여자중
남구,용소초,대연중
남구,용소초,대천중
남구,용소초,남천중
남구,용소초,해연중
남구,우암초,배정중
남구,우암초,감만중
남구,우암초,대연중
남구,동천초,배정중
남구,동천초,문현여중
남구,동천초,대연중
남구,성천초,배정중
남구,성천초,문현여중
남구,동항초,감만중
남구,동항초,배정중
남구,동항초,석포여중
남구,석포초,석포여중
남구,석포초,대연중
남구,석포초,감만중
남구,용당초,석포여중
남구,용당초,대연중
남구,용당초,감만중
남구,백운초,용호중
남구,백운초,오륙도중
남구,백운초,분포중
남구,용호초,용호중
남구,용호초,오륙도중
남구,용호초,분포중
남구,용산초,용호중
남구,용산초,오륙도중
남구,용산초,분포중
남구,운산초,용호중
남구,운산초,오륙도중
남구,운산초,분포중
남구,용문초,분포중
남구,용문초,용호중
남구,분포초,분포중
남구,분포초,용호중
남구,오륙도초,오륙도중
남구,성동초,문현여중
남구,성동초,배정중
남구,성동초,부산중앙중
남구,문현초,문현여중
남구,문현초,배정중
남구,문현초,부산동여중
남구,연포초,해연중
남구,연포초,대연중
남구,연포초,석포여중
남구,연포초,배정중
남구,대연초,대연중
남구,대연초,해연중
남구,대연초,석포여중
남구,신연초,해연중
남구,신연초,대연중
남구,신연초,문현여중
남구,신연초,배정중
남구,대천초,대천중
남구,대천초,대연중
남구,대천초,남천중
남구,대남초,남천중
남구,대남초,대천중
남구,대남초,대연중
남구,남천초,남천중
남구,남천초,동아중
남구,남천초,대천중
남구,광남초,남천중
남구,광남초,동아중
남구,광남초,한바다중
부산진구,양정초,양동여중
부산진구,양정초,동의중
부산진구,양정초,부산진여중
부산진구,양동초,양동여중
부산진구,양동초,동의중
부산진구,양동초,부산진여중
