kapt_code,kapt_name,legal_dong,kb_complex_id,kb_name,reason_code,reason,match_score,match_confidence,kapt_households,kb_households,types_found,recommended_next_action,source_url
A60777206,부산안락4휴먼시아,안락동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,619,,0,,
A10027690,명륜2차아이파크아파트,명륜동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,2058,,0,,
A60701003,동래센트럴파크하이츠2단지,명륜동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,680,,0,,
A60701004,명륜아이파크,명륜동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1409,,0,,
A10022002,래미안포레스티지,온천동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,4043,,0,,
A10023975,동래래미안아이파크아파트,온천동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,3853,,0,,
A10024005,동래3차 SK VIEW 아파트,온천동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,999,,0,,
A10024982,쌍용 더 플래티넘 사직 아시아드,사직동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,914,,0,,
A10027054,사직롯데캐슬더클래식,사직동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1064,,0,,
A60782005,사직삼정그린코아아파트,사직동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,874,,0,,
A10022999,대연푸르지오클라센트,대연동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1057,,0,,
A10025593,대연자이 아파트,대연동,34178.0,대연자이,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=950, K-apt=965, 차이=15)",,high,965,,8,,https://kbland.kr/map?complex=34178
A10028145,대연롯데캐슬,대연동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,564,,0,,
A60802001,대연힐스테이트푸르지오,대연동,26745.0,대연힐스테이트푸르지오,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,2304,,0,,
A10026391,W 아파트,용호동,,,KB_COMPLEX_AMBIGUOUS,KB 단지 매칭 실패 (후보 10개),,unmatched,1488,,0,,
A60809003,오륙도SK VIEW,용호동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,3000,,0,,
A60809004,LG메트로시티아파트,용호동,5389.0,LG메트로시티(1차),LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,7374,,0,,
A60883203,일신-님Ⅱ아파트,용호동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,710,,0,,
A60871104,용당현대I-PARK,용당동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,748,,0,,
A10024704,문현경동리인,문현동,35250.0,문현경동리인(1단지),LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,600,,0,,
A60879704,문현현대아파트,문현동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,693,,0,,
A10020289,두산위브더제니스 오션시티,우암동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,3048,,0,,
A10027989,신화명리버뷰자이아파트,금곡동,27681.0,신화명리버뷰자이,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=717, K-apt=792, 차이=75)",,high,792,,4,,https://kbland.kr/map?complex=27681
A10028138,동원역삼정그린코아,금곡동,26091.0,동원역삼정그린코아,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=526, K-apt=529, 차이=3)",,high,529,,8,,https://kbland.kr/map?complex=26091
A61673902,율리벽산블루밍,금곡동,25534.0,율리벽산블루밍1단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,589,,0,,
A61674824,부산율리마을,금곡동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,840,,0,,
A61676118,금곡주공1단지,금곡동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1099,,0,,
A61676215,금곡주공2단지,금곡동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1460,,0,,
A61676422,금곡주공4단지,금곡동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1937,,0,,
A61676723,금곡주공7단지,금곡동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,802,,0,,
A61676814,금곡9단지주공,금곡동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1366,,0,,
A61681108,금곡조성협진아파트,금곡동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,576,,0,,
A10024341,화명푸르지오헤리센트,화명동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,886,,0,,
A10027790,e편한세상 화명힐스 아파트,화명동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,800,,0,,
A61612011,화명대우이안아파트,화명동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,989,,0,,
A61612013,화명코오롱하늘채1차아파트,화명동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1280,,0,,
A61612016,화명수정강변타운,화명동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1780,,0,,
A61673304,화명동원로얄듀크,화명동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1627,,0,,
A61679208,화명경남아너스빌,화명동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,570,,0,,
A61685214,화명코오롱하늘채2차,화명동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1344,,0,,
A10024318,e편한세상 금정산 아파트,만덕동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,1969,,0,,
A10027832,백양디이스트,만덕동,26496.0,백양디이스트,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,3790,,0,,
A61679609,부산만덕3단지 주공아파트,만덕동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1350,,0,,
A61677404,덕천주공2단지,덕천동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1507,,0,,
A61681409,부산도시공사 덕천2지구 아파트,덕천동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,990,,0,,
A61609206,구포유림노르웨이숲,구포동,22082.0,구포유림노르웨이숲2차,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,1176,,0,,
A61680705,구포삼정그린코아아파트,구포동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,668,,0,,
A61273009,부산도시공사 반송영구임대아파트,반송동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1050,,0,,
A61273507,반송삼한2차,반송동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,848,,0,,
