kapt_code,kapt_name,legal_dong,kb_complex_id,kb_name,reason_code,reason,match_score,match_confidence,kapt_households,kb_households,types_found,recommended_next_action,source_url
A61996105,정관LH4단지,정관읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,964,,0,,
A61996112,정관신도시LH5단지,정관읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1128,,0,,
A10025749,부산정관 행복주택,정관읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,856,,0,,
A10026813,정관 엘에이치 7단지,정관읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1934,,0,,
A10028081,정관이지더원3차아파트,정관읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1035,,0,,
A61990110,정관신도시이지더원1차,정관읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,978,,0,,
A61996103,정관신도시휴먼시아2단지,정관읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1301,,0,,
A61996106,EGthe12차,정관읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,756,,0,,
A10027503,정관양우내안애,정관읍,431758.0,정관양우내안애,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=828, K-apt=830, 차이=2)",,high,830,,3,,https://kbland.kr/map?complex=431758
A61996115,정관이진캐스빌,정관읍,32684.0,정관이진캐스빌2차,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,539,,0,,
A61996303,정관신도시 신동아파밀리에,정관읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,655,,0,,
A61996306,정관한진해모로,정관읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,763,,0,,
A61996308,정관신도시휴먼시아1단지,정관읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1533,,0,,
A10020313,일광동원로얄듀크,일광읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1134,,0,,
A10023283,금호센트럴베이 행복주택 일광,일광읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,999,,0,,
A10023778,이지더원2차포레온아파트,일광읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,786,,0,,
A10023912,일광한신더휴센트럴포레,일광읍,39641.0,일광한신더휴센트럴포레2단지,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,1298,,0,,
A61987101,고촌휴먼시아,철마면,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1084,,0,,
