kapt_code,kapt_name,legal_dong,address,total_households,approval_date,sale_type,rental_type,evidence_source,exclusion_reason,processing_status,verified_at
A61204002,부산송정2휴먼시아,송정동,부산광역시 해운대구 송정동 934 부산송정2휴먼시아,890,20100701,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60475309,3지구도개공아파트,다대동,부산광역시 사하구 다대동 113-13 3지구도개공아파트,750,19891122,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60475411,도개공다대4지구영구임대아파트,다대동,부산광역시 사하구 다대동 96-1 도개공다대4지구영구임대아파트,1920,19950622,임대,영구임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60482712,5지구몰운대영구임대아파트,다대동,부산광역시 사하구 다대동 1548-11 5지구몰운대영구임대아파트,2107,19961024,임대,영구임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10024185,부산사하중흥S-클래스,구평동,부산광역시 사하구 구평동 513 부산사하중흥S-클래스,665,20210705,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A60976501,부곡시영,부곡동,부산광역시 금정구 부곡동 957 부곡시영,553,19910603,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10025932,명지금강펜테리움센트럴파크3차,명지동,부산광역시 강서구 명지동 3347 명지금강펜테리움센트럴파크3차,870,20181119,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61823001,지사휴먼시아,지사동,부산광역시 강서구 지사동 1183-1 지사휴먼시아,961,20111007,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61872203,부산신호사랑으로부영5차,신호동,부산광역시 강서구 신호동 302-2 부산신호사랑으로부영5차,1109,20141124,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61872204,부산신호3사랑으로부영3차,신호동,부산광역시 강서구 신호동 300-1 부산신호3사랑으로부영3차,1278,20141008,임대,공공임대/국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10020498,시청앞 행복주택1단지,연산동,부산광역시 연제구 연산동 1590-25 시청앞 행복주택1단지,589,20250721,임대,행복주택,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A10023014,시청앞 행복주택2단지,연산동,부산광역시 연제구 연산동 1590-25 시청앞 행복주택2단지,999,20230905,임대,행복주택,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61775307,부산모라주공3,모라동,부산광역시 사상구 모라동 75 부산모라주공3,2385,19930602,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
A61781706,모라주공1단지,모라동,부산광역시 사상구 모라동 552 모라주공1단지,2529,19920515,임대,국민임대,K-apt 공식 분양형태(임대),"순수 임대단지 (일반 분양 주거세대 없음, sale_apartment 제외 대상)",EXCLUDED_RENTAL_ONLY,2026-09-18
