kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A10025359,exclusive_84.7,84.7,124.5,37평C,87.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025359,exclusive_84.87,84.87,125.13,37평B,70.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=33044,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_59.66,59.66,85.74,25평,263.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_69.21,69.21,99.43,30평B,43.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_69.51,69.51,100.1,30평A,350.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10025380,exclusive_82.87,82.87,118.41,35평,132.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=31737,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_59.87,59.87,87.3,26평,392.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75.55,75.55,108.8,32평C,293.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75.64,75.64,108.98,32평A,490.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_75.67,75.67,109.05,32평B,188.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_84.63,84.63,119.92,36평A,390.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10023208,exclusive_84.9,84.9,121.78,36평B,287.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=45796,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_59.92,59.92,84.52,25평A,164.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_59.95,59.95,84.57,25평B,162.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_84.98,84.98,119.42,36평A,164.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_84.95,84.95,119.94,36평B,76.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A10026746,exclusive_118.89,118.89,166.9,50평,86.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29905,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_60,60.0,83.17,25평,249.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_84.21,84.21,116.72,35평,198.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_98.68,98.68,136.77,41평,50.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106001,exclusive_115.04,115.04,159.45,48평,50.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5407,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84.95,84.95,107.07,32평F,23.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
A60106002,exclusive_84.98,84.98,107.11,32평E,27.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14680,2026-09-18,,,verified,sale_apartment,
