kapt_code,kapt_name,legal_dong,kapt_address,kapt_households,kb_complex_id,kb_name,kb_address,kb_households,kb_url,match_score,match_confidence,match_method,verified_at
A61404203,서면대우디오빌2,전포동,부산광역시 부산진구 전포동 181-1 서면대우디오빌2,751.0,17130,서면대우디오빌2,,,,,medium,playwright_search,2026-09-18T10:31:10.796584
A61477302,서면유림노르웨이아침,전포동,부산광역시 부산진구 전포동 892-21 서면유림노르웨이아침,512.0,13167,서면노르웨이아침,,,https://kbland.kr/map?complex=13167,,high,playwright_search,2026-09-18T10:31:12.968390
A61486301,한라비발디,전포동,부산광역시 부산진구 전포동 362-64 한라비발디,511.0,14284,한라비발디,,,https://kbland.kr/map?complex=14284,,high,playwright_search,2026-09-18T10:31:15.169294
A61473002,네오스포아파트,부전동,부산광역시 부산진구 부전동 450 네오스포아파트,782.0,5514,네오스포,,,https://kbland.kr/map?complex=5514,,high,playwright_search,2026-09-18T10:31:22.618505
A10023750,e편한세상 서면 더센트럴,범천동,부산광역시 부산진구 범천동 1187 e편한세상 서면 더센트럴,998.0,46959,e편한세상서면더센트럴,,,https://kbland.kr/map?complex=46959,,high,playwright_search,2026-09-18T10:31:24.823591
A10027052,서면DS·협성엘리시안아파트,범천동,부산광역시 부산진구 범천동 1647 서면DS·협성엘리시안아파트,630.0,29268,서면DS협성엘리시안,,,https://kbland.kr/map?complex=29268,,high,playwright_search,2026-09-18T10:31:27.030714
A61476002,범천경남아파트,범천동,부산광역시 부산진구 범천동 944-1 범천경남아파트,950.0,5508,범천경남,,,https://kbland.kr/map?complex=5508,,high,playwright_search,2026-09-18T10:31:34.443833
A61483202,서면e-편한세상,범천동,부산광역시 부산진구 범천동 1054 서면e-편한세상,623.0,14814,서면e-편한세상,,,https://kbland.kr/map?complex=14814,,high,playwright_search,2026-09-18T10:31:38.669275
A10025540,삼한골든뷰센트럴파크,범전동,부산광역시 부산진구 범전동 338-39 삼한골든뷰센트럴파크,1272.0,31209,삼한골든뷰센트럴파크,,,https://kbland.kr/map?complex=31209,,high,playwright_search,2026-09-18T10:31:40.855995
A61478807,화인연지아파트,연지동,부산광역시 부산진구 연지동 50-6 화인연지아파트,654.0,5535,화인연지,,,https://kbland.kr/map?complex=5535,,high,playwright_search,2026-09-18T10:31:45.069479
A61478901,연지자이2차,연지동,부산광역시 부산진구 연지동 406 연지자이2차,1011.0,16130,연지자이2차,,,https://kbland.kr/map?complex=16130,,high,playwright_search,2026-09-18T10:31:47.328699
A61485906,연지2차청구아파트,연지동,부산광역시 부산진구 연지동 23-17 연지2차청구아파트,554.0,5537,연지2차청구,,,https://kbland.kr/map?complex=5537,,high,playwright_search,2026-09-18T10:31:49.614040
A61486005,연지자이1차아파트,연지동,부산광역시 부산진구 연지동 403 연지자이1차아파트,547.0,15291,연지자이1차,,,https://kbland.kr/map?complex=15291,,high,playwright_search,2026-09-18T10:31:51.795650
A61486008,세동한신아파트,연지동,부산광역시 부산진구 연지동 353-1 세동한신아파트,789.0,5531,세동한신,,,https://kbland.kr/map?complex=5531,,high,playwright_search,2026-09-18T10:31:53.985428
A10020721,백양산서희스타힐스(백양산서희스타힐스),부암동,부산광역시 부산진구 부암동 610-88 백양산서희스타힐스(백양산서희스타힐스),1295.0,429022,백양산서희스타힐스,,,https://kbland.kr/map?complex=429022,,high,playwright_search,2026-09-18T10:32:00.280396
A10026861,서면동일파크스위트3차아파트,부암동,부산광역시 부산진구 부암동 17-4 서면동일파크스위트3차아파트,727.0,30157,서면동일파크스위트3차,,,https://kbland.kr/map?complex=30157,,high,playwright_search,2026-09-18T10:32:04.660256
A10028147,서면동일파크스위트1차아파트,부암동,부산광역시 부산진구 부암동 736 서면동일파크스위트1차아파트,751.0,26500,서면동일파크스위트1차,,,https://kbland.kr/map?complex=26500,,high,playwright_search,2026-09-18T10:32:06.858040
A61409002,서면쌍용스윗닷홈스카이,부암동,부산광역시 부산진구 부암동 63-3 서면쌍용스윗닷홈스카이,544.0,15228,서면쌍용스윗닷홈스카이,,,https://kbland.kr/map?complex=15228,,high,playwright_search,2026-09-18T10:32:09.044544
A61409004,타워베르빌,부암동,부산광역시 부산진구 부암동 48-3 타워베르빌,704.0,13595,타워베르빌,,566,https://kbland.kr/map?complex=13595,,exact,playwright_search,2026-09-18T10:32:20.529336
A61409005,서면동문굿모닝힐,부암동,부산광역시 부산진구 부암동 735 서면동문굿모닝힐,559.0,19701,부산서면동문굿모닝힐,,,https://kbland.kr/map?complex=19701,,high,playwright_search,2026-09-18T10:32:22.713124
A61409302,당감뜨란채아파트,부암동,부산광역시 부산진구 부암동 725 당감뜨란채아파트,630.0,15049,당감뜨란채,,,https://kbland.kr/map?complex=15049,,high,playwright_search,2026-09-18T10:32:25.016198
A61479403,백양산쌍용스윗닷홈아파트,부암동,부산광역시 부산진구 부암동 720 백양산쌍용스윗닷홈아파트,718.0,13083,백양산쌍용스윗닷홈,,,https://kbland.kr/map?complex=13083,,high,playwright_search,2026-09-18T10:32:27.277416
A61484004,협성피닉스아파트,부암동,부산광역시 부산진구 부암동 560-14 협성피닉스아파트,774.0,5550,협성피닉스타운,,,https://kbland.kr/map?complex=5550,,high,playwright_search,2026-09-18T10:32:29.486690
A61484005,화승삼성아파트,부암동,부산광역시 부산진구 부암동 500 화승삼성아파트,1811.0,5551,화승삼성,,,https://kbland.kr/map?complex=5551,,high,playwright_search,2026-09-18T10:32:31.649826
A10023021,서면 비스타동원,당감동,부산광역시 부산진구 당감동 573-89 서면 비스타동원,806.0,314859,서면비스타동원,,,https://kbland.kr/map?complex=314859,,high,playwright_search,2026-09-18T10:32:33.899504
A10025434,서면2차 봄여름가을겨울아파트,당감동,부산광역시 부산진구 당감동 1024 서면2차 봄여름가을겨울아파트,535.0,32588,서면2차봄여름가을겨울,,,https://kbland.kr/map?complex=32588,,high,playwright_search,2026-09-18T10:32:36.143925
A61410304,서면삼익아파트,당감동,부산광역시 부산진구 당감동 175-2 서면삼익아파트,1074.0,5560,삼익,,,https://kbland.kr/map?complex=5560,,high,playwright_search,2026-09-18T10:32:38.344677
A61475202,태화현대1차아파트,당감동,부산광역시 부산진구 당감동 109-1 태화현대1차아파트,668.0,5563,태화현대(1차),,,https://kbland.kr/map?complex=5563,,high,playwright_search,2026-09-18T10:32:40.580182
