학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자
Z000100577,B000002433,보수초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2025-09-22
Z000103143,B000004990,상평초등학교,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000151583,B000004990,상평초등학교,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000100440,B000002306,서울강남초등학교,초등학교,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2025-09-22
Z000105655,B000007684,계동초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000105689,B000007699,안명초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151104,B000007699,안명초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151105,B000007699,안명초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151106,B000007699,안명초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000151169,B000007699,안명초등학교,초등학교,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2025-09-22
Z000101579,B000003484,대전배울초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2025-09-22
Z000103142,B000005004,상평초등학교공수전분교장,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000151583,B000005004,상평초등학교공수전분교장,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000101249,B000003181,송해초등학교,초등학교,7310000,인천광역시교육청,7351000,인천광역시강화교육지원청,2025-09-22
Z000100813,B000002704,반안초등학교,초등학교,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2025-09-22
Z000151432,B000024106,대구봉무초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000100875,B000002750,대구동촌초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000100923,B000002764,대구효동초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000151191,B000022623,제석초등학교,초등학교,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2025-09-22
Z000105616,B000007621,산양초등학교풍화분교장,초등학교,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2025-09-22
Z000101424,B000003331,삼도초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2025-09-22
Z000100431,B000002256,서울원촌초등학교,초등학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2025-09-22
Z000150033,B000002256,서울원촌초등학교,초등학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2025-09-22
Z000100972,B000002849,대구태암초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000101543,B000003409,신탄진용정초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000150087,B000003409,신탄진용정초등학교,초등학교,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2025-09-22
Z000100893,B000002749,대구서촌초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000151432,B000002749,대구서촌초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000101232,B000022832,인천한빛초등학교,초등학교,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2025-09-22
Z000102987,B000004101,시흥은행초등학교,초등학교,7530000,경기도교육청,7781000,경기도시흥교육지원청,2025-09-22
Z000151543,B000004101,시흥은행초등학교,초등학교,7530000,경기도교육청,7781000,경기도시흥교육지원청,2025-09-22
Z000104893,B000006816,청해초등학교,초등학교,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2025-09-22
Z000150510,B000006816,청해초등학교,초등학교,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2025-09-22
Z000150680,B000006816,청해초등학교,초등학교,8490000,전라남도교육청,8701000,전라남도완도교육지원청,2025-09-22
Z000103328,B000005187,양구초등학교,초등학교,7801000,강원특별자치도교육청,7952000,강원특별자치도양구교육지원청,2025-09-22
Z000150920,B000024401,서진초등학교,초등학교,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2025-09-22
Z000104380,B000006285,무주초등학교,초등학교,8321000,전북특별자치도교육청,8412000,전북특별자치도무주교육지원청,2025-09-22
Z000103355,B000005218,거성초등학교,초등학교,7801000,강원특별자치도교육청,7972000,강원특별자치도고성교육지원청,2025-09-22
Z000100662,B000002531,운산초등학교,초등학교,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2025-09-22
Z000100660,B000002543,용호초등학교,초등학교,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2025-09-22
Z000100889,B000002753,대구불로초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000101626,B000003495,남외초등학교,초등학교,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2025-09-22
Z000100936,B000002807,대구내서초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000150606,B000007927,유림초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000150607,B000007927,유림초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000150608,B000007927,유림초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000105927,B000007927,유림초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000150816,B000007927,유림초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000150817,B000007927,유림초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000101983,B000003875,호계초등학교,초등학교,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2025-09-22
Z000150625,B000005736,조치원교동초등학교,초등학교,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2025-09-22
